id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,off_camera,clearance_right_foot,interception_outcome_id,interception_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_aerial_won,foul_committed_advantage,foul_won_advantage,clearance_left_foot,pass_switch,pass_through_ball,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_one_on_one,foul_committed_type_id,foul_committed_type_name,foul_committed_penalty,foul_won_penalty,ball_recovery_recovery_failure,dribble_nutmeg,pass_no_touch,foul_won_defensive,bad_behaviour_card_id,bad_behaviour_card_name,goalkeeper_punched_out,pass_inswinging,shot_aerial_won,foul_committed_offensive,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,clearance_other,shot_redirect,pass_goal_assist,timestamp_seconds
71e06e0b-25e9-49c0-b570-87fdd34542f3,2017,2,00:07:36.962,52,36,114,1.26682,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['0ffbc7d8-63e0-4655-aca1-cd66003ba3c2', '2e74cbc4-a5dd-4e90-aecf-085c552b7e99']","[84.0, 3.1]",7158.0,Cristiano Biraghi,6.0,Left Back,,,,,,,,,,,,"[94.3, 3.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.962
2e74cbc4-a5dd-4e90-aecf-085c552b7e99,2018,2,00:07:38.229,52,38,114,1.272071,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,['24af8926-a684-48f0-8bb1-51daeb2bd415'],"[94.3, 3.4]",7158.0,Cristiano Biraghi,6.0,Left Back,6847.0,Adalberto Peñaranda Maestre,33.457138,1.1619799,1.0,Ground Pass,"[107.6, 34.1]",38.0,Left Foot,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.229
9727b4d1-dac3-4672-807d-d2225bde6ec9,2019,2,00:07:39.033,52,39,114,0.580054,17,Pressure,1049,Granada,1,Regular Play,209,Celta Vigo,,,"['24af8926-a684-48f0-8bb1-51daeb2bd415', 'e51ed84c-04af-4a8b-896a-f8be46d3d171']","[15.6, 39.8]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.033
24af8926-a684-48f0-8bb1-51daeb2bd415,2020,2,00:07:39.501,52,39,114,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,"['2e74cbc4-a5dd-4e90-aecf-085c552b7e99', '9727b4d1-dac3-4672-807d-d2225bde6ec9']","[107.6, 34.1]",6847.0,Adalberto Peñaranda Maestre,22.0,Right Center Forward,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.501
e51ed84c-04af-4a8b-896a-f8be46d3d171,2021,2,00:07:39.501,52,39,114,0.261144,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['09eb3dc4-56d5-4841-b6b7-6919ddd4e648', '24af8926-a684-48f0-8bb1-51daeb2bd415', '9727b4d1-dac3-4672-807d-d2225bde6ec9']","[107.6, 34.1]",6847.0,Adalberto Peñaranda Maestre,22.0,Right Center Forward,,,,,,,,,,,,"[107.7, 33.7]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.501
09eb3dc4-56d5-4841-b6b7-6919ddd4e648,2022,2,00:07:39.762,52,39,114,0.0,38,Miscontrol,1049,Granada,1,Regular Play,1049,Granada,,,,"[107.7, 33.7]",6847.0,Adalberto Peñaranda Maestre,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.762
21c362bb-24ee-4e87-b130-205cf63331a9,2023,2,00:07:40.784,52,40,115,0.0,2,Ball Recovery,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,,"[4.7, 41.5]",6795.0,Rubén Blanco Veiga,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.784
4ad277b7-dc9e-4596-bfd9-c3a3faf6985b,2024,2,00:07:49.374,52,49,115,2.278808,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['1bf85b72-94df-4f8d-be32-bc79c71ab8e6'],"[9.3, 45.2]",6795.0,Rubén Blanco Veiga,1.0,Goalkeeper,6794.0,Gustavo Daniel Cabral Cáceres,29.129023,0.8826514,1.0,Ground Pass,"[27.8, 67.7]",69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.374
1bf85b72-94df-4f8d-be32-bc79c71ab8e6,2025,2,00:07:51.653,52,51,115,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['4ad277b7-dc9e-4596-bfd9-c3a3faf6985b'],"[27.8, 67.7]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.653
c49b830e-5f1a-4cd1-8f1a-c66a8c704bf6,2026,2,00:07:53.214,52,53,115,2.858002,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['00b6dd56-cc06-47b7-9761-5767d2d3822a'],"[27.6, 67.2]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,6038.0,John Guidetti,51.933033,0.18984284,3.0,High Pass,"[78.6, 77.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.214
