id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,interception_outcome_id,interception_outcome_name,foul_won_defensive,off_camera,pass_switch,dribble_outcome_id,dribble_outcome_name,ball_recovery_recovery_failure,out,dribble_overrun,pass_aerial_won,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_advantage,foul_won_advantage,pass_through_ball,pass_technique_id,pass_technique_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,pass_deflected,block_deflection,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,pass_outswinging,clearance_head,foul_committed_type_id,foul_committed_type_name,pass_straight,pass_no_touch,goalkeeper_technique_id,goalkeeper_technique_name,pass_inswinging,clearance_left_foot,pass_goal_assist,foul_committed_card_id,foul_committed_card_name,pass_cut_back,dribble_nutmeg,shot_one_on_one,clearance_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_offensive,goalkeeper_success_in_play,shot_aerial_won,timestamp_seconds
818e860c-2eab-4348-aa1c-c026a48bed1c,2992,2,00:47:58.770,92,58,211,0.0,39,Dribbled Past,207,Valencia,7,From Goal Kick,1049,Granada,,,"['4bbeb05e-b9da-40f0-9487-a9dcd4cca074', 'de80fe22-1262-4c93-a23c-d9f178decacb']","[70.4, 63.0]",3160.0,Rene Krhin,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2878.77
4bbeb05e-b9da-40f0-9487-a9dcd4cca074,2993,2,00:47:58.770,92,58,211,0.0,14,Dribble,207,Valencia,7,From Goal Kick,207,Valencia,,,['818e860c-2eab-4348-aa1c-c026a48bed1c'],"[49.7, 17.1]",6763.0,Pablo Daniel Piatti,16.0,Left Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,2878.77
de80fe22-1262-4c93-a23c-d9f178decacb,2994,2,00:47:58.770,92,58,211,1.4533,43,Carry,207,Valencia,7,From Goal Kick,207,Valencia,,,"['4bbeb05e-b9da-40f0-9487-a9dcd4cca074', '818e860c-2eab-4348-aa1c-c026a48bed1c', '957a29e7-dbdd-4c19-8e99-86b5009545e4']","[49.7, 17.1]",6763.0,Pablo Daniel Piatti,16.0,Left Midfield,,,,,,,,,,,,"[55.9, 18.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2878.77
957a29e7-dbdd-4c19-8e99-86b5009545e4,2995,2,00:48:00.224,93,0,211,2.643899,30,Pass,207,Valencia,7,From Goal Kick,207,Valencia,,,['9d1f42b9-ca85-47ae-84c4-6491debd9498'],"[55.9, 18.6]",6763.0,Pablo Daniel Piatti,16.0,Left Midfield,6402.0,Francisco Alcácer García,26.931767,-0.4370758,1.0,Ground Pass,"[80.3, 7.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880.224
9d1f42b9-ca85-47ae-84c4-6491debd9498,2996,2,00:48:02.868,93,2,211,,42,Ball Receipt*,207,Valencia,7,From Goal Kick,207,Valencia,,,['957a29e7-dbdd-4c19-8e99-86b5009545e4'],"[80.3, 7.2]",6402.0,Francisco Alcácer García,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882.868
29a3e254-c8a6-48f6-bec6-96dbe3f02d5b,2997,2,00:48:02.868,93,2,211,3.183081,43,Carry,207,Valencia,7,From Goal Kick,207,Valencia,,,"['501422c2-8067-4f9e-b471-481c336a73df', '9d1f42b9-ca85-47ae-84c4-6491debd9498']","[80.3, 7.2]",6402.0,Francisco Alcácer García,24.0,Left Center Forward,,,,,,,,,,,,"[94.2, 16.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882.868
501422c2-8067-4f9e-b471-481c336a73df,2998,2,00:48:06.051,93,6,211,1.022879,30,Pass,207,Valencia,7,From Goal Kick,207,Valencia,,,['cbda4554-34a1-485d-9d68-d3680ed169be'],"[94.2, 16.6]",6402.0,Francisco Alcácer García,24.0,Left Center Forward,6763.0,Pablo Daniel Piatti,15.095033,2.090764,1.0,Ground Pass,"[86.7, 29.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2886.051
cbda4554-34a1-485d-9d68-d3680ed169be,2999,2,00:48:07.074,93,7,211,,42,Ball Receipt*,207,Valencia,7,From Goal Kick,207,Valencia,,,['501422c2-8067-4f9e-b471-481c336a73df'],"[86.7, 29.7]",6763.0,Pablo Daniel Piatti,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2887.074
555a5af1-3bdf-451d-bad8-68525a57f3ac,3000,2,00:48:07.074,93,7,211,5.479902,43,Carry,207,Valencia,7,From Goal Kick,207,Valencia,,,"['72534cca-60c4-4381-8246-b9c243563970', 'cbda4554-34a1-485d-9d68-d3680ed169be']","[86.7, 29.7]",6763.0,Pablo Daniel Piatti,16.0,Left Midfield,,,,,,,,,,,,"[99.7, 24.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2887.074
72534cca-60c4-4381-8246-b9c243563970,3001,2,00:48:12.553,93,12,211,0.0,14,Dribble,207,Valencia,7,From Goal Kick,207,Valencia,,,['a2b25165-800b-4840-909e-f6face151f30'],"[99.7, 24.3]",6763.0,Pablo Daniel Piatti,16.0,Left Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2892.553
