id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,under_pressure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,out,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,counterpress,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,dribble_outcome_id,dribble_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_aerial_won,pass_technique_id,pass_technique_name,pass_inswinging,pass_cross,pass_goal_assist,clearance_left_foot,duel_outcome_id,duel_outcome_name,foul_committed_penalty,foul_won_defensive,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,shot_deflected,block_deflection,shot_first_time,pass_through_ball,clearance_right_foot,foul_committed_card_id,foul_committed_card_name,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,shot_saved_off_target,goalkeeper_shot_saved_off_target,shot_aerial_won,ball_recovery_recovery_failure,pass_miscommunication,goalkeeper_punched_out,timestamp_seconds
a5c0e823-9646-45af-ba20-b8717d091f61,3716,2,00:43:48.078,88,48,167,1.35668,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['2ad55767-97ae-4a8b-8bb1-a9cf392643d1', '5ccc2a40-e076-45ed-b7a3-29cfbb94c17e', '63f7788f-13f4-4ee9-b988-a6786fe0cc48']","[35.5, 55.6]",27148.0,Abraham González Casanova,24.0,Left Center Forward,,,,,,,,,,,,"[42.3, 60.8]",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2628.078
63f7788f-13f4-4ee9-b988-a6786fe0cc48,3717,2,00:43:48.083,88,48,167,0.995413,17,Pressure,214,Espanyol,1,Regular Play,220,Real Madrid,,,['a5c0e823-9646-45af-ba20-b8717d091f61'],"[87.7, 23.1]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2628.083
2ad55767-97ae-4a8b-8bb1-a9cf392643d1,3718,2,00:43:49.435,88,49,167,0.0,3,Dispossessed,214,Espanyol,1,Regular Play,214,Espanyol,,,['bbb9512e-1cbc-4331-914f-61b37a1fe49f'],"[42.3, 60.8]",27148.0,Abraham González Casanova,24.0,Left Center Forward,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629.435
bbb9512e-1cbc-4331-914f-61b37a1fe49f,3719,2,00:43:49.435,88,49,168,0.0,4,Duel,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['2ad55767-97ae-4a8b-8bb1-a9cf392643d1'],"[77.8, 19.3]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,11.0,Tackle,,,,,,True,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629.435
ecd1857b-3ee0-4a91-8043-d6f13f0d6f1f,3720,2,00:43:50.982,88,50,168,0.0,2,Ball Recovery,220,Real Madrid,1,Regular Play,220,Real Madrid,,,,"[72.1, 24.5]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630.982
65dbfba2-e2f8-485e-a266-d4cc18dbd37b,3721,2,00:43:50.982,88,50,168,1.513241,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['5edca7e5-da86-476a-92fb-458a799e3067', 'ecd1857b-3ee0-4a91-8043-d6f13f0d6f1f']","[72.1, 24.5]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,,,,,,,,,,,,"[74.5, 31.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630.982
5edca7e5-da86-476a-92fb-458a799e3067,3722,2,00:43:52.495,88,52,168,1.220217,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['53b37ee7-9fc5-4bb8-94dc-5a51c06eaca2'],"[74.5, 31.2]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,4926.0,Francisco Román Alarcón Suárez,18.900265,1.019488,1.0,Ground Pass,"[84.4, 47.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2632.495
53b37ee7-9fc5-4bb8-94dc-5a51c06eaca2,3723,2,00:43:53.716,88,53,168,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['5edca7e5-da86-476a-92fb-458a799e3067'],"[84.4, 47.3]",4926.0,Francisco Román Alarcón Suárez,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633.716
cbdcd6ff-8863-4366-872e-0f93a8e9ceaf,3724,2,00:43:53.716,88,53,168,1.72421,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['53b37ee7-9fc5-4bb8-94dc-5a51c06eaca2', 'f767070e-501f-4de3-ae19-617eb393b53e']","[84.4, 47.3]",4926.0,Francisco Román Alarcón Suárez,13.0,Right Center Midfield,,,,,,,,,,,,"[84.6, 52.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633.716
f767070e-501f-4de3-ae19-617eb393b53e,3725,2,00:43:55.440,88,55,168,1.350872,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['fe3c5826-af3b-4c7c-828f-b2c2e39b4c49'],"[84.6, 52.0]",4926.0,Francisco Román Alarcón Suárez,13.0,Right Center Midfield,5200.0,Lucas Vázquez Iglesias,17.799158,0.46616018,1.0,Ground Pass,"[100.5, 60.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2635.44
fe3c5826-af3b-4c7c-828f-b2c2e39b4c49,3726,2,00:43:56.791,88,56,168,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['f767070e-501f-4de3-ae19-617eb393b53e'],"[100.5, 60.0]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636.791
cdf5f3fc-1acc-4217-b19d-e3c37e90b361,3727,2,00:43:56.791,88,56,168,2.392545,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['4522fb8a-7bdc-4de2-bff8-4c0054ef6f2d', 'fe3c5826-af3b-4c7c-828f-b2c2e39b4c49']","[100.5, 60.0]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,,,,,,,,,,,,"[106.9, 62.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636.791
