id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,clearance_head,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,off_camera,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,foul_committed_card_id,foul_committed_card_name,pass_aerial_won,pass_inswinging,pass_technique_id,pass_technique_name,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_through_ball,goalkeeper_end_location,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_cut_back,shot_first_time,foul_committed_penalty,foul_won_penalty,block_offensive,dribble_overrun,bad_behaviour_card_id,bad_behaviour_card_name,clearance_aerial_won,pass_miscommunication,pass_outswinging,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,timestamp_seconds
73514f3a-a21f-44d7-9c08-9b0249a62b24,571,1,00:16:47.127,16,47,58,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['4b173981-5cdf-4d1d-b0ea-55448dbfaaa0'],"[54.2, 53.6]",6680.0,Rubén Rochina Naixes,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.127
92d08cdd-826e-4274-88d4-9ed307f9724b,572,1,00:16:47.127,16,47,58,2.238049,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['3d42a293-4c13-4324-a000-b60f9bcba3d0', '73514f3a-a21f-44d7-9c08-9b0249a62b24']","[54.2, 53.6]",6680.0,Rubén Rochina Naixes,21.0,Left Wing,,,,,,,,,,,,"[62.1, 59.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.127
3d42a293-4c13-4324-a000-b60f9bcba3d0,573,1,00:16:49.365,16,49,58,1.610163,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,['a1141860-6ed6-473d-9d83-9ce3fa0c589b'],"[62.1, 59.8]",6680.0,Rubén Rochina Naixes,21.0,Left Wing,27109.0,Youssef El-Arabi,21.81559,0.5498532,1.0,Ground Pass,"[80.7, 71.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.365
a1141860-6ed6-473d-9d83-9ce3fa0c589b,574,1,00:16:50.975,16,50,58,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['3d42a293-4c13-4324-a000-b60f9bcba3d0'],"[80.7, 71.2]",27109.0,Youssef El-Arabi,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.975
a908f375-42e8-434d-bfe2-45594452bf14,575,1,00:16:50.975,16,50,58,2.604584,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['a1141860-6ed6-473d-9d83-9ce3fa0c589b', 'd6e4a6dc-7ca8-427f-a044-cfbfcb485d62']","[80.7, 71.2]",27109.0,Youssef El-Arabi,23.0,Center Forward,,,,,,,,,,,,"[95.2, 66.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.975
d6e4a6dc-7ca8-427f-a044-cfbfcb485d62,576,1,00:16:53.579,16,53,58,0.95036,30,Pass,1049,Granada,1,Regular Play,1049,Granada,,,"['a6258dcb-16ea-434d-b283-64e8667064cc', 'ad68df07-8a85-4cad-ae17-84fe3d53c831']","[95.2, 66.5]",27109.0,Youssef El-Arabi,23.0,Center Forward,24783.0,Javier Márquez Moreno,22.357325,-1.2476313,1.0,Ground Pass,"[102.3, 45.3]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.579
a6258dcb-16ea-434d-b283-64e8667064cc,577,1,00:16:54.530,16,54,58,,42,Ball Receipt*,1049,Granada,1,Regular Play,1049,Granada,,,['d6e4a6dc-7ca8-427f-a044-cfbfcb485d62'],"[101.0, 49.1]",24783.0,Javier Márquez Moreno,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.53
ad68df07-8a85-4cad-ae17-84fe3d53c831,578,1,00:16:54.530,16,54,58,0.0,9,Clearance,1049,Granada,1,Regular Play,216,Getafe,,,['d6e4a6dc-7ca8-427f-a044-cfbfcb485d62'],"[17.8, 34.8]",17054.0,Emiliano Daniel Velázquez Maldonado,3.0,Right Center Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,1014.53
28ef48dc-d7c5-46d0-8f21-e4dd7c23edf4,579,1,00:16:56.671,16,56,58,0.0,2,Ball Recovery,1049,Granada,1,Regular Play,1049,Granada,,,,"[93.3, 55.3]",27109.0,Youssef El-Arabi,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.671
20c92103-2ed4-488c-bbd3-78b4c5958321,580,1,00:16:56.671,16,56,58,1.882937,43,Carry,1049,Granada,1,Regular Play,1049,Granada,,,"['086b359e-63db-4b86-8cb0-c87eeaf7bd30', '28ef48dc-d7c5-46d0-8f21-e4dd7c23edf4', '90d2336e-9913-4498-a279-1650ebb6698f']","[93.3, 55.3]",27109.0,Youssef El-Arabi,23.0,Center Forward,,,,,,,,,,,,"[92.9, 51.5]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.671
