id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,clearance_head,pass_cross,pass_assisted_shot_id,pass_goal_assist,pass_technique_id,pass_technique_name,pass_through_ball,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_left_foot,pass_shot_assist,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_aerial_won,counterpress,foul_won_defensive,out,clearance_aerial_won,goalkeeper_end_location,dribble_outcome_id,dribble_outcome_name,50_50_outcome_id,50_50_outcome_name,pass_inswinging,foul_committed_type_id,foul_committed_type_name,pass_outswinging,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_no_touch,foul_committed_advantage,foul_won_advantage,goalkeeper_punched_out,pass_cut_back,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_penalty,foul_won_penalty,block_save_block,block_offensive,pass_straight,timestamp_seconds
55bec9bd-03d2-4ad2-91d6-118995e785a0,1521,1,00:39:59.546,39,59,76,0.0,10,Interception,218,Real Betis,9,From Kick Off,220,Real Madrid,,,['8b2db284-cb4b-4b9b-962d-72dee9663d52'],,"[69.5, 62.5]",5463.0,Luka Modrić,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2399.546
e99b4327-8b06-4a61-b3a0-061f667c68d2,1522,1,00:40:16.624,40,16,77,1.470917,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['1743680e-21c0-46bb-950d-9d785f02475e'],,"[62.6, 0.1]",6865.0,Francisco José Molinero Calderón,6.0,Left Back,6832.0,Rubén Castro Martín,15.6604595,0.2914568,3.0,High Pass,"[77.6, 4.6]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416.624
d9804be4-7d5d-468b-b3aa-a3f64a505a58,1523,1,00:40:17.806,40,17,77,0.324786,17,Pressure,218,Real Betis,4,From Throw In,220,Real Madrid,,,"['1743680e-21c0-46bb-950d-9d785f02475e', '389a5744-562d-4cde-b42f-b41a27d4493a']",,"[40.4, 74.9]",5485.0,Raphaël Varane,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417.806
1743680e-21c0-46bb-950d-9d785f02475e,1524,1,00:40:18.095,40,18,77,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,"['d9804be4-7d5d-468b-b3aa-a3f64a505a58', 'e99b4327-8b06-4a61-b3a0-061f667c68d2']",,"[77.6, 4.6]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.095
389a5744-562d-4cde-b42f-b41a27d4493a,1525,1,00:40:18.095,40,18,77,0.08,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['1743680e-21c0-46bb-950d-9d785f02475e', '75256e3b-9896-4f61-8c9c-9ca4caea3ffd', 'd9804be4-7d5d-468b-b3aa-a3f64a505a58']",,"[77.6, 4.6]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,True,"[76.7, 5.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.095
75256e3b-9896-4f61-8c9c-9ca4caea3ffd,1526,1,00:40:18.175,40,18,77,0.907611,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,"['7548a013-14e6-458e-b03a-6383a6ea0d4d', 'c9599c36-170e-4fbc-8535-70fc8be614bb']",,"[76.7, 5.2]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,27347.0,Juan Manuel Vargas Risco,7.1,1.5707964,2.0,Low Pass,"[76.7, 12.3]",,,70.0,Other,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.175
c9599c36-170e-4fbc-8535-70fc8be614bb,1527,1,00:40:19.082,40,19,77,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,['75256e3b-9896-4f61-8c9c-9ca4caea3ffd'],,"[78.6, 8.7]",27347.0,Juan Manuel Vargas Risco,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419.082
7548a013-14e6-458e-b03a-6383a6ea0d4d,1528,1,00:40:19.082,40,19,77,0.0,2,Ball Recovery,218,Real Betis,4,From Throw In,220,Real Madrid,,,['75256e3b-9896-4f61-8c9c-9ca4caea3ffd'],,"[43.4, 67.8]",5463.0,Luka Modrić,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419.082
4ce0d3bf-d299-492f-80d6-cdb9ee1cec11,1529,1,00:40:20.296,40,20,77,0.0,2,Ball Recovery,218,Real Betis,4,From Throw In,218,Real Betis,,,,,"[71.9, 12.3]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420.296
a4d392b9-5029-47b2-8fce-b73498efaf13,1530,1,00:40:20.296,40,20,77,1.06165,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['4ce0d3bf-d299-492f-80d6-cdb9ee1cec11', 'ba29e433-d515-48d8-9476-f3675d059f9e', 'f91ed81b-ffb9-4924-964c-7074c6300a56']",,"[71.9, 12.3]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,True,"[70.9, 12.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420.296
ba29e433-d515-48d8-9476-f3675d059f9e,1531,1,00:40:20.892,40,20,77,0.588347,17,Pressure,218,Real Betis,4,From Throw In,220,Real Madrid,,,"['a4d392b9-5029-47b2-8fce-b73498efaf13', 'f91ed81b-ffb9-4924-964c-7074c6300a56']",,"[51.1, 70.3]",5695.0,James David Rodríguez Rubio,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420.892
