id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,out,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,pass_cross,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_straight,pass_technique_id,pass_technique_name,foul_committed_offensive,foul_won_defensive,pass_aerial_won,clearance_left_foot,counterpress,interception_outcome_id,interception_outcome_name,block_offensive,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,duel_outcome_id,duel_outcome_name,pass_goal_assist,shot_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,dribble_overrun,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,pass_miscommunication,pass_through_ball,foul_committed_advantage,foul_won_advantage,clearance_other,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,miscontrol_aerial_won,pass_inswinging,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_punched_out,shot_open_goal,pass_outswinging,dribble_nutmeg,timestamp_seconds
832e1b36-7bb5-4641-980f-ecb937e13c0a,1215,1,00:34:23.167,34,23,83,0.475897,17,Pressure,322,Eibar,1,Regular Play,213,Sevilla,,,"['7e4b9881-aa98-4ffb-9925-591b864b397f', 'b6513a39-595c-4a70-ad6b-06f4ad94f0eb']",,"[71.8, 7.8]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.167
b6513a39-595c-4a70-ad6b-06f4ad94f0eb,1216,1,00:34:23.446,34,23,83,0.94813,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['832e1b36-7bb5-4641-980f-ecb937e13c0a', 'b2dba8c5-e61c-4357-b63a-34fae8db5c36']",,"[49.0, 72.3]",6712.0,Gonzalo Escalante,9.0,Right Defensive Midfield,6566.0,Borja González Tomás,13.140016,-0.19142549,1.0,Ground Pass,"[61.9, 69.8]",40.0,Right Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.446
b2dba8c5-e61c-4357-b63a-34fae8db5c36,1217,1,00:34:24.394,34,24,83,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['b6513a39-595c-4a70-ad6b-06f4ad94f0eb'],,"[61.9, 69.8]",6566.0,Borja González Tomás,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.394
ea379f4a-dcaf-4cf5-93cb-6042d855bd2b,1218,1,00:34:24.394,34,24,83,1.372553,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['6c5719ff-df7f-436f-b60a-233e2ca6344f'],,"[61.3, 69.8]",6566.0,Borja González Tomás,23.0,Center Forward,6712.0,Gonzalo Escalante,11.447707,-2.8944952,1.0,Ground Pass,"[50.2, 67.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.394
6c5719ff-df7f-436f-b60a-233e2ca6344f,1219,1,00:34:25.767,34,25,83,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['ea379f4a-dcaf-4cf5-93cb-6042d855bd2b'],,"[50.2, 67.0]",6712.0,Gonzalo Escalante,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2065.767
ee8a1929-e74d-4387-8e66-b98bcface70a,1220,1,00:34:25.767,34,25,83,2.02383,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['6c5719ff-df7f-436f-b60a-233e2ca6344f', 'c29228c3-f842-4a17-96a7-792db1fde569']",,"[50.2, 67.0]",6712.0,Gonzalo Escalante,9.0,Right Defensive Midfield,,,,,,,,,,,,,"[53.3, 47.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2065.767
c29228c3-f842-4a17-96a7-792db1fde569,1221,1,00:34:27.790,34,27,83,1.02899,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['d5299f7e-3a54-4ae4-8ff9-6cd90b006680'],,"[53.3, 47.6]",6712.0,Gonzalo Escalante,9.0,Right Defensive Midfield,6778.0,Iván Ramis Barrios,16.40122,-2.869993,1.0,Ground Pass,"[37.5, 43.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.79
d5299f7e-3a54-4ae4-8ff9-6cd90b006680,1222,1,00:34:28.819,34,28,83,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['c29228c3-f842-4a17-96a7-792db1fde569'],,"[37.5, 43.2]",6778.0,Iván Ramis Barrios,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068.819
52193968-ecbf-440a-b01b-ae230f9a25e6,1223,1,00:34:28.819,34,28,83,0.04,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['ce4b548b-11e6-46ad-9da3-8b1673bc04bd', 'd5299f7e-3a54-4ae4-8ff9-6cd90b006680']",,"[37.5, 43.2]",6778.0,Iván Ramis Barrios,5.0,Left Center Back,,,,,,,,,,,,,"[37.5, 43.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068.819
ce4b548b-11e6-46ad-9da3-8b1673bc04bd,1224,1,00:34:28.859,34,28,83,1.635549,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['f4932325-1ad2-4b63-a792-142b05fe8cc2'],,"[37.5, 43.2]",6778.0,Iván Ramis Barrios,5.0,Left Center Back,6776.0,David Juncà Reñé,41.12031,-0.9234042,2.0,Low Pass,"[62.3, 10.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2068.859
