id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,pass_switch,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,duel_outcome_id,duel_outcome_name,pass_inswinging,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,out,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,pass_cross,clearance_right_foot,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,dribble_overrun,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,ball_recovery_recovery_failure,pass_miscommunication,foul_won_defensive,pass_outswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,shot_one_on_one,block_deflection,shot_deflected,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,timestamp_seconds
8c55419f-36e8-48d2-ac4f-be8402d033af,2032,2,00:01:19.283,46,19,112,1.336418,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['be63c397-8f54-44e3-adb4-24fd50becc09'],,"[57.4, 21.5]",5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,5203.0,Sergio Busquets i Burgos,12.776933,1.6805892,1.0,Ground Pass,"[56.0, 34.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.283
be63c397-8f54-44e3-adb4-24fd50becc09,2033,2,00:01:20.620,46,20,112,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['8c55419f-36e8-48d2-ac4f-be8402d033af'],,"[56.0, 34.2]",5203.0,Sergio Busquets i Burgos,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.62
01751562-78bc-4692-9b11-58f881e19e82,2034,2,00:01:20.620,46,20,112,1.451575,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['14cb54c5-b7f2-4eef-afdf-bb1757c9581a', 'be63c397-8f54-44e3-adb4-24fd50becc09']",,"[56.0, 34.2]",5203.0,Sergio Busquets i Burgos,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,"[60.8, 36.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.62
14cb54c5-b7f2-4eef-afdf-bb1757c9581a,2035,2,00:01:22.071,46,22,112,0.99748,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['c11b48cb-6949-4720-8da1-67607bc159b9'],,"[60.8, 36.7]",5203.0,Sergio Busquets i Burgos,11.0,Left Defensive Midfield,5503.0,Lionel Andrés Messi Cuccittini,21.647402,1.1216105,1.0,Ground Pass,"[70.2, 56.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.071
c11b48cb-6949-4720-8da1-67607bc159b9,2036,2,00:01:23.069,46,23,112,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['14cb54c5-b7f2-4eef-afdf-bb1757c9581a'],,"[70.2, 56.2]",5503.0,Lionel Andrés Messi Cuccittini,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.069
b68b1e4d-78f6-4816-bab7-b8f1bc42bb82,2037,2,00:01:23.069,46,23,112,3.62392,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['bad30208-abf1-4748-b946-9dc25eccb19f', 'c11b48cb-6949-4720-8da1-67607bc159b9']",,"[70.2, 56.2]",5503.0,Lionel Andrés Messi Cuccittini,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,"[75.0, 48.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.069
bad30208-abf1-4748-b946-9dc25eccb19f,2038,2,00:01:26.693,46,26,112,2.25027,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['c598cbd0-d67a-4151-842a-dbb69fcc0a2e'],,"[75.0, 48.5]",5503.0,Lionel Andrés Messi Cuccittini,19.0,Center Attacking Midfield,22102.0,Adriano Correia Claro,39.678963,-1.1308196,3.0,High Pass,"[91.9, 12.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.693
c598cbd0-d67a-4151-842a-dbb69fcc0a2e,2039,2,00:01:28.943,46,28,112,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['bad30208-abf1-4748-b946-9dc25eccb19f'],,"[91.9, 12.6]",22102.0,Adriano Correia Claro,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.943
cb4398a6-185e-48e3-884f-b240a2e531fa,2040,2,00:01:28.943,46,28,112,2.09003,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['acc6c133-72c1-457f-b395-30b43797cd2d', 'c598cbd0-d67a-4151-842a-dbb69fcc0a2e']",,"[91.9, 12.6]",22102.0,Adriano Correia Claro,6.0,Left Back,,,,,,,,,,,,,,,,"[92.9, 13.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.943
acc6c133-72c1-457f-b395-30b43797cd2d,2041,2,00:01:31.033,46,31,112,1.411196,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['b67e316e-5f0c-4357-ab9f-5aac580793f2'],,"[92.9, 13.1]",22102.0,Adriano Correia Claro,6.0,Left Back,5203.0,Sergio Busquets i Burgos,13.952061,2.5396745,1.0,Ground Pass,"[81.4, 21.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.033
