id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,duel_type_id,duel_type_name,pass_aerial_won,pass_switch,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,out,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,duel_outcome_id,duel_outcome_name,clearance_right_foot,pass_cut_back,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_outcome_id,goalkeeper_outcome_name,shot_deflected,block_deflection,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,miscontrol_aerial_won,clearance_other,pass_outswinging,pass_technique_id,pass_technique_name,pass_deflected,ball_recovery_recovery_failure,dribble_overrun,ball_recovery_offensive,clearance_left_foot,goalkeeper_punched_out,pass_inswinging,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,timestamp_seconds
0703f007-2af4-46ed-9870-6e8eacb6ce0b,3625,2,00:41:30.480,86,30,166,1.148545,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['38148f1d-b369-4118-8844-080453d36799', 'bfa1212d-1e6a-4f9c-845e-7d11e62aaddb']",,"[74.3, 69.3]",6934.0,Jerónimo Figueroa Cabrera,17.0,Right Wing,6721.0,Willian José da Silva,10.495713,-2.1112158,3.0,High Pass,"[68.9, 60.3]",,,38.0,Left Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490.48
bfa1212d-1e6a-4f9c-845e-7d11e62aaddb,3626,2,00:41:31.629,86,31,166,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['0703f007-2af4-46ed-9870-6e8eacb6ce0b'],,"[68.9, 60.3]",6721.0,Willian José da Silva,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491.629
b4294227-a781-48bb-9b96-4ff61466be0b,3627,2,00:41:31.629,86,31,166,0.828808,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['582dc2e3-5c74-4aac-8f25-5bf3483f330a'],,"[68.9, 60.3]",6721.0,Willian José da Silva,19.0,Center Attacking Midfield,7906.0,David Simón Rodríguez Santana,13.82787,1.7525903,2.0,Low Pass,"[66.4, 73.9]",,,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491.629
582dc2e3-5c74-4aac-8f25-5bf3483f330a,3628,2,00:41:32.457,86,32,166,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['b4294227-a781-48bb-9b96-4ff61466be0b'],,"[66.4, 73.9]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492.457
48d28f52-88c7-4b95-a7a0-d2e8d01014a2,3629,2,00:41:32.457,86,32,166,1.241134,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['184e8c26-5725-499a-a50c-f5e78e66e994', 'de8b14c5-c7b7-46b9-956a-70571e6c1b18']",,"[67.2, 73.6]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,6934.0,Jerónimo Figueroa Cabrera,13.417153,-0.21786053,1.0,Ground Pass,"[80.3, 70.7]",,,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492.457
184e8c26-5725-499a-a50c-f5e78e66e994,3630,2,00:41:33.698,86,33,166,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['48d28f52-88c7-4b95-a7a0-d2e8d01014a2'],,"[81.9, 69.0]",6934.0,Jerónimo Figueroa Cabrera,17.0,Right Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493.698
de8b14c5-c7b7-46b9-956a-70571e6c1b18,3631,2,00:41:33.698,86,33,167,1.087618,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['48d28f52-88c7-4b95-a7a0-d2e8d01014a2', '52a51d92-fc7e-47bf-8ec5-43366e034906']",,"[39.8, 9.4]",6320.0,Filipe Luís Kasmirski,6.0,Left Back,6377.0,Ángel Martín Correa,13.967104,0.5084893,1.0,Ground Pass,"[52.0, 16.2]",64.0,Interception,40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493.698
ef1e90c1-88a6-4a7b-a0ee-83fe85be2710,3632,2,00:41:34.633,86,34,167,0.607388,17,Pressure,212,Atlético Madrid,1,Regular Play,208,Las Palmas,,,"['52a51d92-fc7e-47bf-8ec5-43366e034906', '8c65afcc-913d-4fee-ab83-53cc5bb6adee', 'bc634759-1a71-453e-b000-03519661bca9']",,"[70.3, 60.3]",6721.0,Willian José da Silva,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494.633
52a51d92-fc7e-47bf-8ec5-43366e034906,3633,2,00:41:34.786,86,34,167,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['de8b14c5-c7b7-46b9-956a-70571e6c1b18', 'ef1e90c1-88a6-4a7b-a0ee-83fe85be2710']",,"[52.0, 16.2]",6377.0,Ángel Martín Correa,19.0,Center Attacking Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494.786
bc634759-1a71-453e-b000-03519661bca9,3634,2,00:41:34.786,86,34,167,0.313005,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['52a51d92-fc7e-47bf-8ec5-43366e034906', '67e10e0d-2727-4e28-acda-a79ff481f456', '8c65afcc-913d-4fee-ab83-53cc5bb6adee', 'ef1e90c1-88a6-4a7b-a0ee-83fe85be2710']",,"[52.0, 16.2]",6377.0,Ángel Martín Correa,19.0,Center Attacking Midfield,,,,,,,,,,,,True,"[50.5, 18.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494.786
