id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,pass_aerial_won,duel_type_id,duel_type_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,counterpress,duel_outcome_id,duel_outcome_name,50_50_outcome_id,50_50_outcome_name,pass_cross,clearance_left_foot,off_camera,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_aerial_won,clearance_head,out,foul_won_defensive,pass_switch,pass_cut_back,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_goal_assist,shot_open_goal,shot_key_pass_id,shot_first_time,dribble_overrun,dribble_nutmeg,pass_shot_assist,goalkeeper_end_location,ball_recovery_recovery_failure,goalkeeper_punched_out,pass_outswinging,pass_technique_id,pass_technique_name,foul_committed_card_id,foul_committed_card_name,shot_aerial_won,pass_through_ball,foul_committed_advantage,foul_won_advantage,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,block_deflection,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
9435afdb-2848-4b8a-b5fd-79aa4d785581,2641,2,00:34:13.391,79,13,170,1.608131,17,Pressure,214,Espanyol,1,Regular Play,218,Real Betis,,,['f3cd53ef-9cae-4452-beb9-bf124b37d447'],"[38.0, 72.4]",6697.0,Daniel Ceballos Fernández,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2053.391
42527fc3-3dad-4b82-8850-a4ebd1779dca,2642,2,00:34:15.139,79,15,170,0.838004,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['69073eb7-cfc7-45b0-b759-5135139efbfc'],"[87.6, 22.3]",6624.0,Jorge Franco Alviz,8.0,Left Wing Back,7781.0,Felipe Salvador Caicedo Corozo,12.920139,0.648145,1.0,Ground Pass,"[97.9, 30.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.139
58d63d51-974c-489e-9aae-3417ff2d2ad0,2643,2,00:34:15.572,79,15,170,0.685399,17,Pressure,214,Espanyol,1,Regular Play,218,Real Betis,,,"['4463aa60-bfbf-4993-af98-d94c9be72423', '69073eb7-cfc7-45b0-b759-5135139efbfc']","[21.0, 50.3]",7161.0,Germán Alejandro Pezzella,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.572
69073eb7-cfc7-45b0-b759-5135139efbfc,2644,2,00:34:15.977,79,15,170,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,"['42527fc3-3dad-4b82-8850-a4ebd1779dca', '58d63d51-974c-489e-9aae-3417ff2d2ad0']","[97.9, 30.1]",7781.0,Felipe Salvador Caicedo Corozo,24.0,Left Center Forward,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.977
4463aa60-bfbf-4993-af98-d94c9be72423,2645,2,00:34:15.977,79,15,170,1.222952,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['58d63d51-974c-489e-9aae-3417ff2d2ad0', '69073eb7-cfc7-45b0-b759-5135139efbfc', 'cfbc7051-5cc9-490e-b516-c70db4d54f1a']","[97.9, 30.1]",7781.0,Felipe Salvador Caicedo Corozo,24.0,Left Center Forward,,,,,,,,,,,,"[99.8, 30.1]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055.977
cfbc7051-5cc9-490e-b516-c70db4d54f1a,2646,2,00:34:17.199,79,17,170,0.542047,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['582c93ad-430f-4b1e-b3dc-62a364967cc7'],"[99.8, 30.1]",7781.0,Felipe Salvador Caicedo Corozo,24.0,Left Center Forward,6766.0,Gerard Moreno Balaguero,8.13941,1.1126431,1.0,Ground Pass,"[103.4, 37.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057.199
0a4dc0b4-83b4-4b1d-839a-20faf8078892,2647,2,00:34:17.621,79,17,170,1.444833,17,Pressure,214,Espanyol,1,Regular Play,218,Real Betis,,,"['14a03dcf-49f9-4f1f-8644-ed1a03f3bdf8', '582c93ad-430f-4b1e-b3dc-62a364967cc7', '6c41d80d-d374-41f2-9fbb-c41498a155a4']","[15.7, 39.1]",27347.0,Juan Manuel Vargas Risco,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057.621
582c93ad-430f-4b1e-b3dc-62a364967cc7,2648,2,00:34:17.742,79,17,170,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,"['0a4dc0b4-83b4-4b1d-839a-20faf8078892', 'cfbc7051-5cc9-490e-b516-c70db4d54f1a']","[103.4, 37.4]",6766.0,Gerard Moreno Balaguero,22.0,Right Center Forward,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057.742
6c41d80d-d374-41f2-9fbb-c41498a155a4,2649,2,00:34:17.742,79,17,170,0.966317,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['0a4dc0b4-83b4-4b1d-839a-20faf8078892', '14a03dcf-49f9-4f1f-8644-ed1a03f3bdf8', '582c93ad-430f-4b1e-b3dc-62a364967cc7', '5ba79d97-0f5c-4726-a74d-1c71fe0be4b3']","[103.4, 37.4]",6766.0,Gerard Moreno Balaguero,22.0,Right Center Forward,,,,,,,,,,,,"[101.7, 38.6]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057.742
5ba79d97-0f5c-4726-a74d-1c71fe0be4b3,2650,2,00:34:18.529,79,18,170,0.651233,17,Pressure,214,Espanyol,1,Regular Play,218,Real Betis,,,"['14a03dcf-49f9-4f1f-8644-ed1a03f3bdf8', '6c41d80d-d374-41f2-9fbb-c41498a155a4']","[14.7, 43.5]",7161.0,Germán Alejandro Pezzella,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058.529
