id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,out,ball_recovery_recovery_failure,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_aerial_won,pass_switch,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,clearance_head,interception_outcome_id,interception_outcome_name,clearance_left_foot,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,pass_cut_back,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_one_on_one,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_technique_id,pass_technique_name,pass_outswinging,shot_first_time,foul_won_defensive,block_offensive,pass_deflected,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_open_goal,shot_redirect,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
ced137b3-716b-4eba-b974-bd241aa72141,2470,2,00:26:18.036,71,18,151,0.0,4,Duel,222,Villarreal,1,Regular Play,222,Villarreal,,,['69675155-999f-46c7-babb-9d48f48fc94f'],"[52.1, 21.5]",6735.0,Adrián López Álvarez,24.0,Left Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578.036
69675155-999f-46c7-babb-9d48f48fc94f,2471,2,00:26:18.036,71,18,151,1.764388,30,Pass,222,Villarreal,1,Regular Play,216,Getafe,,,"['1a80e878-4a39-4b3a-9e0d-51748ae58b58', '356436a1-d35f-48df-8420-596b7c24cbe2', 'ced137b3-716b-4eba-b974-bd241aa72141', 'f8412988-1945-4319-b872-1650f8130d06']","[68.0, 58.6]",25881.0,Juan Antonio Rodríguez Villamuela,3.0,Right Center Back,6736.0,Álvaro Medrán Just,20.3578,-0.5825531,3.0,High Pass,"[85.0, 47.4]",,,66.0,Recovery,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578.036
1a80e878-4a39-4b3a-9e0d-51748ae58b58,2472,2,00:26:19.801,71,19,151,,42,Ball Receipt*,222,Villarreal,1,Regular Play,216,Getafe,,,['69675155-999f-46c7-babb-9d48f48fc94f'],"[85.0, 47.4]",6736.0,Álvaro Medrán Just,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.801
864f0b4d-49cf-4332-a1a2-2624682d087e,2473,2,00:26:19.801,71,19,151,0.0,4,Duel,222,Villarreal,1,Regular Play,216,Getafe,,,['f8412988-1945-4319-b872-1650f8130d06'],"[85.0, 47.4]",6736.0,Álvaro Medrán Just,9.0,Right Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.801
f8412988-1945-4319-b872-1650f8130d06,2474,2,00:26:19.801,71,19,151,1.010809,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,"['425870a1-370a-4dff-8cc5-9a8bcfdb9f79', '69675155-999f-46c7-babb-9d48f48fc94f', '864f0b4d-49cf-4332-a1a2-2624682d087e']","[35.1, 32.7]",6622.0,Tomás Pina Isla,9.0,Right Defensive Midfield,6829.0,Samuel Castillejo Azuaga,9.5692215,-0.59959626,2.0,Low Pass,"[43.0, 27.3]",,,66.0,Recovery,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.801
82b86d64-b4fe-42d0-a451-845ed8e163c5,2475,2,00:26:20.804,71,20,151,0.455159,17,Pressure,222,Villarreal,1,Regular Play,216,Getafe,,,"['425870a1-370a-4dff-8cc5-9a8bcfdb9f79', '688c36eb-ada4-4b1d-b5e8-81e622580efd']","[77.1, 54.4]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.804
425870a1-370a-4dff-8cc5-9a8bcfdb9f79,2476,2,00:26:20.812,71,20,151,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,"['82b86d64-b4fe-42d0-a451-845ed8e163c5', 'f8412988-1945-4319-b872-1650f8130d06']","[43.0, 27.3]",6829.0,Samuel Castillejo Azuaga,16.0,Left Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.812
688c36eb-ada4-4b1d-b5e8-81e622580efd,2477,2,00:26:20.812,71,20,151,0.469506,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['425870a1-370a-4dff-8cc5-9a8bcfdb9f79', '82b86d64-b4fe-42d0-a451-845ed8e163c5', '8d237a85-839b-416a-946f-454fb656057f']","[43.0, 27.3]",6829.0,Samuel Castillejo Azuaga,16.0,Left Midfield,,,,,,,,,,,,"[43.6, 27.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.812
8d237a85-839b-416a-946f-454fb656057f,2478,2,00:26:21.281,71,21,151,4.406141,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['75f1e68e-44f8-4c6e-992f-572d206d0349'],"[43.6, 27.1]",6829.0,Samuel Castillejo Azuaga,16.0,Left Midfield,,,43.74986,-0.38177973,3.0,High Pass,"[84.2, 10.8]",38.0,Left Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581.281
75f1e68e-44f8-4c6e-992f-572d206d0349,2479,2,00:26:25.687,71,25,152,0.0,2,Ball Recovery,216,Getafe,1,Regular Play,216,Getafe,,,['8d237a85-839b-416a-946f-454fb656057f'],"[35.9, 69.3]",25881.0,Juan Antonio Rodríguez Villamuela,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1585.687
