id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,off_camera,pass_through_ball,pass_technique_id,pass_technique_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,out,ball_recovery_recovery_failure,pass_switch,pass_cross,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_inswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,clearance_head,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_goal_assist,pass_outswinging,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,shot_first_time,pass_deflected,shot_one_on_one,clearance_right_foot,foul_committed_offensive,foul_won_defensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,dribble_overrun,timestamp_seconds
0d1c0eee-e45e-41c5-975d-9e7fe99760e3,1713,2,00:07:29.563,52,29,127,1.020366,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['8a217dec-78ff-43a2-a661-d35126dd079f'],"[62.5, 9.6]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,6671.0,Asier Illarramendi Andonegi,18.63867,0.06442684,1.0,Ground Pass,"[81.1, 10.8]",38.0,Left Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.563
8a217dec-78ff-43a2-a661-d35126dd079f,1714,2,00:07:30.583,52,30,127,,42,Ball Receipt*,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['0d1c0eee-e45e-41c5-975d-9e7fe99760e3'],"[81.1, 10.8]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.58299999999997
e10a0a2c-2474-49eb-9f7b-c794124aca23,1715,2,00:07:30.583,52,30,127,0.975253,43,Carry,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['3cbb8e7a-68de-4db0-b136-46e70fc739ab', '5b5aca4c-46f2-4dfe-82bc-0f614f0c1b12', '8a217dec-78ff-43a2-a661-d35126dd079f']","[81.1, 10.8]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,,,,,,,,,,,,"[84.1, 7.6]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.58299999999997
5b5aca4c-46f2-4dfe-82bc-0f614f0c1b12,1716,2,00:07:30.795,52,30,127,0.849096,17,Pressure,210,Real Sociedad,3,From Free Kick,360,Rayo Vallecano,,,"['3cbb8e7a-68de-4db0-b136-46e70fc739ab', 'e10a0a2c-2474-49eb-9f7b-c794124aca23']","[36.8, 69.5]",6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.795
3cbb8e7a-68de-4db0-b136-46e70fc739ab,1717,2,00:07:31.558,52,31,127,1.100298,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['5b5aca4c-46f2-4dfe-82bc-0f614f0c1b12', 'c5d985ee-405d-46da-9c3f-eb3e6f304218']","[84.1, 7.6]",6671.0,Asier Illarramendi Andonegi,9.0,Right Defensive Midfield,8522.0,Armindo Tué Na Bangna,6.441273,-1.0863184,1.0,Ground Pass,"[87.1, 1.9]",40.0,Right Foot,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.558
c5d985ee-405d-46da-9c3f-eb3e6f304218,1718,2,00:07:32.659,52,32,127,,42,Ball Receipt*,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['3cbb8e7a-68de-4db0-b136-46e70fc739ab'],"[87.1, 1.9]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.659
dd0cb164-e18c-4a52-83ff-1d98a9dfe4c0,1719,2,00:07:32.659,52,32,127,2.209857,43,Carry,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['4c584f9c-016e-409a-8ada-ab083a271d82', 'c5d985ee-405d-46da-9c3f-eb3e6f304218', 'ee045a94-f20b-44c8-8983-38c40f3534c0']","[87.1, 1.9]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,"[85.6, 3.6]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.659
ee045a94-f20b-44c8-8983-38c40f3534c0,1720,2,00:07:34.068,52,34,127,0.458425,17,Pressure,210,Real Sociedad,3,From Free Kick,360,Rayo Vallecano,,,['dd0cb164-e18c-4a52-83ff-1d98a9dfe4c0'],"[31.5, 77.2]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.068
4c584f9c-016e-409a-8ada-ab083a271d82,1721,2,00:07:34.868,52,34,127,0.662463,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['4451debf-e8e9-40df-b984-505b8da6bf38'],"[85.6, 3.6]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,6899.0,Rubén Pardo Gutiérrez,13.182564,2.1945732,1.0,Ground Pass,"[77.9, 14.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.868
4451debf-e8e9-40df-b984-505b8da6bf38,1722,2,00:07:35.531,52,35,127,,42,Ball Receipt*,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['4c584f9c-016e-409a-8ada-ab083a271d82'],"[77.9, 14.3]",6899.0,Rubén Pardo Gutiérrez,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.531
