id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,carry_end_location,out,counterpress,foul_won_defensive,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_switch,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,shot_aerial_won,goalkeeper_end_location,interception_outcome_id,interception_outcome_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_outswinging,clearance_left_foot,ball_recovery_recovery_failure,pass_inswinging,dribble_overrun,foul_committed_card_id,foul_committed_card_name,shot_first_time,block_offensive,pass_miscommunication,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,50_50_outcome_id,50_50_outcome_name,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_through_ball,pass_straight,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_cut_back,pass_goal_assist,shot_one_on_one,dribble_nutmeg,timestamp_seconds
f7ac110a-5ce1-4302-84b9-edee15716a97,763,1,00:15:46.225,15,46,25,1.218648,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['7909c824-059a-42fd-b850-6178a767fef0'],,"[21.3, 64.7]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,6928.0,Pedro Taunausú Domínguez Placeres,16.018114,-0.5447021,1.0,Ground Pass,"[35.0, 56.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946.225
7909c824-059a-42fd-b850-6178a767fef0,764,1,00:15:47.444,15,47,25,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['f7ac110a-5ce1-4302-84b9-edee15716a97'],,"[35.0, 56.4]",6928.0,Pedro Taunausú Domínguez Placeres,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.444
0a99973b-4116-4592-a923-6a54fe3b093c,765,1,00:15:47.444,15,47,25,1.019566,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['0fc00fba-1dfc-4bb2-8838-5867d4aa91fa', '7909c824-059a-42fd-b850-6178a767fef0']",,"[35.0, 56.4]",6928.0,Pedro Taunausú Domínguez Placeres,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,"[35.0, 56.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.444
0fc00fba-1dfc-4bb2-8838-5867d4aa91fa,766,1,00:15:48.463,15,48,25,1.529991,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['9581c288-c29a-47f8-9e9c-8e7eb4fc219d'],,"[35.0, 56.4]",6928.0,Pedro Taunausú Domínguez Placeres,13.0,Right Center Midfield,7907.0,Pedro Bigas Rigo,28.338842,-1.7661158,1.0,Ground Pass,"[29.5, 28.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.463
9581c288-c29a-47f8-9e9c-8e7eb4fc219d,767,1,00:15:49.993,15,49,25,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['0fc00fba-1dfc-4bb2-8838-5867d4aa91fa'],,"[29.5, 28.6]",7907.0,Pedro Bigas Rigo,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.993
2bf2d6fc-500f-4d29-ad4e-ad3cc63148ef,768,1,00:15:49.993,15,49,25,2.572625,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['0189d710-149b-489f-b3aa-34c5161c4a53', '9581c288-c29a-47f8-9e9c-8e7eb4fc219d']",,"[29.5, 28.6]",7907.0,Pedro Bigas Rigo,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,"[42.0, 21.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.993
0189d710-149b-489f-b3aa-34c5161c4a53,769,1,00:15:52.566,15,52,25,1.116921,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['f407a5de-d579-4c38-b7bb-41b76241fdc3'],,"[42.0, 21.7]",7907.0,Pedro Bigas Rigo,5.0,Left Center Back,6721.0,Willian José da Silva,25.909458,-0.027020449,2.0,Low Pass,"[67.9, 21.0]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.566
f407a5de-d579-4c38-b7bb-41b76241fdc3,770,1,00:15:53.683,15,53,25,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['0189d710-149b-489f-b3aa-34c5161c4a53'],,"[67.9, 21.0]",6721.0,Willian José da Silva,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.683
0294d6cc-b0a8-4977-a1df-2eb89db42c30,771,1,00:15:53.683,15,53,25,1.282314,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['3fa3f068-0632-4858-b621-694dada6949b', 'df218099-7783-43f3-af29-ccbba720a2d6', 'f407a5de-d579-4c38-b7bb-41b76241fdc3']",,"[67.9, 21.0]",6721.0,Willian José da Silva,23.0,Center Forward,,,,,,,,,,,,,,True,,,,,,"[70.0, 21.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.683
3fa3f068-0632-4858-b621-694dada6949b,772,1,00:15:54.335,15,54,25,0.630084,17,Pressure,208,Las Palmas,1,Regular Play,218,Real Betis,,,['0294d6cc-b0a8-4977-a1df-2eb89db42c30'],,"[48.9, 59.1]",7161.0,Germán Alejandro Pezzella,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.335
