id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,off_camera,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,duel_type_id,duel_type_name,pass_aerial_won,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,foul_committed_advantage,foul_won_advantage,pass_technique_id,pass_technique_name,pass_through_ball,pass_cross,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,out,clearance_head,pass_no_touch,dribble_nutmeg,pass_outswinging,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,block_offensive,block_deflection,shot_first_time,pass_inswinging,shot_one_on_one,dribble_overrun,clearance_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,pass_deflected,miscontrol_aerial_won,timestamp_seconds
a1dbe1e0-3505-4bec-b405-9e492c95a153,1336,1,00:33:49.775,33,49,69,0.0,14,Dribble,223,Málaga,1,Regular Play,223,Málaga,,,"['4011ee13-1062-45a2-a668-95f7fcf2c05b', 'eec7b522-a253-418e-9d69-2d38e6bf4132']","[59.9, 60.5]",25859.0,Sérgio Paulo Barbosa Valente,12.0,Right Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029.775
4011ee13-1062-45a2-a668-95f7fcf2c05b,1337,1,00:33:49.775,33,49,70,0.0,4,Duel,218,Real Betis,6,From Counter,218,Real Betis,,,['a1dbe1e0-3505-4bec-b405-9e492c95a153'],"[60.2, 19.6]",27346.0,Petros Matheus dos Santos Araújo,11.0,Left Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,11.0,Tackle,,True,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029.775
1ba2bcc9-c8f9-4bc7-81bf-a2410c720435,1338,1,00:33:51.374,33,51,70,0.0,2,Ball Recovery,218,Real Betis,6,From Counter,223,Málaga,,,,"[63.4, 63.4]",25859.0,Sérgio Paulo Barbosa Valente,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031.374
f68daa64-6417-4461-88aa-08355578371b,1339,1,00:33:52.845,33,52,70,0.0,2,Ball Recovery,218,Real Betis,6,From Counter,218,Real Betis,,,,"[57.3, 22.4]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032.845
13005e1a-1c67-4650-9175-8699c3807e27,1340,1,00:33:52.845,33,52,70,5.99503,43,Carry,218,Real Betis,6,From Counter,218,Real Betis,,,"['40553ed7-11ae-4106-b5f2-74e92ee7186d', 'efed191f-844d-4509-bab8-3151919480fb', 'f68daa64-6417-4461-88aa-08355578371b']","[57.3, 22.4]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,,,,,,,,,,,,"[94.5, 29.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032.845
40553ed7-11ae-4106-b5f2-74e92ee7186d,1341,1,00:33:58.111,33,58,70,0.718541,17,Pressure,218,Real Betis,6,From Counter,223,Málaga,,,['13005e1a-1c67-4650-9175-8699c3807e27'],"[25.6, 47.1]",6580.0,José Luis García del Pozo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.111
efed191f-844d-4509-bab8-3151919480fb,1342,1,00:33:58.841,33,58,70,1.547311,30,Pass,218,Real Betis,6,From Counter,218,Real Betis,,,['0cd4ffc0-e864-4e6b-8f8e-684a895f8fc4'],"[94.5, 29.6]",26723.0,Álvaro Cejudo Carmona,17.0,Right Wing,6832.0,Rubén Castro Martín,12.806249,-0.25255427,1.0,Ground Pass,"[106.9, 26.4]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,e313d12e-23f1-4c21-8e77-e123439a7181,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.841
0cd4ffc0-e864-4e6b-8f8e-684a895f8fc4,1343,1,00:34:00.388,34,0,70,,42,Ball Receipt*,218,Real Betis,6,From Counter,218,Real Betis,,,['efed191f-844d-4509-bab8-3151919480fb'],"[106.9, 26.4]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040.388
015c7f85-18f1-40ef-a64f-8e6a4510efc4,1344,1,00:34:00.388,34,0,70,1.082958,43,Carry,218,Real Betis,6,From Counter,218,Real Betis,,,"['0cd4ffc0-e864-4e6b-8f8e-684a895f8fc4', '56995dd4-fcdf-4373-b83f-4b51b583ba67', 'e313d12e-23f1-4c21-8e77-e123439a7181']","[106.9, 26.4]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,"[108.3, 26.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040.388
56995dd4-fcdf-4373-b83f-4b51b583ba67,1345,1,00:34:01.190,34,1,70,0.364755,17,Pressure,218,Real Betis,6,From Counter,223,Málaga,,,"['015c7f85-18f1-40ef-a64f-8e6a4510efc4', 'e313d12e-23f1-4c21-8e77-e123439a7181']","[12.9, 47.9]",6580.0,José Luis García del Pozo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041.19
