id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_cross,out,clearance_head,pass_technique_id,pass_technique_name,pass_inswinging,foul_won_defensive,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_offensive,foul_committed_advantage,foul_won_advantage,pass_switch,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_end_location,clearance_aerial_won,clearance_right_foot,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,pass_miscommunication,pass_outswinging,shot_aerial_won,pass_no_touch,dribble_overrun,pass_deflected,block_deflection,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,50_50_outcome_id,50_50_outcome_name,dribble_no_touch,foul_committed_type_id,foul_committed_type_name,shot_deflected,timestamp_seconds
989e3dd7-49db-4d5b-9088-eeec3c72ff46,2930,2,00:36:13.225,81,13,169,1.2536,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['9d64ad60-1028-4c24-b70d-434a6d897198', 'adecd3bd-60fa-47d6-8d27-fb272e685360']",,"[81.1, 74.8]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,"[81.1, 74.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173.225
adecd3bd-60fa-47d6-8d27-fb272e685360,2931,2,00:36:14.479,81,14,169,1.8773,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['fcb56c2b-5241-4651-8dd3-e59a57050375'],,"[81.1, 74.8]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,5506.0,Javier Alejandro Mascherano,26.49113,-2.1409998,1.0,Ground Pass,"[66.8, 52.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174.479
fcb56c2b-5241-4651-8dd3-e59a57050375,2932,2,00:36:16.356,81,16,169,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['adecd3bd-60fa-47d6-8d27-fb272e685360'],,"[66.8, 52.5]",5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176.356
407fca50-54e2-4ea1-84d1-b113f392bf8c,2933,2,00:36:16.356,81,16,169,1.4031,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['5b3bcfdc-e673-420e-be63-743dfc81fa11'],,"[66.8, 51.9]",5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,5203.0,Sergio Busquets i Burgos,7.3736014,-1.2104384,1.0,Ground Pass,"[69.4, 45.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176.356
5b3bcfdc-e673-420e-be63-743dfc81fa11,2934,2,00:36:17.759,81,17,169,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['407fca50-54e2-4ea1-84d1-b113f392bf8c'],,"[69.4, 45.0]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177.759
78bb188b-5a87-410a-b9b9-37c525a5ba82,2935,2,00:36:17.759,81,17,169,2.2173,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['1b3b7325-d029-4c00-bbb4-86c0d56368f5', '5b3bcfdc-e673-420e-be63-743dfc81fa11']",,"[69.4, 45.0]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[70.1, 40.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177.759
1b3b7325-d029-4c00-bbb4-86c0d56368f5,2936,2,00:36:19.976,81,19,169,1.3258,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['46a94a55-0d75-4a3a-815e-5fd797ef808f'],,"[70.1, 40.9]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,5216.0,Andrés Iniesta Luján,11.552056,-1.2901186,1.0,Ground Pass,"[73.3, 29.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2179.976
46a94a55-0d75-4a3a-815e-5fd797ef808f,2937,2,00:36:21.302,81,21,169,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['1b3b7325-d029-4c00-bbb4-86c0d56368f5'],,"[73.3, 29.8]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2181.302
00851293-2410-4812-8bf6-7a36932d885b,2938,2,00:36:21.302,81,21,169,0.9423,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['46a94a55-0d75-4a3a-815e-5fd797ef808f', '902cc4ad-9b54-4c97-b739-a81d7c37a384']",,"[73.3, 29.8]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,,,,,,,,,,,,"[73.3, 29.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2181.302
902cc4ad-9b54-4c97-b739-a81d7c37a384,2939,2,00:36:22.245,81,22,169,2.3141,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['8a4ebe68-dece-47a3-8b0a-517e6bb0461a'],,"[73.3, 29.8]",5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,5211.0,Jordi Alba Ramos,30.84234,-0.93961626,3.0,High Pass,"[91.5, 4.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2182.245
