id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,counterpress,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,foul_committed_type_id,foul_committed_type_name,duel_outcome_id,duel_outcome_name,off_camera,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,pass_cross,interception_outcome_id,interception_outcome_name,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,out,clearance_head,pass_miscommunication,pass_cut_back,ball_recovery_recovery_failure,shot_aerial_won,dribble_overrun,foul_committed_card_id,foul_committed_card_name,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_offensive,clearance_aerial_won,dribble_no_touch,pass_through_ball,pass_technique_id,pass_technique_name,pass_goal_assist,pass_deflected,clearance_left_foot,pass_outswinging,pass_inswinging,foul_committed_advantage,foul_won_advantage,shot_one_on_one,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,clearance_other,timestamp_seconds
1a2a3abf-ef67-4342-b3dd-d91790c59ebc,1638,1,00:44:16.170,44,16,92,,42,Ball Receipt*,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,['12f2f62a-d357-4a2f-9457-8718075ba973'],"[98.1, 30.4]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656.17
23f88668-e796-4cf2-8c7a-8b0c97faa4e0,1639,1,00:44:16.170,44,16,92,0.0,9,Clearance,360,Rayo Vallecano,2,From Corner,213,Sevilla,,,['12f2f62a-d357-4a2f-9457-8718075ba973'],"[23.8, 55.7]",7948.0,Marco Andreolli,3.0,Right Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656.17
c0cd7ce9-527d-44d8-84c3-a262dbeb522e,1640,1,00:44:18.843,44,18,92,0.926358,30,Pass,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,['c217f334-77f3-4477-89b0-12bbd5e28182'],"[72.6, 11.0]",10727.0,Răzvan Dincă Raț,6.0,Left Back,6852.0,Jozabed Sánchez Ruiz,9.4667845,0.54404265,3.0,High Pass,"[80.7, 15.9]",66.0,Recovery,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2658.843
c217f334-77f3-4477-89b0-12bbd5e28182,1641,1,00:44:19.769,44,19,92,,42,Ball Receipt*,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,['c0cd7ce9-527d-44d8-84c3-a262dbeb522e'],"[80.7, 15.9]",6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659.769
b65aceea-6471-4c14-958b-c946c6f6bc06,1642,1,00:44:19.769,44,19,92,1.499197,30,Pass,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,"['22da4bb8-a1a5-47b3-910c-4a12d2236b6c', '9e3cd982-2d4a-45e4-8815-6b3f9a2f04ab']","[81.1, 15.9]",6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,11542.0,Javier Guerra Rodríguez,16.178999,0.14888994,3.0,High Pass,"[97.1, 18.3]",,,37.0,Head,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659.769
22da4bb8-a1a5-47b3-910c-4a12d2236b6c,1643,1,00:44:21.268,44,21,92,,42,Ball Receipt*,360,Rayo Vallecano,2,From Corner,360,Rayo Vallecano,,,['b65aceea-6471-4c14-958b-c946c6f6bc06'],"[93.6, 17.1]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2661.268
9e3cd982-2d4a-45e4-8815-6b3f9a2f04ab,1644,1,00:44:21.268,44,21,93,3.327037,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,"['58d2b2fa-dfb9-44d8-8bb8-32fc4b3f329f', 'b65aceea-6471-4c14-958b-c946c6f6bc06']","[23.0, 61.8]",7948.0,Marco Andreolli,3.0,Right Center Back,6672.0,Jorge Andújar Moreno,8.560374,0.9179497,3.0,High Pass,"[28.2, 68.6]",66.0,Recovery,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2661.268
6841985a-f1f0-476b-878e-4fcf6e6c6752,1645,1,00:44:24.433,44,24,93,1.399112,17,Pressure,213,Sevilla,1,Regular Play,360,Rayo Vallecano,,,"['3e858c68-2ecd-4b7e-a6b1-7f12b12a2c6f', '58d2b2fa-dfb9-44d8-8bb8-32fc4b3f329f']","[88.8, 6.3]",6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2664.433
58d2b2fa-dfb9-44d8-8bb8-32fc4b3f329f,1646,1,00:44:24.595,44,24,93,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,"['6841985a-f1f0-476b-878e-4fcf6e6c6752', '9e3cd982-2d4a-45e4-8815-6b3f9a2f04ab']","[28.2, 68.6]",6672.0,Jorge Andújar Moreno,2.0,Right Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2664.595
3e858c68-2ecd-4b7e-a6b1-7f12b12a2c6f,1647,1,00:44:24.595,44,24,93,1.260656,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['2293b261-0f0b-404e-a19d-fabbbe1095f1', '58d2b2fa-dfb9-44d8-8bb8-32fc4b3f329f', '6841985a-f1f0-476b-878e-4fcf6e6c6752', 'd1e5f90e-425e-433b-a5cb-40f1bf66d34a']","[28.2, 68.6]",6672.0,Jorge Andújar Moreno,2.0,Right Back,,,,,,,,,,,,"[28.6, 71.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2664.595
2293b261-0f0b-404e-a19d-fabbbe1095f1,1648,1,00:44:25.383,44,25,93,0.432206,17,Pressure,213,Sevilla,1,Regular Play,360,Rayo Vallecano,,,['3e858c68-2ecd-4b7e-a6b1-7f12b12a2c6f'],"[89.9, 9.9]",26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2665.383
d1e5f90e-425e-433b-a5cb-40f1bf66d34a,1649,1,00:44:25.856,44,25,93,1.013642,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['c3de25b0-b98e-4ba7-8a82-e6b8fd41c282'],"[28.6, 71.6]",6672.0,Jorge Andújar Moreno,2.0,Right Back,5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,6.824954,-0.8891905,1.0,Ground Pass,"[32.9, 66.3]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2665.856
c3de25b0-b98e-4ba7-8a82-e6b8fd41c282,1650,1,00:44:26.870,44,26,93,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['d1e5f90e-425e-433b-a5cb-40f1bf66d34a'],"[32.9, 66.3]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666.87
4cb0830c-488d-4a31-a961-8e4a9bbfb82f,1651,1,00:44:26.870,44,26,93,1.51733,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['2080b883-294f-4487-b0d4-ddb197955b66', 'c3de25b0-b98e-4ba7-8a82-e6b8fd41c282', 'c4e6c39f-c68a-454b-8626-177556b224d3']","[32.9, 66.3]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,9.0,Right Defensive Midfield,,,,,,,,,,,,"[35.8, 67.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666.87
