id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,pass_deflected,block_deflection,interception_outcome_id,interception_outcome_name,out,pass_switch,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_head,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,clearance_aerial_won,pass_technique_id,pass_technique_name,pass_inswinging,pass_through_ball,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,foul_committed_type_id,foul_committed_type_name,dribble_overrun,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,pass_cut_back,injury_stoppage_in_chain,pass_outswinging,50_50_outcome_id,50_50_outcome_name,pass_goal_assist,shot_deflected,timestamp_seconds
da1924a5-5e54-4f26-833c-ed4b84b6c217,674,1,00:14:34.549,14,34,34,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['8d0e7cae-4915-4b3d-b3fd-7dfefc6fe284'],,"[41.5, 72.7]",6384.0,Gabriel Fernández Arenas,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.549
0aaef829-049f-4e4a-873e-3d5078c48506,675,1,00:14:34.549,14,34,34,1.749764,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['5703bdb3-2818-4a37-b5a9-f054be4ceb84'],,"[41.5, 72.7]",6384.0,Gabriel Fernández Arenas,10.0,Center Defensive Midfield,,,28.480345,0.11259595,3.0,High Pass,"[69.8, 75.9]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.549
5703bdb3-2818-4a37-b5a9-f054be4ceb84,676,1,00:14:36.299,14,36,34,1.315507,30,Pass,212,Atlético Madrid,4,From Throw In,223,Málaga,,,"['0aaef829-049f-4e4a-873e-3d5078c48506', '49c98ce5-eae6-4c1c-af63-175bf40de281']",,"[50.3, 4.2]",26669.0,Weligton Róbson Pena de Oliveira,5.0,Left Center Back,6707.0,Charles Días Barbosa de Oliveira,27.708843,0.4200565,3.0,High Pass,"[75.6, 15.5]",38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.299
49c98ce5-eae6-4c1c-af63-175bf40de281,677,1,00:14:37.614,14,37,34,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,223,Málaga,,,['5703bdb3-2818-4a37-b5a9-f054be4ceb84'],,"[75.6, 15.5]",6707.0,Charles Días Barbosa de Oliveira,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.614
a4a8a055-4013-4e06-97cf-19fca5694563,678,1,00:14:37.614,14,37,34,2.2807,43,Carry,212,Atlético Madrid,4,From Throw In,223,Málaga,,,"['18d4d29d-ec0a-433a-8b14-f9e1d93db5d6', '294731e6-b10e-4eac-9cf1-1e7fd5701b5e', '49c98ce5-eae6-4c1c-af63-175bf40de281']",,"[75.6, 15.5]",6707.0,Charles Días Barbosa de Oliveira,24.0,Left Center Forward,,,,,,,,,,,,"[73.0, 17.7]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.614
294731e6-b10e-4eac-9cf1-1e7fd5701b5e,679,1,00:14:38.820,14,38,34,1.075166,17,Pressure,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['18d4d29d-ec0a-433a-8b14-f9e1d93db5d6', 'a4a8a055-4013-4e06-97cf-19fca5694563']",,"[49.9, 63.5]",6381.0,Saúl Ñíguez Esclapez,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.82
18d4d29d-ec0a-433a-8b14-f9e1d93db5d6,680,1,00:14:39.895,14,39,34,0.0,3,Dispossessed,212,Atlético Madrid,4,From Throw In,223,Málaga,,,"['294731e6-b10e-4eac-9cf1-1e7fd5701b5e', '886b1064-bff8-4c1d-97a7-02ea8d023928']",,"[73.0, 17.7]",6707.0,Charles Días Barbosa de Oliveira,24.0,Left Center Forward,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.895
886b1064-bff8-4c1d-97a7-02ea8d023928,681,1,00:14:39.895,14,39,34,0.0,4,Duel,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['18d4d29d-ec0a-433a-8b14-f9e1d93db5d6'],,"[47.1, 62.4]",6381.0,Saúl Ñíguez Esclapez,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,True,11.0,Tackle,,,,,True,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.895
829607e5-db42-4761-81c6-ce826d3383c1,682,1,00:14:39.895,14,39,34,1.304493,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['886b1064-bff8-4c1d-97a7-02ea8d023928', 'bb49d3d7-dd7a-4802-895e-07fa16cba147']",,"[47.1, 62.4]",6381.0,Saúl Ñíguez Esclapez,15.0,Left Center Midfield,,,,,,,,,,,,"[44.3, 60.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.895
bb49d3d7-dd7a-4802-895e-07fa16cba147,683,1,00:14:41.199,14,41,34,0.870213,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['b24d80d6-7dd7-488f-9d7d-ee96b12862ce'],,"[44.3, 60.1]",6381.0,Saúl Ñíguez Esclapez,15.0,Left Center Midfield,5249.0,Diego Roberto Godín Leal,14.308739,-2.4155307,1.0,Ground Pass,"[33.6, 50.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881.199
