id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,counterpress,pass_cross,out,pass_switch,off_camera,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,clearance_left_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,pass_cut_back,pass_goal_assist,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,foul_won_defensive,pass_outswinging,shot_aerial_won,shot_one_on_one,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,ball_recovery_recovery_failure,shot_open_goal,dribble_overrun,foul_committed_advantage,foul_won_advantage,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,block_deflection,pass_inswinging,shot_deflected,dribble_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,timestamp_seconds
5730d453-8d4e-4f1e-9027-8dba6915b028,2784,2,00:35:24.156,80,24,198,,42,Ball Receipt*,219,RC Deportivo La Coruña,4,From Throw In,219,RC Deportivo La Coruña,,,['f395d0df-355a-46fa-ad22-c115d69fb685'],"[57.0, 35.9]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.156
61fe0478-4731-46a3-9b47-6a63cdedacc2,2785,2,00:35:24.156,80,24,198,1.935754,43,Carry,219,RC Deportivo La Coruña,4,From Throw In,219,RC Deportivo La Coruña,,,"['5730d453-8d4e-4f1e-9027-8dba6915b028', 'f348aced-94b3-4240-bf54-23c81370c727']","[57.0, 35.9]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,,,,,,,,,,,,"[64.1, 27.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.156
f348aced-94b3-4240-bf54-23c81370c727,2786,2,00:35:26.092,80,26,198,2.1871,30,Pass,219,RC Deportivo La Coruña,4,From Throw In,219,RC Deportivo La Coruña,,,['43208d7b-dad2-435f-bad8-64ce0d5305b3'],"[64.1, 27.9]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,26288.0,Jonathan Javier Rodríguez Portillo,40.7156,0.18776195,3.0,High Pass,"[104.1, 35.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dbf05c15-776b-414d-8186-083fc03f87b3,True,,,,,,,,,,,,,,,,True,108.0,Through Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126.092
43208d7b-dad2-435f-bad8-64ce0d5305b3,2787,2,00:35:28.279,80,28,198,,42,Ball Receipt*,219,RC Deportivo La Coruña,4,From Throw In,219,RC Deportivo La Coruña,,,['f348aced-94b3-4240-bf54-23c81370c727'],"[104.1, 35.5]",26288.0,Jonathan Javier Rodríguez Portillo,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128.279
dbf05c15-776b-414d-8186-083fc03f87b3,2788,2,00:35:28.319,80,28,198,0.488304,16,Shot,219,RC Deportivo La Coruña,4,From Throw In,219,RC Deportivo La Coruña,,,['c5783164-2f81-4063-b608-38839fc9c163'],"[103.5, 32.0]",26288.0,Jonathan Javier Rodríguez Portillo,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0942782,"[108.0, 36.0]",f348aced-94b3-4240-bf54-23c81370c727,37.0,Head,87.0,Open Play,101.0,Wayward,93.0,Normal,"[{'location': [97.7, 42.5], 'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [86.0, 40.7], 'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [84.4, 27.1], 'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [88.8, 17.0], 'player': {'id': 26797, 'name': 'Francisco Medina Luna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [90.7, 22.3], 'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.6, 33.7], 'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.5, 37.4], 'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.2, 46.7], 'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.2, 37.8], 'player': {'id': 24255, 'name': 'Juan Carlos Martín Corral'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [86.0, 53.3], 'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [79.8, 50.2], 'player': {'id': 23806, 'name': 'Alejandro Bergantiños García'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [86.7, 22.3], 'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2128.319
c5783164-2f81-4063-b608-38839fc9c163,2789,2,00:35:28.807,80,28,198,0.0,23,Goal Keeper,219,RC Deportivo La Coruña,4,From Throw In,360,Rayo Vallecano,,,['dbf05c15-776b-414d-8186-083fc03f87b3'],"[6.9, 42.3]",24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,Shot Faced,,,,,,,,,,,,,,,,"[6.9, 42.3]",44.0,Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128.807
32bc9c3a-6d25-4a48-b279-fce94bdeedd4,2790,2,00:35:29.311,80,29,199,0.0,2,Ball Recovery,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,,"[8.0, 40.8]",24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129.311
7b04053d-db32-4564-9b4d-f20753524699,2791,2,00:35:48.924,80,48,199,1.522973,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['9d05b85f-425d-482d-91c3-bdca6c0c72e0'],"[14.8, 51.0]",24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,6713.0,Diego Javier Llorente Ríos,38.912853,0.02570128,3.0,High Pass,"[53.7, 52.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2148.924
9d05b85f-425d-482d-91c3-bdca6c0c72e0,2792,2,00:35:50.447,80,50,199,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['7b04053d-db32-4564-9b4d-f20753524699'],"[53.7, 52.0]",6713.0,Diego Javier Llorente Ríos,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.447
5b90ed40-fc0f-4e4e-a886-4f77aae05895,2793,2,00:35:55.397,80,55,199,1.717624,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['6d1536e2-1e73-496f-b276-ff237d8dfb13'],"[56.0, 45.6]",6713.0,Diego Javier Llorente Ríos,11.0,Left Defensive Midfield,26607.0,José Raúl Baena Urdiales,28.144272,-1.8925469,1.0,Ground Pass,"[47.1, 18.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155.397
