id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_type_id,duel_type_name,pass_aerial_won,clearance_left_foot,counterpress,duel_outcome_id,duel_outcome_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_cross,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,clearance_right_foot,interception_outcome_id,interception_outcome_name,goalkeeper_end_location,out,dribble_outcome_id,dribble_outcome_name,dribble_overrun,foul_won_defensive,ball_recovery_recovery_failure,pass_switch,clearance_aerial_won,pass_technique_id,pass_technique_name,pass_outswinging,shot_one_on_one,pass_deflected,block_offensive,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,pass_through_ball,pass_no_touch,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,pass_miscommunication,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,shot_saved_off_target,shot_deflected,block_deflection,goalkeeper_shot_saved_off_target,pass_goal_assist,timestamp_seconds
8069dcaf-b40d-4d14-9782-3276cc7f1efd,205,1,00:04:41.171,4,41,8,0.804353,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['66f1d2f2-6a25-4e8f-97d4-1cb51d17852d', 'edd168e9-9d23-44b8-9a3b-3afddc7fa522']",,"[79.7, 19.0]",6932.0,Dani Castellano Betancor,6.0,Left Back,,,,,,,,,,,,"[78.6, 18.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.171
edd168e9-9d23-44b8-9a3b-3afddc7fa522,206,1,00:04:41.975,4,41,8,1.017568,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['04ce4312-75d5-4ba7-a6ac-0c4fe6331254'],,"[78.6, 18.4]",6932.0,Dani Castellano Betancor,6.0,Left Back,10755.0,Jonathan Viera Ramos,15.697452,-1.1014508,1.0,Ground Pass,"[85.7, 4.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.975
04ce4312-75d5-4ba7-a6ac-0c4fe6331254,207,1,00:04:42.993,4,42,8,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['edd168e9-9d23-44b8-9a3b-3afddc7fa522'],,"[85.7, 4.4]",10755.0,Jonathan Viera Ramos,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.993
d20c1157-aa8d-409c-a02b-e62cd800bd2b,208,1,00:04:42.993,4,42,8,0.770742,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['04ce4312-75d5-4ba7-a6ac-0c4fe6331254', '129cb5fb-a13f-40cc-a4f6-ef2d60f07162']",,"[85.7, 4.4]",10755.0,Jonathan Viera Ramos,16.0,Left Midfield,,,,,,,,,,,,"[85.7, 4.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.993
129cb5fb-a13f-40cc-a4f6-ef2d60f07162,209,1,00:04:43.764,4,43,8,0.0,38,Miscontrol,208,Las Palmas,4,From Throw In,208,Las Palmas,,,,,"[85.7, 4.1]",10755.0,Jonathan Viera Ramos,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.764
6562e7d7-38d2-4526-9439-086be375c182,210,1,00:04:44.401,4,44,9,0.0,2,Ball Recovery,218,Real Betis,1,Regular Play,218,Real Betis,,,,,"[30.9, 73.9]",11634.0,Cristiano Piccini,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.401
1f894fb8-d47d-478f-9473-4185b8d8f05a,211,1,00:04:44.401,4,44,9,1.302047,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['42db3657-41f7-423b-bf36-d4f8bfeef410', '6562e7d7-38d2-4526-9439-086be375c182', '91ec5594-2136-4677-a4bb-e712a8171905']",,"[30.9, 73.9]",11634.0,Cristiano Piccini,2.0,Right Back,,,,,,,,,,,,"[31.6, 72.8]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.401
42db3657-41f7-423b-bf36-d4f8bfeef410,212,1,00:04:44.742,4,44,9,0.972608,17,Pressure,218,Real Betis,1,Regular Play,208,Las Palmas,,,"['1f894fb8-d47d-478f-9473-4185b8d8f05a', '91ec5594-2136-4677-a4bb-e712a8171905']",,"[86.4, 5.1]",10755.0,Jonathan Viera Ramos,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.742
91ec5594-2136-4677-a4bb-e712a8171905,213,1,00:04:45.703,4,45,9,1.729692,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,"['42db3657-41f7-423b-bf36-d4f8bfeef410', '61898fdd-acaa-406f-9107-3d5f6b4a1ead']",,"[31.6, 72.8]",11634.0,Cristiano Piccini,2.0,Right Back,27349.0,Heiko Westermann,15.220053,-2.5007195,1.0,Ground Pass,"[19.4, 63.7]",40.0,Right Foot,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.703
61898fdd-acaa-406f-9107-3d5f6b4a1ead,214,1,00:04:47.432,4,47,9,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['91ec5594-2136-4677-a4bb-e712a8171905'],,"[19.4, 63.7]",27349.0,Heiko Westermann,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.432
9fe78a60-3224-4714-8ae8-6d1d78498808,215,1,00:04:47.432,4,47,9,0.701054,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['61898fdd-acaa-406f-9107-3d5f6b4a1ead', 'a3800a95-11a2-4801-8c7a-b84fb70237ee']",,"[19.4, 63.7]",27349.0,Heiko Westermann,3.0,Right Center Back,,,,,,,,,,,,"[18.8, 64.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.432
a3800a95-11a2-4801-8c7a-b84fb70237ee,216,1,00:04:48.133,4,48,9,1.010636,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['fe2edf64-c19c-42f0-9eaa-4fbb2e45c2c5'],,"[18.8, 64.4]",27349.0,Heiko Westermann,3.0,Right Center Back,6651.0,Joaquín Sánchez Rodríguez,12.649111,1.2490457,1.0,Ground Pass,"[22.8, 76.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.133
