id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,out,off_camera,interception_outcome_id,interception_outcome_name,pass_switch,duel_type_id,duel_type_name,pass_aerial_won,miscontrol_aerial_won,duel_outcome_id,duel_outcome_name,dribble_overrun,dribble_outcome_id,dribble_outcome_name,ball_recovery_offensive,pass_no_touch,pass_cross,pass_technique_id,pass_technique_name,pass_outswinging,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_inswinging,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,50_50_outcome_id,50_50_outcome_name,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_first_time,goalkeeper_end_location,goalkeeper_punched_out,shot_aerial_won,foul_won_defensive,block_offensive,foul_committed_card_id,foul_committed_card_name,clearance_left_foot,clearance_aerial_won,pass_deflected,block_deflection,foul_won_advantage,pass_through_ball,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_other,pass_goal_assist,shot_deflected,dribble_nutmeg,timestamp_seconds
4538e5d8-fa22-4875-b84d-7cd98db1c795,2320,2,00:18:11.420,63,11,137,1.528163,30,Pass,212,Atlético Madrid,2,From Corner,212,Atlético Madrid,,,['b8e0cbf5-9e18-4d23-80b9-02eddf0119a2'],"[120.0, 80.0]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,5487.0,Antoine Griezmann,35.725903,-1.8110229,3.0,High Pass,"[111.5, 45.3]",40.0,Right Foot,61.0,Corner,,,,,,,,,,,,,,,,,,,,,,,,,105.0,Outswinging,True,,,,,,,,,,,,,,,,e5b97d32-9b38-4f5d-a28a-e77c018aa5a8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091.42
b8e0cbf5-9e18-4d23-80b9-02eddf0119a2,2321,2,00:18:12.909,63,12,137,,42,Ball Receipt*,212,Atlético Madrid,2,From Corner,212,Atlético Madrid,,,['4538e5d8-fa22-4875-b84d-7cd98db1c795'],"[111.5, 45.3]",5487.0,Antoine Griezmann,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.909
e5b97d32-9b38-4f5d-a28a-e77c018aa5a8,2322,2,00:18:12.909,63,12,137,0.943046,16,Shot,212,Atlético Madrid,2,From Corner,212,Atlético Madrid,,,['bb6d4001-b181-4563-9edf-eb39ff287dd5'],"[111.6, 46.4]",5487.0,Antoine Griezmann,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04633235,"[120.0, 45.0, 5.2]",4538e5d8-fa22-4875-b84d-7cd98db1c795,98.0,Off T,93.0,Normal,37.0,Head,87.0,Open Play,"[{'location': [99.2, 28.2], 'player': {'id': 6377, 'name': 'Ángel Martín Correa'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [93.5, 39.8], 'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [97.4, 49.9], 'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [119.2, 41.8], 'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.2, 33.3], 'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.9, 32.6], 'player': {'id': 6382, 'name': 'Fernando José Torres Sanz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.9, 50.2], 'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.5, 48.5], 'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.3, 46.9], 'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 45.7], 'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.9, 42.3], 'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.3, 51.4], 'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [104.3, 34.6], 'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.4, 45.1], 'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [111.1, 36.0], 'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.4, 33.0], 'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.7, 48.3], 'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [116.9, 79.1], 'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [111.1, 44.0], 'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.909
bb6d4001-b181-4563-9edf-eb39ff287dd5,2323,2,00:18:13.853,63,13,137,0.0,23,Goal Keeper,212,Atlético Madrid,2,From Corner,223,Málaga,,,['e5b97d32-9b38-4f5d-a28a-e77c018aa5a8'],"[0.9, 38.3]",5577.0,Francisco Guillermo Ochoa Magaña,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,Shot Faced,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,Set,,,,"[0.9, 38.3]",,,,,,,,,,,,,,,,,,,,,,1093.853
7f8a6a4e-8e24-4c2d-b829-4883d1220b5e,2324,2,00:18:25.980,63,25,137,0.0,19,Substitution,212,Atlético Madrid,2,From Corner,223,Málaga,,,,,6764.0,Pablo Fornals Malla,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,6563.0,Juan Pablo Añor Acosta,,,,,1105.98
264e9660-4924-4ce8-b26e-9f5df00ee742,2325,2,00:18:42.477,63,42,138,4.990324,30,Pass,223,Málaga,7,From Goal Kick,223,Málaga,,,['5fcc9d2e-abc2-4f49-83f8-02175c1a259a'],"[6.0, 44.0]",5577.0,Francisco Guillermo Ochoa Magaña,1.0,Goalkeeper,6563.0,Juan Pablo Añor Acosta,70.02314,0.30458874,3.0,High Pass,"[72.8, 65.0]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122.477
5fcc9d2e-abc2-4f49-83f8-02175c1a259a,2326,2,00:18:47.467,63,47,138,,42,Ball Receipt*,223,Málaga,7,From Goal Kick,223,Málaga,,,['264e9660-4924-4ce8-b26e-9f5df00ee742'],"[72.8, 65.0]",6563.0,Juan Pablo Añor Acosta,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.467
342629fe-c037-4e51-a3ad-f52962e44eb6,2327,2,00:18:47.467,63,47,138,0.876583,43,Carry,223,Málaga,7,From Goal Kick,223,Málaga,,,"['0a46185c-ce6b-469d-8356-03c9b10be5a8', '5fcc9d2e-abc2-4f49-83f8-02175c1a259a', 'b5e3b67c-5afd-4df2-b529-a20232c4bd77']","[72.8, 65.0]",6563.0,Juan Pablo Añor Acosta,12.0,Right Midfield,,,,,,,,,,,,"[71.7, 69.0]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.467
b5e3b67c-5afd-4df2-b529-a20232c4bd77,2328,2,00:18:47.819,63,47,138,0.525322,17,Pressure,223,Málaga,7,From Goal Kick,212,Atlético Madrid,,,['342629fe-c037-4e51-a3ad-f52962e44eb6'],"[47.3, 16.2]",5199.0,Jorge Resurrección Merodio,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.819
0a46185c-ce6b-469d-8356-03c9b10be5a8,2329,2,00:18:48.344,63,48,138,0.0,3,Dispossessed,223,Málaga,7,From Goal Kick,223,Málaga,,,['2e08b9be-2f79-4712-b8ab-8ae8c10f9066'],"[71.7, 69.0]",6563.0,Juan Pablo Añor Acosta,12.0,Right Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128.344
2e08b9be-2f79-4712-b8ab-8ae8c10f9066,2330,2,00:18:48.344,63,48,138,0.0,4,Duel,223,Málaga,7,From Goal Kick,212,Atlético Madrid,,,['0a46185c-ce6b-469d-8356-03c9b10be5a8'],"[48.4, 11.1]",5199.0,Jorge Resurrección Merodio,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,True,,,,,,,11.0,Tackle,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128.344
4e9b88d9-2c6c-41bd-8893-2d4ae52cb28c,2331,2,00:19:04.363,64,4,139,1.943058,30,Pass,223,Málaga,4,From Throw In,223,Málaga,,,['0e7a2690-70c3-4fbc-a2c7-a5f2316a91b6'],"[71.1, 80.0]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,6878.0,Miguel Torres Gómez,44.307224,-1.5527396,3.0,High Pass,"[71.9, 35.7]",,,67.0,Throw-in,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.363
