id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_switch,miscontrol_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_outcome_id,dribble_outcome_name,out,pass_technique_id,pass_technique_name,pass_outswinging,pass_assisted_shot_id,pass_goal_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,pass_cross,clearance_aerial_won,pass_deflected,pass_straight,interception_outcome_id,interception_outcome_name,pass_no_touch,block_deflection,foul_won_defensive,pass_through_ball,50_50_outcome_id,50_50_outcome_name,clearance_left_foot,pass_shot_assist,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,goalkeeper_end_location,shot_first_time,foul_committed_card_id,foul_committed_card_name,clearance_other,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,injury_stoppage_in_chain,pass_cut_back,dribble_nutmeg,shot_open_goal,dribble_overrun,timestamp_seconds
2ca34664-8935-4ea6-8ca9-4d8351e87aa2,466,1,00:11:19.278,11,19,29,0.728327,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['3ba0f4ff-63e3-44bc-b2f6-2c08662f10a2', '694b2066-e0e0-4f46-b835-43656c56b359', 'a5c7a4ab-d75c-42a1-bc41-25611627d921']",,"[32.0, 68.2]",24070.0,Saúl Berjón Pérez,12.0,Right Midfield,,,,,,,,,,,,"[34.4, 70.0]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.278
694b2066-e0e0-4f46-b835-43656c56b359,467,1,00:11:19.689,11,19,29,0.540825,17,Pressure,322,Eibar,1,Regular Play,209,Celta Vigo,,,"['2ca34664-8935-4ea6-8ca9-4d8351e87aa2', '3ba0f4ff-63e3-44bc-b2f6-2c08662f10a2']",,"[88.9, 9.2]",7577.0,Carles Planas Antolínez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.689
3ba0f4ff-63e3-44bc-b2f6-2c08662f10a2,468,1,00:11:20.007,11,20,29,1.443725,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,"['694b2066-e0e0-4f46-b835-43656c56b359', 'fbc6fbe7-25af-4f03-be81-be28b0124d75']",,"[34.4, 70.0]",24070.0,Saúl Berjón Pérez,12.0,Right Midfield,6566.0,Borja González Tomás,10.662551,1.2164164,2.0,Low Pass,"[38.1, 80.0]",40.0,Right Foot,,,,75.0,Out,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.007
fbc6fbe7-25af-4f03-be81-be28b0124d75,469,1,00:11:21.450,11,21,29,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['3ba0f4ff-63e3-44bc-b2f6-2c08662f10a2'],,"[40.5, 78.8]",6566.0,Borja González Tomás,22.0,Right Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.45
9afe2b8f-42b6-4edb-8404-bc8c57f138cc,470,1,00:11:29.126,11,29,30,1.292266,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['6fe15807-6f9a-4b74-b912-5e16cd3e77cb'],,"[81.6, 0.1]",7577.0,Carles Planas Antolínez,6.0,Left Back,6801.0,Pedro Pablo Hernández,13.515177,1.0176872,2.0,Low Pass,"[88.7, 11.6]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.126
6fe15807-6f9a-4b74-b912-5e16cd3e77cb,471,1,00:11:30.418,11,30,30,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['9afe2b8f-42b6-4edb-8404-bc8c57f138cc'],,"[88.7, 11.6]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.418
e88f5b73-36c4-4a49-b726-cf1ebe85ecdd,472,1,00:11:30.418,11,30,30,0.692825,43,Carry,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['293c6f43-144a-4f38-b364-5dd5a6d619d0', '6fe15807-6f9a-4b74-b912-5e16cd3e77cb']",,"[88.7, 11.6]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,,,,,,,,,,,,"[86.5, 9.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.418
293c6f43-144a-4f38-b364-5dd5a6d619d0,473,1,00:11:31.111,11,31,30,0.873819,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['55ff3d9b-39dc-424f-8d40-43381aa7375a'],,"[86.5, 9.1]",6801.0,Pedro Pablo Hernández,15.0,Left Center Midfield,7577.0,Carles Planas Antolínez,7.9479556,-1.9442935,1.0,Ground Pass,"[83.6, 1.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.111
55ff3d9b-39dc-424f-8d40-43381aa7375a,474,1,00:11:31.985,11,31,30,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['293c6f43-144a-4f38-b364-5dd5a6d619d0'],,"[83.6, 1.7]",7577.0,Carles Planas Antolínez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.985
ee155214-4bbd-4884-9bd4-73469c5d25b8,475,1,00:11:31.985,11,31,30,0.48795,43,Carry,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['55ff3d9b-39dc-424f-8d40-43381aa7375a', '6521b908-e0ce-4170-b453-81da7e7a31f5']",,"[83.6, 1.7]",7577.0,Carles Planas Antolínez,6.0,Left Back,,,,,,,,,,,,"[82.4, 2.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.985
