id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_aerial_won,pass_cross,clearance_head,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_technique_id,pass_technique_name,pass_outswinging,clearance_right_foot,pass_switch,goalkeeper_outcome_id,goalkeeper_outcome_name,counterpress,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,interception_outcome_id,interception_outcome_name,shot_deflected,block_deflection,block_offensive,off_camera,clearance_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_through_ball,pass_deflected,pass_goal_assist,ball_recovery_recovery_failure,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,dribble_no_touch,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_open_goal,dribble_overrun,dribble_nutmeg,pass_inswinging,pass_no_touch,pass_straight,timestamp_seconds
0b0e913e-9de5-43ad-9ba2-7983dd378400,412,1,00:16:01.644,16,1,37,0.0,21,Foul Won,216,Getafe,7,From Goal Kick,222,Villarreal,,,['3adeb00d-b1f6-4d3a-ba4f-bd7788a2ed1f'],"[47.3, 59.2]",3324.0,Eric Bertrand Bailly,3.0,Right Center Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,961.644
644d18b5-499a-4c7a-8a8b-0e9359eab8f0,413,1,00:16:37.314,16,37,38,2.945752,30,Pass,222,Villarreal,3,From Free Kick,222,Villarreal,,,['19e12152-f89f-4fe5-bbc4-e39ab432b28d'],"[41.1, 43.8]",6622.0,Tomás Pina Isla,10.0,Center Defensive Midfield,6752.0,Víctor Ruíz Torre,44.874603,-1.341492,2.0,Low Pass,"[51.3, 0.1]",62.0,Free Kick,40.0,Right Foot,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.314
19e12152-f89f-4fe5-bbc4-e39ab432b28d,414,1,00:16:40.260,16,40,38,,42,Ball Receipt*,222,Villarreal,3,From Free Kick,222,Villarreal,,,['644d18b5-499a-4c7a-8a8b-0e9359eab8f0'],"[54.9, 4.3]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.26
746eeb77-fdc4-4732-868c-3989cead22df,415,1,00:16:49.349,16,49,39,1.059603,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['596a9e8f-11fd-4afc-b9a4-1eb58af9081d'],"[71.3, 80.0]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,25881.0,Juan Antonio Rodríguez Villamuela,8.5440035,-1.8555268,2.0,Low Pass,"[68.9, 71.8]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.349
596a9e8f-11fd-4afc-b9a4-1eb58af9081d,416,1,00:16:50.408,16,50,39,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['746eeb77-fdc4-4732-868c-3989cead22df'],"[68.9, 71.8]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.408
903f50de-7485-445d-a2f7-d50e28997353,417,1,00:16:50.408,16,50,39,0.424349,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['596a9e8f-11fd-4afc-b9a4-1eb58af9081d', '8d94eb82-5d0e-48eb-bf4b-96086ca20866']","[68.9, 71.8]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,,,,,,,,,,,,"[68.9, 71.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.408
8d94eb82-5d0e-48eb-bf4b-96086ca20866,418,1,00:16:50.833,16,50,39,0.773008,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['9fa8e7ba-dff2-4bc9-a2a2-d78954333472'],"[68.9, 71.8]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,6627.0,Damián Nicolás Suárez Suárez,6.0207973,1.3701434,1.0,Ground Pass,"[70.1, 77.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.833
9fa8e7ba-dff2-4bc9-a2a2-d78954333472,419,1,00:16:51.606,16,51,39,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['8d94eb82-5d0e-48eb-bf4b-96086ca20866'],"[70.1, 77.7]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.606
b21dd84f-b24d-487f-92f4-07a1267effb7,420,1,00:16:51.606,16,51,39,0.622706,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['01628494-8e53-4967-9661-78a9c127ebe4', '1d1e2e59-339b-4512-81ef-be1affa0fe13', '9fa8e7ba-dff2-4bc9-a2a2-d78954333472']","[70.1, 77.7]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,"[64.1, 76.4]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.606
01628494-8e53-4967-9661-78a9c127ebe4,421,1,00:16:51.925,16,51,39,0.460704,17,Pressure,216,Getafe,4,From Throw In,222,Villarreal,,,"['1d1e2e59-339b-4512-81ef-be1affa0fe13', 'b21dd84f-b24d-487f-92f4-07a1267effb7']","[47.6, 3.3]",6829.0,Samuel Castillejo Azuaga,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.925
