id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_switch,out,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_deflected,block_deflection,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_inswinging,pass_technique_id,pass_technique_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,interception_outcome_id,interception_outcome_name,foul_won_defensive,goalkeeper_end_location,pass_through_ball,pass_outswinging,pass_aerial_won,clearance_left_foot,off_camera,ball_recovery_recovery_failure,clearance_aerial_won,shot_first_time,foul_committed_card_id,foul_committed_card_name,pass_cut_back,pass_goal_assist,shot_open_goal,foul_committed_advantage,foul_won_advantage,clearance_other,foul_committed_type_id,foul_committed_type_name,dribble_overrun,clearance_right_foot,50_50_outcome_id,50_50_outcome_name,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
b3ca943c-ca9c-4143-b9dd-258ffe422555,2943,2,00:38:45.475,83,45,149,0.892266,30,Pass,1049,Granada,3,From Free Kick,1049,Granada,,,['95402807-75b2-496b-a330-21b222f7e79f'],"[31.8, 68.9]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,6599.0,Rubén Salvador Pérez Del Mármol,17.084496,-1.0966779,1.0,Ground Pass,"[39.6, 53.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325.475
95402807-75b2-496b-a330-21b222f7e79f,2944,2,00:38:46.367,83,46,149,,42,Ball Receipt*,1049,Granada,3,From Free Kick,1049,Granada,,,['b3ca943c-ca9c-4143-b9dd-258ffe422555'],"[39.6, 53.7]",6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2326.367
f99ccffd-2704-4f8f-a269-a050577d228f,2945,2,00:38:46.367,83,46,149,1.744734,43,Carry,1049,Granada,3,From Free Kick,1049,Granada,,,"['7500fb17-6efb-4e0c-980d-eb47928b7df1', '95402807-75b2-496b-a330-21b222f7e79f']","[39.6, 53.7]",6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,,,,,,,,,,,,"[40.2, 53.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2326.367
7500fb17-6efb-4e0c-980d-eb47928b7df1,2946,2,00:38:48.112,83,48,149,1.4942,30,Pass,1049,Granada,3,From Free Kick,1049,Granada,,,['f4b75210-4a7d-456b-bf29-bc8094c976f3'],"[40.2, 53.7]",6599.0,Rubén Salvador Pérez Del Mármol,11.0,Left Defensive Midfield,25707.0,Francisco Manuel Rico Castro,20.367867,-1.063221,1.0,Ground Pass,"[50.1, 35.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2328.112
f4b75210-4a7d-456b-bf29-bc8094c976f3,2947,2,00:38:49.606,83,49,149,,42,Ball Receipt*,1049,Granada,3,From Free Kick,1049,Granada,,,['7500fb17-6efb-4e0c-980d-eb47928b7df1'],"[50.1, 35.9]",25707.0,Francisco Manuel Rico Castro,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.606
9fa10a5c-30b5-478a-8532-0bb3fbb99e36,2948,2,00:38:49.606,83,49,149,0.3692,43,Carry,1049,Granada,3,From Free Kick,1049,Granada,,,"['401b57bc-2741-4f56-ac83-ece762745185', 'f4b75210-4a7d-456b-bf29-bc8094c976f3']","[50.1, 35.9]",25707.0,Francisco Manuel Rico Castro,19.0,Center Attacking Midfield,,,,,,,,,,,,"[50.3, 36.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.606
401b57bc-2741-4f56-ac83-ece762745185,2949,2,00:38:49.975,83,49,149,1.7611,30,Pass,1049,Granada,3,From Free Kick,1049,Granada,,,['93611cae-5dc3-4a15-b1e6-a632fc6471c6'],"[50.3, 36.1]",25707.0,Francisco Manuel Rico Castro,19.0,Center Attacking Midfield,4418.0,Matheus Dória Macedo,17.902514,-2.5148497,1.0,Ground Pass,"[35.8, 25.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.975
93611cae-5dc3-4a15-b1e6-a632fc6471c6,2950,2,00:38:51.736,83,51,149,,42,Ball Receipt*,1049,Granada,3,From Free Kick,1049,Granada,,,['401b57bc-2741-4f56-ac83-ece762745185'],"[35.8, 25.6]",4418.0,Matheus Dória Macedo,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2331.736
0597f774-5ab7-4c2f-9866-993c4a227848,2951,2,00:38:51.736,83,51,149,0.7991,43,Carry,1049,Granada,3,From Free Kick,1049,Granada,,,"['6434695c-69e9-498f-a63f-babcd71776d5', '93611cae-5dc3-4a15-b1e6-a632fc6471c6']","[35.8, 25.6]",4418.0,Matheus Dória Macedo,5.0,Left Center Back,,,,,,,,,,,,"[36.9, 25.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2331.736
6434695c-69e9-498f-a63f-babcd71776d5,2952,2,00:38:52.535,83,52,149,1.3301,30,Pass,1049,Granada,3,From Free Kick,1049,Granada,,,['f2783060-81f3-453e-b22f-b7b5058e2a61'],"[36.9, 25.6]",4418.0,Matheus Dória Macedo,5.0,Left Center Back,26776.0,Juan Isaac Cuenca López,23.333452,-0.40995646,2.0,Low Pass,"[58.3, 16.3]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332.535
