id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,pass_outswinging,pass_technique_id,pass_technique_name,clearance_head,pass_switch,miscontrol_aerial_won,pass_miscommunication,off_camera,pass_no_touch,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_aerial_won,foul_committed_advantage,foul_won_advantage,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_goal_assist,pass_through_ball,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,clearance_left_foot,dribble_nutmeg,clearance_aerial_won,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,shot_one_on_one,foul_committed_offensive,pass_deflected,block_deflection,pass_cut_back,block_save_block,dribble_overrun,shot_aerial_won,timestamp_seconds
df47da0e-595a-446b-a1fa-a00239812868,3779,2,00:43:45.477,88,45,194,0.4348,16,Shot,220,Real Madrid,2,From Corner,220,Real Madrid,,,"['42f670b7-8b6b-4f16-b98d-1ace01033ba4', 'fbc8c848-f618-483a-b6a1-038dbf5750f7']","[113.4, 41.3]",5207.0,Cristiano Ronaldo dos Santos Aveiro,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12529638,"[119.2, 40.6, 2.3]",e68fe809-0c12-4e91-ac35-ec7ad2cac71d,87.0,Open Play,37.0,Head,100.0,Saved,93.0,Normal,"[{'location': [113.9, 40.7], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.3, 41.7], 'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.4, 40.3], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.5, 42.0], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.5, 40.7], 'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.5, 49.2], 'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.7, 47.1], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [113.9, 36.9], 'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2625.477
42f670b7-8b6b-4f16-b98d-1ace01033ba4,3780,2,00:43:45.912,88,45,194,0.0,23,Goal Keeper,220,Real Madrid,2,From Corner,217,Barcelona,,,['df47da0e-595a-446b-a1fa-a00239812868'],"[0.6, 39.4]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,Set,33.0,Shot Saved,,,,59.0,Touched Out,,,,46.0,Standing,,,,,,,35.0,Both Hands,,,,,,,,,,,,,,,,2625.912
8444f0c1-c86d-40ad-a21c-37a77acb8c45,3781,2,00:43:53.010,88,53,195,1.4066,30,Pass,220,Real Madrid,2,From Corner,220,Real Madrid,,,['eafcb90a-678f-4fe2-8d21-03c9203746e5'],"[120.0, 0.1]",19677.0,Karim Benzema,23.0,Center Forward,5574.0,Toni Kroos,17.536818,2.3642588,1.0,Ground Pass,"[107.5, 12.4]",61.0,Corner,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633.01
eafcb90a-678f-4fe2-8d21-03c9203746e5,3782,2,00:43:54.416,88,54,195,,42,Ball Receipt*,220,Real Madrid,2,From Corner,220,Real Madrid,,,['8444f0c1-c86d-40ad-a21c-37a77acb8c45'],"[107.5, 12.4]",5574.0,Toni Kroos,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2634.416
789ebf8e-063a-4dca-a29d-b8bbe209f59d,3783,2,00:43:55.541,88,55,195,1.6151,30,Pass,220,Real Madrid,2,From Corner,220,Real Madrid,,,['479869b9-1bf5-44b1-b3e6-598104af7015'],"[112.6, 12.1]",5574.0,Toni Kroos,11.0,Left Defensive Midfield,19677.0,Karim Benzema,12.873616,2.8419516,1.0,Ground Pass,"[100.3, 15.9]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2635.541
479869b9-1bf5-44b1-b3e6-598104af7015,3784,2,00:43:57.156,88,57,195,,42,Ball Receipt*,220,Real Madrid,2,From Corner,220,Real Madrid,,,['789ebf8e-063a-4dca-a29d-b8bbe209f59d'],"[100.3, 15.9]",19677.0,Karim Benzema,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637.156
7164a31f-b68c-41d0-89ad-1a3d12dcceaa,3785,2,00:43:57.156,88,57,195,0.5754,43,Carry,220,Real Madrid,2,From Corner,220,Real Madrid,,,"['479869b9-1bf5-44b1-b3e6-598104af7015', 'c9d44ce7-638f-43f9-8448-6f72454a23e6']","[100.3, 15.9]",19677.0,Karim Benzema,23.0,Center Forward,,,,,,,,,,,,"[99.3, 16.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637.156
c9d44ce7-638f-43f9-8448-6f72454a23e6,3786,2,00:43:57.732,88,57,195,1.3862,30,Pass,220,Real Madrid,2,From Corner,220,Real Madrid,,,['65e79301-e634-4745-9385-da0d8ef1a7ac'],"[99.3, 16.2]",19677.0,Karim Benzema,23.0,Center Forward,5463.0,Luka Modrić,19.96497,1.762298,1.0,Ground Pass,"[95.5, 35.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ccf01f8a-e9bc-4cd1-8db8-267b7e57415d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637.732
65e79301-e634-4745-9385-da0d8ef1a7ac,3787,2,00:43:59.118,88,59,195,,42,Ball Receipt*,220,Real Madrid,2,From Corner,220,Real Madrid,,,['c9d44ce7-638f-43f9-8448-6f72454a23e6'],"[95.5, 35.8]",5463.0,Luka Modrić,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639.118
1cb360f7-8aae-4253-9797-4fc974d49494,3788,2,00:43:59.118,88,59,195,0.5737,43,Carry,220,Real Madrid,2,From Corner,220,Real Madrid,,,"['65e79301-e634-4745-9385-da0d8ef1a7ac', 'ccf01f8a-e9bc-4cd1-8db8-267b7e57415d']","[95.5, 35.8]",5463.0,Luka Modrić,9.0,Right Defensive Midfield,,,,,,,,,,,,"[98.1, 38.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639.118
