id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,out,pass_straight,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,foul_won_defensive,pass_switch,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,counterpress,off_camera,dribble_overrun,ball_recovery_offensive,pass_cross,pass_goal_assist,clearance_aerial_won,goalkeeper_end_location,pass_aerial_won,interception_outcome_id,interception_outcome_name,clearance_right_foot,foul_committed_advantage,foul_won_advantage,pass_outswinging,pass_inswinging,foul_committed_card_id,foul_committed_card_name,pass_through_ball,shot_deflected,block_deflection,pass_no_touch,shot_aerial_won,pass_deflected,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,miscontrol_aerial_won,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
50b0d6cc-ab96-419e-8dd6-0970aee63b86,302,1,00:07:08.237,7,8,21,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['274bf5d0-2fb1-4fcc-bcf7-8513d680da01'],"[39.1, 13.9]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.237
a16d855f-6b3d-4b37-b541-c3bd2b3f212e,303,1,00:07:08.237,7,8,21,1.4092,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['e2011942-9e37-4a69-8e9b-dcd404019603'],"[38.5, 12.7]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,6379.0,Sergi Roberto Carnicer,9.835141,-1.9021928,2.0,Low Pass,"[35.3, 3.4]",37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.237
2eaed7c4-1411-47a6-b92f-1e8cdc866b98,304,1,00:07:09.208,7,9,21,0.993177,17,Pressure,217,Barcelona,1,Regular Play,210,Real Sociedad,,,"['2c031a18-9708-476a-ae3f-bb2928dc6907', 'e2011942-9e37-4a69-8e9b-dcd404019603']","[83.5, 75.6]",6690.0,Xabier Prieto Argarate,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.208
e2011942-9e37-4a69-8e9b-dcd404019603,305,1,00:07:09.647,7,9,21,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,"['2eaed7c4-1411-47a6-b92f-1e8cdc866b98', 'a16d855f-6b3d-4b37-b541-c3bd2b3f212e']","[35.3, 3.4]",6379.0,Sergi Roberto Carnicer,6.0,Left Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.647
2c031a18-9708-476a-ae3f-bb2928dc6907,306,1,00:07:09.647,7,9,21,0.6186,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['2d54eb44-de9f-4cf9-8c91-2f8e4f0f2a0e', '2eaed7c4-1411-47a6-b92f-1e8cdc866b98', 'e2011942-9e37-4a69-8e9b-dcd404019603']","[35.3, 3.4]",6379.0,Sergi Roberto Carnicer,6.0,Left Back,,,,,,,,,,,,"[33.4, 3.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.647
2d54eb44-de9f-4cf9-8c91-2f8e4f0f2a0e,307,1,00:07:10.265,7,10,21,2.3802,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['5b887f2c-85dc-4d7a-8e4b-90096cd577b1'],"[33.4, 3.6]",6379.0,Sergi Roberto Carnicer,6.0,Left Back,4691.0,Claudio Andrés Bravo Muñoz,44.62869,2.29595,2.0,Low Pass,"[3.8, 37.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.265
5b887f2c-85dc-4d7a-8e4b-90096cd577b1,308,1,00:07:12.645,7,12,21,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['2d54eb44-de9f-4cf9-8c91-2f8e4f0f2a0e'],"[3.8, 37.0]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.645
22647df3-d7fb-4d5e-91d8-aedf830307a0,309,1,00:07:12.645,7,12,21,1.409,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['5626b4c3-741c-4543-b2d9-99bd7aeb0131', '5b887f2c-85dc-4d7a-8e4b-90096cd577b1', 'b486ee33-8e07-4a37-97f9-48698ddc9ea0']","[3.8, 37.0]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,,,,,,,,,,,,"[3.6, 41.4]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.645
b486ee33-8e07-4a37-97f9-48698ddc9ea0,310,1,00:07:13.031,7,13,21,1.217195,17,Pressure,217,Barcelona,1,Regular Play,210,Real Sociedad,,,"['22647df3-d7fb-4d5e-91d8-aedf830307a0', '5626b4c3-741c-4543-b2d9-99bd7aeb0131']","[110.3, 46.9]",5560.0,Carlos Alberto Vela Garrido,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.031
5626b4c3-741c-4543-b2d9-99bd7aeb0131,311,1,00:07:14.054,7,14,21,2.4207,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,"['b2b40560-398b-4877-9ab0-577d7fadae10', 'b486ee33-8e07-4a37-97f9-48698ddc9ea0']","[3.6, 41.4]",4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,4324.0,Daniel Alves da Silva,47.20604,0.37067193,3.0,High Pass,"[47.6, 58.5]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.054
