id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,pass_switch,pass_cross,counterpress,out,off_camera,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,foul_won_defensive,clearance_head,clearance_body_part_id,clearance_body_part_name,foul_committed_offensive,dribble_overrun,shot_first_time,goalkeeper_end_location,clearance_aerial_won,ball_recovery_recovery_failure,clearance_left_foot,clearance_right_foot,pass_inswinging,pass_technique_id,pass_technique_name,pass_through_ball,pass_deflected,shot_open_goal,foul_committed_card_id,foul_committed_card_name,clearance_other,pass_outswinging,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,pass_cut_back,pass_goal_assist,timestamp_seconds
2446bd83-4034-47ef-aae8-7377aa82d6a9,1740,2,00:03:10.999,48,10,113,0.816478,30,Pass,214,Espanyol,7,From Goal Kick,214,Espanyol,,,['2c283ba9-005e-4d06-8c2f-a1c4ec7e6a28'],"[56.8, 63.1]",23974.0,Roberto Antonio Correa Silva,2.0,Right Back,6867.0,Papa Kouly Diop,7.641989,-1.4659194,1.0,Ground Pass,"[57.6, 55.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.999
2c283ba9-005e-4d06-8c2f-a1c4ec7e6a28,1741,2,00:03:11.816,48,11,113,,42,Ball Receipt*,214,Espanyol,7,From Goal Kick,214,Espanyol,,,['2446bd83-4034-47ef-aae8-7377aa82d6a9'],"[57.6, 55.5]",6867.0,Papa Kouly Diop,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.816
fb24d838-0321-41ed-85a5-e7bd9ec836ed,1742,2,00:03:11.816,48,11,113,2.504091,43,Carry,214,Espanyol,7,From Goal Kick,214,Espanyol,,,"['2c283ba9-005e-4d06-8c2f-a1c4ec7e6a28', '79a71a53-e4d0-46bc-aa88-316a5c45983d']","[57.6, 55.5]",6867.0,Papa Kouly Diop,9.0,Right Defensive Midfield,,,,,,,,,,,,"[51.1, 53.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.816
79a71a53-e4d0-46bc-aa88-316a5c45983d,1743,2,00:03:14.320,48,14,113,1.6,30,Pass,214,Espanyol,7,From Goal Kick,214,Espanyol,,,['f33f6ebf-1a6e-4307-8592-be8a25a316a9'],"[51.1, 53.3]",6867.0,Papa Kouly Diop,9.0,Right Defensive Midfield,16456.0,Enzo Pablo Roco Roco,26.84772,-2.001123,1.0,Ground Pass,"[39.9, 28.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.32
f33f6ebf-1a6e-4307-8592-be8a25a316a9,1744,2,00:03:15.920,48,15,113,,42,Ball Receipt*,214,Espanyol,7,From Goal Kick,214,Espanyol,,,['79a71a53-e4d0-46bc-aa88-316a5c45983d'],"[39.9, 28.9]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.92
9638679e-2215-496d-8591-0c6f3e3b1778,1745,2,00:03:15.920,48,15,113,5.780661,43,Carry,214,Espanyol,7,From Goal Kick,214,Espanyol,,,"['a97dd1d6-b9b1-4374-94cc-44c13bcc2d68', 'ed3a793f-b41a-42e7-9ab4-ebc48e674149', 'f33f6ebf-1a6e-4307-8592-be8a25a316a9']","[39.9, 28.9]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,,,,,,,,,,,,"[70.4, 31.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.92
ed3a793f-b41a-42e7-9ab4-ebc48e674149,1746,2,00:03:21.433,48,21,113,0.336621,17,Pressure,214,Espanyol,7,From Goal Kick,210,Real Sociedad,,,"['9638679e-2215-496d-8591-0c6f3e3b1778', 'a97dd1d6-b9b1-4374-94cc-44c13bcc2d68']","[45.6, 52.9]",6770.0,Esteban Félix Granero Molina,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.433
a97dd1d6-b9b1-4374-94cc-44c13bcc2d68,1747,2,00:03:21.700,48,21,113,0.951845,30,Pass,214,Espanyol,7,From Goal Kick,214,Espanyol,,,"['17b9d1a7-1b69-45e4-b5c9-8267731bb05a', 'ed3a793f-b41a-42e7-9ab4-ebc48e674149']","[70.4, 31.7]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,6758.0,Víctor Sánchez Mata,10.480935,1.6951513,1.0,Ground Pass,"[69.1, 42.1]",,,38.0,Left Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.7
17b9d1a7-1b69-45e4-b5c9-8267731bb05a,1748,2,00:03:22.652,48,22,113,,42,Ball Receipt*,214,Espanyol,7,From Goal Kick,214,Espanyol,,,['a97dd1d6-b9b1-4374-94cc-44c13bcc2d68'],"[69.1, 42.1]",6758.0,Víctor Sánchez Mata,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.652
e5ab139c-3225-449e-a6f7-cc03bbe904a9,1749,2,00:03:22.652,48,22,113,2.251395,43,Carry,214,Espanyol,7,From Goal Kick,214,Espanyol,,,"['09242ce2-73ff-4028-babd-6160ae777339', '17b9d1a7-1b69-45e4-b5c9-8267731bb05a']","[69.1, 42.1]",6758.0,Víctor Sánchez Mata,11.0,Left Defensive Midfield,,,,,,,,,,,,"[75.1, 51.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.652
09242ce2-73ff-4028-babd-6160ae777339,1750,2,00:03:24.904,48,24,113,1.247905,30,Pass,214,Espanyol,7,From Goal Kick,214,Espanyol,,,"['4dfcd56e-edbf-4964-9168-192b98cdf91b', 'f65ff6aa-0540-480d-aea2-bc5d0157303a']","[75.1, 51.8]",6758.0,Víctor Sánchez Mata,11.0,Left Defensive Midfield,6838.0,Hernán Arsenio Pérez González,25.19623,0.08742598,1.0,Ground Pass,"[100.2, 54.0]",,,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.904
f65ff6aa-0540-480d-aea2-bc5d0157303a,1751,2,00:03:26.151,48,26,113,,42,Ball Receipt*,214,Espanyol,7,From Goal Kick,214,Espanyol,,,['09242ce2-73ff-4028-babd-6160ae777339'],"[102.4, 58.3]",6838.0,Hernán Arsenio Pérez González,17.0,Right Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.151
4dfcd56e-edbf-4964-9168-192b98cdf91b,1752,2,00:03:26.151,48,26,113,0.0,10,Interception,214,Espanyol,7,From Goal Kick,210,Real Sociedad,,,['09242ce2-73ff-4028-babd-6160ae777339'],"[19.9, 26.1]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.151
222f6816-9456-411a-a141-43c05509aae8,1753,2,00:03:27.789,48,27,113,2.649417,17,Pressure,214,Espanyol,7,From Goal Kick,214,Espanyol,,,"['3bfcf03d-c9a6-4894-afdc-13acc159b228', '644abcda-6ddd-4f88-b5a7-ad80f5270c31']","[91.1, 40.4]",27241.0,Víctor Guillermo Álvarez Delgado,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.789
