id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,counterpress,pass_aerial_won,duel_type_id,duel_type_name,foul_won_defensive,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_left_foot,pass_switch,foul_committed_advantage,foul_won_advantage,pass_no_touch,miscontrol_aerial_won,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_success_in_play,pass_technique_id,pass_technique_name,pass_outswinging,clearance_head,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble_overrun,dribble_no_touch,ball_recovery_recovery_failure,dribble_nutmeg,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,block_deflection,clearance_aerial_won,shot_first_time,pass_cut_back,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,ball_recovery_offensive,shot_one_on_one,50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_inswinging,foul_committed_offensive,timestamp_seconds
600c314e-5346-45e1-91ba-8b0df7c19fee,1933,2,00:04:33.322,49,33,138,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['2af2ecf1-ddb2-41d5-87cf-586f9dfe3280'],"[20.5, 44.9]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.322
c986c89b-1142-4e6c-aea3-bb9bef5c30de,1934,2,00:04:33.322,49,33,138,0.501926,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['23e39b11-65ba-4a11-8721-ee46bca4de13', '600c314e-5346-45e1-91ba-8b0df7c19fee']","[20.5, 44.9]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,,,,,,,,,,,,,"[22.3, 43.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.322
23e39b11-65ba-4a11-8721-ee46bca4de13,1935,2,00:04:33.823,49,33,138,1.923412,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['eecaaa0a-6474-40b2-aa12-82cc2489dabe'],"[22.3, 43.7]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,6861.0,Juan Torres Ruiz,24.666172,-1.3209013,1.0,Ground Pass,"[28.4, 19.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.823
eecaaa0a-6474-40b2-aa12-82cc2489dabe,1936,2,00:04:35.747,49,35,138,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['23e39b11-65ba-4a11-8721-ee46bca4de13'],"[28.4, 19.8]",6861.0,Juan Torres Ruiz,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.747
fda48497-1344-413a-b448-5b56ad75c91c,1937,2,00:04:35.747,49,35,138,1.273349,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['471360c0-091b-4a40-8784-7757ef60e330', 'eecaaa0a-6474-40b2-aa12-82cc2489dabe']","[28.4, 19.8]",6861.0,Juan Torres Ruiz,5.0,Left Center Back,,,,,,,,,,,,,"[37.0, 16.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.747
471360c0-091b-4a40-8784-7757ef60e330,1938,2,00:04:37.020,49,37,138,1.38661,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['c9828775-717d-4735-904b-3565792e4c65'],"[37.0, 16.4]",6861.0,Juan Torres Ruiz,5.0,Left Center Back,27092.0,Abdoul Karim Yoda,29.075935,-0.56224495,1.0,Ground Pass,"[61.6, 0.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.02
c9828775-717d-4735-904b-3565792e4c65,1939,2,00:04:38.407,49,38,138,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['471360c0-091b-4a40-8784-7757ef60e330'],"[61.6, 0.9]",27092.0,Abdoul Karim Yoda,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.407
7a73f12f-7770-41c4-a085-c8786cad3bc4,1940,2,00:04:38.407,49,38,138,1.955566,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['29991402-513f-477e-b1e5-bfc4ccdfd65c', 'c9828775-717d-4735-904b-3565792e4c65']","[61.6, 0.9]",27092.0,Abdoul Karim Yoda,6.0,Left Back,,,,,,,,,,,,,"[58.2, 1.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.407
29991402-513f-477e-b1e5-bfc4ccdfd65c,1941,2,00:04:40.362,49,40,138,0.730694,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['d1bb2fc6-1140-4a68-b819-0405b8fbe0e0'],"[58.2, 1.9]",27092.0,Abdoul Karim Yoda,6.0,Left Back,6736.0,Álvaro Medrán Just,10.062305,2.0344439,1.0,Ground Pass,"[53.7, 10.9]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.362
d1bb2fc6-1140-4a68-b819-0405b8fbe0e0,1942,2,00:04:41.093,49,41,138,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['29991402-513f-477e-b1e5-bfc4ccdfd65c'],"[53.7, 10.9]",6736.0,Álvaro Medrán Just,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.093
