id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,off_camera,pass_switch,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,foul_won_defensive,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,out,pass_aerial_won,clearance_other,clearance_right_foot,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,dribble_outcome_id,dribble_outcome_name,shot_first_time,goalkeeper_end_location,block_deflection,foul_committed_advantage,foul_won_advantage,clearance_left_foot,pass_no_touch,ball_recovery_recovery_failure,pass_goal_assist,pass_technique_id,pass_technique_name,pass_inswinging,pass_through_ball,block_offensive,50_50_outcome_id,50_50_outcome_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_outswinging,dribble_overrun,foul_committed_card_id,foul_committed_card_name,pass_cut_back,injury_stoppage_in_chain,miscontrol_aerial_won,shot_one_on_one,pass_deflected,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,timestamp_seconds
675233ff-3427-4422-837f-51178016f0e1,1551,2,00:00:00.000,45,0,114,0.0,18,Half Start,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['44f74194-b95a-459a-b320-719164bb820c'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
f0a0a727-3217-47c6-8bba-0f019e2ab0e7,1552,2,00:00:00.000,45,0,114,0.0,19,Substitution,219,RC Deportivo La Coruña,1,Regular Play,1049,Granada,,,,,25707.0,Francisco Manuel Rico Castro,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,26797.0,Francisco Medina Luna,,,,,,,,,,,,,0.0
aa4551b0-e868-46dd-b60d-d9298a263fbb,1553,2,00:00:00.000,45,0,114,0.0,19,Substitution,219,RC Deportivo La Coruña,1,Regular Play,1049,Granada,,,,,6680.0,Rubén Rochina Naixes,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,6918.0,Isaac Ajayi Success,,,,,,,,,,,,,0.0
b9dc8853-b26f-4a68-97c6-e94f4ed539ba,1554,2,00:00:00.000,45,0,114,0.0,36,Tactical Shift,219,RC Deportivo La Coruña,1,Regular Play,1049,Granada,4231.0,"[{'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20064, 'name': 'Hugo Miguel Almeida Costa Lopes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 4418, 'name': 'Matheus Dória Macedo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3160, 'name': 'Rene Krhin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 24783, 'name': 'Javier Márquez Moreno'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 26797, 'name': 'Francisco Medina Luna'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 18721, 'name': 'Robert Ibáñez Castro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 27109, 'name': 'Youssef El-Arabi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
47cf5c28-c266-4274-a805-8be6e92a87f3,1555,2,00:00:00.995,45,0,115,0.347706,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,['47feb100-fa84-468d-b049-27fe1dad6803'],"[61.0, 40.1]",27109.0,Youssef El-Arabi,23.0,Center Forward,24783.0,Javier Márquez Moreno,2.3345234,-1.7429872,1.0,Ground Pass,"[60.6, 37.8]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995
47feb100-fa84-468d-b049-27fe1dad6803,1556,2,00:00:01.342,45,1,115,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['47cf5c28-c266-4274-a805-8be6e92a87f3'],"[60.6, 37.8]",24783.0,Javier Márquez Moreno,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.342
fa3194ad-215c-4441-9769-d3650f002151,1557,2,00:00:01.342,45,1,115,1.710507,43,Carry,1049,Granada,9,From Kick Off,1049,Granada,,,"['07fcef69-cda8-4489-ba8e-669111aec5d5', '47feb100-fa84-468d-b049-27fe1dad6803', '9608669b-40e4-47d2-832c-59edc7b5db2a']","[60.6, 37.8]",24783.0,Javier Márquez Moreno,11.0,Left Defensive Midfield,,,,,,,,,,,,"[59.4, 38.8]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.342
9608669b-40e4-47d2-832c-59edc7b5db2a,1558,2,00:00:02.193,45,2,115,1.07106,17,Pressure,1049,Granada,9,From Kick Off,219,RC Deportivo La Coruña,,,"['07fcef69-cda8-4489-ba8e-669111aec5d5', 'fa3194ad-215c-4441-9769-d3650f002151']","[61.1, 46.7]",6732.0,Lucas Pérez Martínez,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193
07fcef69-cda8-4489-ba8e-669111aec5d5,1559,2,00:00:03.053,45,3,115,1.654716,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,"['9608669b-40e4-47d2-832c-59edc7b5db2a', '9797ac98-97c9-4a09-a093-3480ad37f737']","[59.4, 38.8]",24783.0,Javier Márquez Moreno,11.0,Left Defensive Midfield,18721.0,Robert Ibáñez Castro,24.62194,-0.81986725,1.0,Ground Pass,"[76.2, 20.8]",38.0,Left Foot,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.053
9797ac98-97c9-4a09-a093-3480ad37f737,1560,2,00:00:04.708,45,4,115,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['07fcef69-cda8-4489-ba8e-669111aec5d5'],"[76.2, 20.8]",18721.0,Robert Ibáñez Castro,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.708
