id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,foul_won_defensive,off_camera,duel_type_id,duel_type_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,out,counterpress,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,pass_cross,pass_cut_back,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_switch,clearance_head,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_right_foot,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,pass_shot_assist,goalkeeper_end_location,pass_outswinging,pass_technique_id,pass_technique_name,shot_one_on_one,shot_open_goal,foul_committed_card_id,foul_committed_card_name,dribble_nutmeg,ball_recovery_recovery_failure,pass_no_touch,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_type_id,foul_committed_type_name,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,pass_deflected,block_deflection,pass_miscommunication,timestamp_seconds
0edb8bbd-fe48-44cd-a27d-abc0bd73e867,1031,1,00:32:07.664,32,7,84,2.439432,30,Pass,1049,Granada,7,From Goal Kick,1049,Granada,,,"['abbe73fd-cd18-430c-9e9a-d41a6a7dab31', 'c0b41d88-72ad-457c-9c95-f7af6112830a']","[38.6, 31.6]",4418.0,Matheus Dória Macedo,5.0,Left Center Back,,,19.909042,3.1114511,2.0,Low Pass,"[18.7, 32.2]",38.0,Left Foot,,,,9.0,Incomplete,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927.664
63c9a5b5-4b7e-4692-bdb5-6b88dca586a1,1032,1,00:32:08.917,32,8,84,0.0,37,Error,1049,Granada,7,From Goal Kick,1049,Granada,,,,"[19.2, 31.6]",4418.0,Matheus Dória Macedo,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928.917
c0b41d88-72ad-457c-9c95-f7af6112830a,1033,1,00:32:10.104,32,10,84,0.0,10,Interception,1049,Granada,7,From Goal Kick,210,Real Sociedad,,,['0edb8bbd-fe48-44cd-a27d-abc0bd73e867'],"[101.4, 47.9]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.104
0143aeed-eeaa-4616-8240-7c821373c59c,1034,1,00:32:10.104,32,10,84,0.334167,43,Carry,1049,Granada,7,From Goal Kick,210,Real Sociedad,,,"['a056d8c9-ed85-4897-b2c5-ab47d9acd70c', 'c0b41d88-72ad-457c-9c95-f7af6112830a', 'f8d226c4-7304-4655-bd3c-d508572fb105']","[101.4, 47.9]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,,,,,,,,,,,,"[106.6, 43.3]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.104
a056d8c9-ed85-4897-b2c5-ab47d9acd70c,1035,1,00:32:10.438,32,10,84,0.0,39,Dribbled Past,1049,Granada,7,From Goal Kick,1049,Granada,,,"['0143aeed-eeaa-4616-8240-7c821373c59c', '4d14a442-f3e7-4fbc-9d53-1164ffd53412', 'f8d226c4-7304-4655-bd3c-d508572fb105']","[13.5, 36.8]",8697.0,Andrés Eduardo Fernández Moreno,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.438
f8d226c4-7304-4655-bd3c-d508572fb105,1036,1,00:32:10.438,32,10,84,0.0,14,Dribble,1049,Granada,7,From Goal Kick,210,Real Sociedad,,,['a056d8c9-ed85-4897-b2c5-ab47d9acd70c'],"[106.6, 43.3]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,,,,,,,,,,,,,,,,,True,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.438
4d14a442-f3e7-4fbc-9d53-1164ffd53412,1037,1,00:32:10.438,32,10,84,2.056931,43,Carry,1049,Granada,7,From Goal Kick,210,Real Sociedad,,,"['9a26ed1c-59d1-4eba-92ea-0df8e3a24e17', 'a056d8c9-ed85-4897-b2c5-ab47d9acd70c', 'f8d226c4-7304-4655-bd3c-d508572fb105', 'fdb88c4e-e75e-4636-b9d2-420a55b5f433']","[106.6, 43.3]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,,,,,,,,,,,,"[114.9, 41.4]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.438
fdb88c4e-e75e-4636-b9d2-420a55b5f433,1038,1,00:32:11.913,32,11,84,0.885401,17,Pressure,1049,Granada,7,From Goal Kick,1049,Granada,,,"['4d14a442-f3e7-4fbc-9d53-1164ffd53412', '9a26ed1c-59d1-4eba-92ea-0df8e3a24e17']","[8.1, 36.5]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931.913
9a26ed1c-59d1-4eba-92ea-0df8e3a24e17,1039,1,00:32:12.495,32,12,84,0.543773,16,Shot,1049,Granada,7,From Goal Kick,210,Real Sociedad,,,"['163d9c68-c97c-466d-8e19-d8aa4b04a278', 'fdb88c4e-e75e-4636-b9d2-420a55b5f433']","[114.9, 41.4]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,0.9177844,"[120.0, 41.3, 0.1]",,93.0,Normal,40.0,Right Foot,87.0,Open Play,97.0,Goal,,"[{'location': [114.0, 41.7], 'player': {'id': 4498, 'name': 'Jean-Sylvain Claude Babin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.2, 43.1], 'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.7, 48.1], 'player': {'id': 4418, 'name': 'Matheus Dória Macedo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [86.0, 58.1], 'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [85.5, 60.5], 'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.7, 47.6], 'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,1932.495
163d9c68-c97c-466d-8e19-d8aa4b04a278,1040,1,00:32:13.039,32,13,84,0.0,23,Goal Keeper,1049,Granada,7,From Goal Kick,1049,Granada,,,['9a26ed1c-59d1-4eba-92ea-0df8e3a24e17'],"[9.9, 37.0]",8697.0,Andrés Eduardo Fernández Moreno,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,Standing,42.0,Moving,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.039
