id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,out,off_camera,pass_aerial_won,duel_outcome_id,duel_outcome_name,pass_cross,clearance_right_foot,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,counterpress,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_end_location,pass_technique_id,pass_technique_name,pass_outswinging,shot_first_time,shot_deflected,block_deflection,goalkeeper_punched_out,foul_committed_advantage,foul_won_advantage,clearance_left_foot,pass_goal_assist,pass_miscommunication,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_recovery_failure,pass_inswinging,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_type_id,foul_committed_type_name,dribble_overrun,pass_cut_back,pass_straight,pass_deflected,foul_committed_offensive,block_offensive,pass_no_touch,timestamp_seconds
1caf76ee-3a14-49c0-862c-a6c9a4574cab,264,1,00:06:15.972,6,15,20,1.640606,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['6437d249-bfe8-4dd6-8468-9544cd7eac15', '9d080a8b-f0ba-404c-8a45-1992c4ccb4f3']","[28.7, 56.4]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,,,,,,,,,,,,"[33.4, 48.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.972
6437d249-bfe8-4dd6-8468-9544cd7eac15,265,1,00:06:17.613,6,17,21,0.952698,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['70dd7e6a-6ab1-4346-9d98-b9ac247a74f2'],"[33.4, 48.9]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,5504.0,Éver Maximiliano David Banega,23.349947,-0.8217458,1.0,Ground Pass,"[49.3, 31.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.613
70dd7e6a-6ab1-4346-9d98-b9ac247a74f2,266,1,00:06:18.566,6,18,21,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['6437d249-bfe8-4dd6-8468-9544cd7eac15'],"[49.3, 31.8]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.566
06635534-178d-45e1-b98b-88ac85bc2e9f,267,1,00:06:18.566,6,18,21,2.890155,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['1f489632-ea78-4114-9141-9b20186ca64c', '70dd7e6a-6ab1-4346-9d98-b9ac247a74f2', '746098b7-f137-4ee4-9389-af61d63785f1']","[49.3, 31.8]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,"[52.3, 38.4]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.566
746098b7-f137-4ee4-9389-af61d63785f1,268,1,00:06:18.750,6,18,21,2.535801,17,Pressure,213,Sevilla,1,Regular Play,220,Real Madrid,,,['06635534-178d-45e1-b98b-88ac85bc2e9f'],"[76.0, 51.1]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.75
6be5b181-91e1-4661-9a1c-a4df092dd959,269,1,00:06:18.947,6,18,21,2.208472,17,Pressure,213,Sevilla,1,Regular Play,220,Real Madrid,,,,"[68.9, 49.4]",4926.0,Francisco Román Alarcón Suárez,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.947
64f03d91-9cf7-48db-8e18-857971080757,270,1,00:06:21.456,6,21,21,0.0,39,Dribbled Past,213,Sevilla,1,Regular Play,220,Real Madrid,,,"['11b0a6f0-8c61-46fa-9896-40c4b37e8b8d', '1f489632-ea78-4114-9141-9b20186ca64c']","[67.8, 41.7]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.456
1f489632-ea78-4114-9141-9b20186ca64c,271,1,00:06:21.456,6,21,21,0.0,14,Dribble,213,Sevilla,1,Regular Play,213,Sevilla,,,['64f03d91-9cf7-48db-8e18-857971080757'],"[52.3, 38.4]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.456
11b0a6f0-8c61-46fa-9896-40c4b37e8b8d,272,1,00:06:21.456,6,21,21,3.743483,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['09b79768-68b1-463d-bdf1-a2a5ffe9e64f', '1f489632-ea78-4114-9141-9b20186ca64c', '64f03d91-9cf7-48db-8e18-857971080757', 'c19c3686-140f-414f-9def-71136b9502b4']","[52.3, 38.4]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,"[66.2, 24.7]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.456
c19c3686-140f-414f-9def-71136b9502b4,273,1,00:06:22.436,6,22,21,1.720439,17,Pressure,213,Sevilla,1,Regular Play,220,Real Madrid,,,['11b0a6f0-8c61-46fa-9896-40c4b37e8b8d'],"[64.9, 41.5]",5539.0,Carlos Henrique Casimiro,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.436
