id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,pass_cross,pass_switch,foul_committed_type_id,foul_committed_type_name,off_camera,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_nutmeg,ball_recovery_recovery_failure,clearance_aerial_won,out,goalkeeper_punched_out,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,pass_inswinging,pass_technique_id,pass_technique_name,foul_committed_offensive,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,pass_outswinging,goalkeeper_end_location,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,foul_won_defensive,pass_goal_assist,shot_aerial_won,pass_cut_back,clearance_left_foot,50_50_outcome_id,50_50_outcome_name,dribble_overrun,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_advantage,foul_won_advantage,pass_straight,shot_one_on_one,shot_open_goal,goalkeeper_success_in_play,timestamp_seconds
3999f42b-27c1-4529-8f6d-8e533eb8cc93,1337,1,00:37:39.376,37,39,80,0.340876,17,Pressure,360,Rayo Vallecano,3,From Free Kick,218,Real Betis,,,"['8c5b8aeb-79fa-4f27-8767-ff7cc1aa46e2', 'a0a88d40-a407-4df5-aaf8-adffded59707', 'fe3762d9-d23d-4824-b6d8-f8126565158a']","[79.2, 68.6]",26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259.376
a0a88d40-a407-4df5-aaf8-adffded59707,1338,1,00:37:39.516,37,39,80,,42,Ball Receipt*,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,"['0ded3855-7cbe-4522-9590-4552a4e3d22e', '3999f42b-27c1-4529-8f6d-8e533eb8cc93']","[42.8, 14.5]",11539.0,Adrián Embarba Blázquez,21.0,Left Wing,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259.516
8c5b8aeb-79fa-4f27-8767-ff7cc1aa46e2,1339,1,00:37:39.516,37,39,80,0.09089,43,Carry,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,"['3999f42b-27c1-4529-8f6d-8e533eb8cc93', 'a0a88d40-a407-4df5-aaf8-adffded59707', 'e98ea880-1ffa-472f-a827-8eaa688fd28d', 'fe3762d9-d23d-4824-b6d8-f8126565158a']","[42.8, 14.5]",11539.0,Adrián Embarba Blázquez,21.0,Left Wing,,,,,,,,,,,,"[40.5, 11.7]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259.516
e98ea880-1ffa-472f-a827-8eaa688fd28d,1340,1,00:37:39.607,37,39,80,0.0,39,Dribbled Past,360,Rayo Vallecano,3,From Free Kick,218,Real Betis,,,"['8c5b8aeb-79fa-4f27-8767-ff7cc1aa46e2', 'fe3762d9-d23d-4824-b6d8-f8126565158a']","[79.6, 68.4]",26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259.607
fe3762d9-d23d-4824-b6d8-f8126565158a,1341,1,00:37:39.607,37,39,80,0.0,14,Dribble,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,"['3999f42b-27c1-4529-8f6d-8e533eb8cc93', 'e98ea880-1ffa-472f-a827-8eaa688fd28d']","[40.5, 11.7]",11539.0,Adrián Embarba Blázquez,21.0,Left Wing,,,,,,,,,,,,,,,,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,2259.607
421439a1-f137-4f32-a1db-d5deb3197912,1342,1,00:37:41.030,37,41,81,0.0,2,Ball Recovery,218,Real Betis,1,Regular Play,218,Real Betis,,,,"[93.1, 68.8]",27346.0,Petros Matheus dos Santos Araújo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2261.03
edc61a5f-bc8f-49dc-9f96-da35cf78406a,1343,1,00:37:41.030,37,41,81,1.348006,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['421439a1-f137-4f32-a1db-d5deb3197912', '720dc12f-e6eb-4207-bd5a-7c8eec5c9106', 'd58e8713-b3e7-4396-8118-3a6fae36758e']","[93.1, 68.8]",27346.0,Petros Matheus dos Santos Araújo,9.0,Right Defensive Midfield,,,,,,,,,,,,"[97.4, 74.2]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2261.03
720dc12f-e6eb-4207-bd5a-7c8eec5c9106,1344,1,00:37:41.293,37,41,81,1.118467,17,Pressure,218,Real Betis,1,Regular Play,360,Rayo Vallecano,,,"['d58e8713-b3e7-4396-8118-3a6fae36758e', 'edc61a5f-bc8f-49dc-9f96-da35cf78406a']","[24.9, 8.9]",11539.0,Adrián Embarba Blázquez,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2261.293
d58e8713-b3e7-4396-8118-3a6fae36758e,1345,1,00:37:42.378,37,42,81,0.033686,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,"['720dc12f-e6eb-4207-bd5a-7c8eec5c9106', 'ff830a35-2d18-4834-b125-b473246757c3']","[97.4, 74.2]",27346.0,Petros Matheus dos Santos Araújo,9.0,Right Defensive Midfield,,,6.177378,-1.0636978,2.0,Low Pass,"[100.4, 68.8]",40.0,Right Foot,,,,9.0,Incomplete,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2262.378
ff830a35-2d18-4834-b125-b473246757c3,1346,1,00:37:42.411,37,42,81,0.0,6,Block,218,Real Betis,1,Regular Play,360,Rayo Vallecano,,,['d58e8713-b3e7-4396-8118-3a6fae36758e'],"[19.7, 11.3]",11539.0,Adrián Embarba Blázquez,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2262.411
dfce4f50-0491-4f5f-8fe9-fd03380aaa22,1347,1,00:38:27.377,38,27,82,2.010648,30,Pass,218,Real Betis,2,From Corner,218,Real Betis,,,['6dacc92a-bb6b-4b91-aa7d-36f3301bd1c5'],"[120.0, 80.0]",24132.0,Francisco Miguel Varela Martín,6.0,Left Back,6872.0,Bruno González Cabrera,43.973175,-1.781572,3.0,High Pass,"[110.8, 37.0]",38.0,Left Foot,61.0,Corner,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,104.0,Inswinging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2307.377
6dacc92a-bb6b-4b91-aa7d-36f3301bd1c5,1348,1,00:38:29.387,38,29,82,,42,Ball Receipt*,218,Real Betis,2,From Corner,218,Real Betis,,,['dfce4f50-0491-4f5f-8fe9-fd03380aaa22'],"[110.8, 37.0]",6872.0,Bruno González Cabrera,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309.387
e723005d-4acc-41a6-b1fd-979759ca5c6c,1349,1,00:38:29.450,38,29,82,0.0,4,Duel,218,Real Betis,2,From Corner,360,Rayo Vallecano,,,['aeaff1a1-d7ec-465c-8037-93fdf979e9aa'],"[9.0, 42.9]",26607.0,José Raúl Baena Urdiales,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,True,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309.45
aeaff1a1-d7ec-465c-8037-93fdf979e9aa,1350,1,00:38:29.450,38,29,82,0.0,38,Miscontrol,218,Real Betis,2,From Corner,218,Real Betis,,,['e723005d-4acc-41a6-b1fd-979759ca5c6c'],"[111.1, 37.2]",6872.0,Bruno González Cabrera,3.0,Right Center Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,2309.45
18ad3c8b-5835-4967-a2e5-b64b34585992,1351,1,00:38:31.211,38,31,82,0.0,9,Clearance,218,Real Betis,2,From Corner,360,Rayo Vallecano,,,,"[13.3, 30.5]",11539.0,Adrián Embarba Blázquez,21.0,Left Wing,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2311.211
78ed28bb-5162-40de-b9c3-13e93167d3f0,1352,1,00:38:32.509,38,32,82,0.0,2,Ball Recovery,218,Real Betis,2,From Corner,360,Rayo Vallecano,,,,"[24.2, 46.1]",6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312.509
543f7df4-af8d-4452-8b5b-b2df798e175b,1353,1,00:38:32.509,38,32,82,0.490883,43,Carry,218,Real Betis,2,From Corner,360,Rayo Vallecano,,,"['78ed28bb-5162-40de-b9c3-13e93167d3f0', 'ca6b8d4a-c79f-449c-aaf8-618a316ce85a']","[24.2, 46.1]",6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,,,,,,,,,,,,"[28.5, 45.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312.509
ca6b8d4a-c79f-449c-aaf8-618a316ce85a,1354,1,00:38:33.000,38,33,82,0.0,14,Dribble,218,Real Betis,2,From Corner,360,Rayo Vallecano,,,['8f76b798-1528-4174-a80d-1a4d9b8ef7de'],"[28.5, 45.1]",6852.0,Jozabed Sánchez Ruiz,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2313.0
8f76b798-1528-4174-a80d-1a4d9b8ef7de,1355,1,00:38:33.000,38,33,82,0.0,4,Duel,218,Real Betis,2,From Corner,218,Real Betis,,,['ca6b8d4a-c79f-449c-aaf8-618a316ce85a'],"[91.6, 35.0]",27346.0,Petros Matheus dos Santos Araújo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,True,,,True,11.0,Tackle,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2313.0
26552746-f97d-4b2e-a350-fc3e54536dd1,1356,1,00:38:34.180,38,34,82,0.0,9,Clearance,218,Real Betis,2,From Corner,360,Rayo Vallecano,,,,"[24.7, 52.8]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,2314.18
