id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_switch,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,out,pass_technique_id,pass_technique_name,pass_straight,foul_won_defensive,counterpress,pass_assisted_shot_id,pass_goal_assist,pass_through_ball,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_overrun,pass_cross,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_one_on_one,pass_shot_assist,dribble_nutmeg,shot_first_time,clearance_left_foot,ball_recovery_recovery_failure,clearance_right_foot,shot_aerial_won,clearance_aerial_won,pass_aerial_won,block_offensive,goalkeeper_end_location,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_inswinging,pass_deflected,dribble_no_touch,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_advantage,foul_won_advantage,pass_no_touch,pass_cut_back,injury_stoppage_in_chain,timestamp_seconds
af544632-7ec7-4b42-9c92-5f49b73a201d,3287,2,00:28:59.354,73,59,161,0.79132,30,Pass,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,['7d6e4cc4-bb5f-405c-b04e-9148477e9766'],,"[65.3, 5.8]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,5200.0,Lucas Vázquez Iglesias,9.338094,-0.17219082,1.0,Ground Pass,"[74.5, 4.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739.354
7d6e4cc4-bb5f-405c-b04e-9148477e9766,3288,2,00:29:00.145,74,0,161,,42,Ball Receipt*,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,['af544632-7ec7-4b42-9c92-5f49b73a201d'],,"[74.5, 4.2]",5200.0,Lucas Vázquez Iglesias,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740.145
c5a3a637-1a72-4f19-9f0f-c3a7d9e68078,3289,2,00:29:00.145,74,0,161,1.720509,43,Carry,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,"['7d6e4cc4-bb5f-405c-b04e-9148477e9766', 'c2b18356-d0e0-42eb-8bea-b6d0894b9ce0', 'e37a2b95-eb56-4ccf-810d-6da288961a5d']",,"[74.5, 4.2]",5200.0,Lucas Vázquez Iglesias,13.0,Right Center Midfield,,,,,,,,,,,,"[74.0, 5.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740.145
e37a2b95-eb56-4ccf-810d-6da288961a5d,3290,2,00:29:00.717,74,0,161,1.115763,17,Pressure,220,Real Madrid,3,From Free Kick,208,Las Palmas,,,['c5a3a637-1a72-4f19-9f0f-c3a7d9e68078'],,"[43.7, 75.0]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740.717
c2b18356-d0e0-42eb-8bea-b6d0894b9ce0,3291,2,00:29:01.866,74,1,161,0.998693,30,Pass,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,['92cd5ca7-2283-4789-958f-adaec832fcaf'],,"[74.0, 5.1]",5200.0,Lucas Vázquez Iglesias,13.0,Right Center Midfield,5552.0,Marcelo Vieira da Silva Júnior,15.373029,1.4206198,1.0,Ground Pass,"[76.3, 20.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1741.866
92cd5ca7-2283-4789-958f-adaec832fcaf,3292,2,00:29:02.865,74,2,161,,42,Ball Receipt*,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,['c2b18356-d0e0-42eb-8bea-b6d0894b9ce0'],,"[76.3, 20.3]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.865
cd244621-69c1-413c-a70c-51fcd49f71c6,3293,2,00:29:02.865,74,2,161,1.075659,43,Carry,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,"['0ab0491f-73bd-43cf-b369-a5270a83d58d', '92cd5ca7-2283-4789-958f-adaec832fcaf']",,"[76.3, 20.3]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,,,,,,,,,,,,"[76.3, 20.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.865
0ab0491f-73bd-43cf-b369-a5270a83d58d,3294,2,00:29:03.940,74,3,161,0.903977,30,Pass,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,['4cc57f6b-0947-4184-b7f6-2b436d26798b'],,"[76.3, 20.3]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,5207.0,Cristiano Ronaldo dos Santos Aveiro,14.901342,0.9138732,1.0,Ground Pass,"[85.4, 32.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743.94
4cc57f6b-0947-4184-b7f6-2b436d26798b,3295,2,00:29:04.844,74,4,161,,42,Ball Receipt*,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,['0ab0491f-73bd-43cf-b369-a5270a83d58d'],,"[85.4, 32.1]",5207.0,Cristiano Ronaldo dos Santos Aveiro,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.844
838bf33a-35d5-43af-8847-7866e8bcd977,3296,2,00:29:04.844,74,4,161,0.040000003,43,Carry,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,"['4cc57f6b-0947-4184-b7f6-2b436d26798b', 'd00bbe7a-106c-403b-be49-d202705977e8']",,"[85.4, 32.1]",5207.0,Cristiano Ronaldo dos Santos Aveiro,23.0,Center Forward,,,,,,,,,,,,"[85.4, 32.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.844
