id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,counterpress,out,interception_outcome_id,interception_outcome_name,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_outcome_id,duel_outcome_name,clearance_left_foot,pass_switch,dribble_overrun,shot_aerial_won,goalkeeper_end_location,clearance_aerial_won,pass_deflected,pass_through_ball,pass_technique_id,pass_technique_name,pass_outswinging,shot_one_on_one,ball_recovery_recovery_failure,foul_won_defensive,clearance_right_foot,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,miscontrol_aerial_won,pass_inswinging,ball_recovery_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,50_50_outcome_id,50_50_outcome_name,foul_committed_penalty,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
89f2e1c4-3f8a-4ec2-83cb-08d0fd23fa0b,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,210,Real Sociedad,1,Regular Play,210,Real Sociedad,4231.0,"[{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8724, 'name': 'Carlos Martínez Díez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8584, 'name': 'Jonathas Cristian de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
ec76b52f-8fbd-44e5-9617-b370f5288910,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,210,Real Sociedad,1,Regular Play,219,RC Deportivo La Coruña,4231.0,"[{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23800, 'name': 'Laureano Sanabria Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 26107, 'name': 'Alberto Lopo García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23806, 'name': 'Alejandro Bergantiños García'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7782, 'name': 'Luis Alberto Romero Alconchel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 6734, 'name': 'Luis Carlos Correia Pinto'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
7006ecc5-967d-435c-9041-8f07948a8f8e,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,210,Real Sociedad,1,Regular Play,219,RC Deportivo La Coruña,,,['f76dd60a-493b-49e2-bbeb-645d45dfe938'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
f76dd60a-493b-49e2-bbeb-645d45dfe938,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['7006ecc5-967d-435c-9041-8f07948a8f8e'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1a435859-f045-49ad-8613-13819d7ffe3b,5,1,00:00:00.505,0,0,2,0.401341,30,Pass,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['476ab4a6-59bf-4430-8f30-2d8758408535'],True,"[60.0, 40.0]",7782.0,Luis Alberto Romero Alconchel,19.0,Center Attacking Midfield,6732.0,Lucas Pérez Martínez,4.9396358,-1.943784,1.0,Ground Pass,"[58.2, 35.4]",65.0,Kick Off,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505
476ab4a6-59bf-4430-8f30-2d8758408535,6,1,00:00:00.906,0,0,2,,42,Ball Receipt*,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['1a435859-f045-49ad-8613-13819d7ffe3b'],,"[58.2, 35.4]",6732.0,Lucas Pérez Martínez,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906
d72146dc-380c-48d3-bca9-454dd2d30633,7,1,00:00:00.971,0,0,2,1.873058,30,Pass,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['2cc869f8-df64-4ca7-87f5-63545999ddd9'],,"[59.3, 35.0]",6732.0,Lucas Pérez Martínez,23.0,Center Forward,26107.0,Alberto Lopo García,29.61216,2.7899365,1.0,Ground Pass,"[31.5, 45.2]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971
2cc869f8-df64-4ca7-87f5-63545999ddd9,8,1,00:00:02.844,0,2,2,,42,Ball Receipt*,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['d72146dc-380c-48d3-bca9-454dd2d30633'],,"[31.5, 45.2]",26107.0,Alberto Lopo García,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.844
8bf2eb49-71bb-4c3a-9ca8-c028671cda74,9,1,00:00:02.844,0,2,2,0.792174,43,Carry,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,"['2cc869f8-df64-4ca7-87f5-63545999ddd9', 'de3deb03-f0d0-4628-b25e-cbd7d8396b83']",,"[31.5, 45.2]",26107.0,Alberto Lopo García,3.0,Right Center Back,,,,,,,,,,,,"[32.6, 45.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.844
de3deb03-f0d0-4628-b25e-cbd7d8396b83,10,1,00:00:03.636,0,3,2,1.357035,30,Pass,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['010525bc-d03d-467d-aa38-aa6a2e8273c6'],,"[32.6, 45.2]",26107.0,Alberto Lopo García,3.0,Right Center Back,6777.0,Sidnei Rechel da Silva Júnior,21.528122,-1.6219145,1.0,Ground Pass,"[31.5, 23.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.636
010525bc-d03d-467d-aa38-aa6a2e8273c6,11,1,00:00:04.993,0,4,2,,42,Ball Receipt*,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['de3deb03-f0d0-4628-b25e-cbd7d8396b83'],,"[31.5, 23.7]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.993
d3230ea6-7cd8-434c-88b4-889584f9aa8c,12,1,00:00:04.993,0,4,2,1.875217,43,Carry,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,"['010525bc-d03d-467d-aa38-aa6a2e8273c6', 'eb4f71de-3f96-4410-82b3-5a84fa46a6a6']",,"[31.5, 23.7]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,,,,,,,,,,,,"[31.5, 23.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.993
eb4f71de-3f96-4410-82b3-5a84fa46a6a6,13,1,00:00:06.869,0,6,2,2.139192,30,Pass,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['f4e0f5f5-bb45-4073-bbe7-38edc2832776'],,"[31.5, 23.2]",6777.0,Sidnei Rechel da Silva Júnior,5.0,Left Center Back,26107.0,Alberto Lopo García,27.012033,1.745683,1.0,Ground Pass,"[26.8, 49.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.869
f4e0f5f5-bb45-4073-bbe7-38edc2832776,14,1,00:00:09.008,0,9,2,,42,Ball Receipt*,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['eb4f71de-3f96-4410-82b3-5a84fa46a6a6'],,"[26.8, 49.8]",26107.0,Alberto Lopo García,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.008
f7a2fdd3-7c56-4cf0-8b87-8a8ee421dcb3,15,1,00:00:09.008,0,9,2,1.650148,43,Carry,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,"['0a5ed06e-7ecf-4f6a-8321-e932117014dc', 'eb8eac2f-84f2-4e00-ac22-0ef2417d71c6', 'f4e0f5f5-bb45-4073-bbe7-38edc2832776']",,"[26.8, 49.8]",26107.0,Alberto Lopo García,3.0,Right Center Back,,,,,,,,,,,,"[32.6, 61.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.008
0a5ed06e-7ecf-4f6a-8321-e932117014dc,16,1,00:00:09.706,0,9,2,0.739446,17,Pressure,219,RC Deportivo La Coruña,9,From Kick Off,210,Real Sociedad,,,['f7a2fdd3-7c56-4cf0-8b87-8a8ee421dcb3'],,"[88.6, 27.9]",8584.0,Jonathas Cristian de Jesus,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.706
eb8eac2f-84f2-4e00-ac22-0ef2417d71c6,17,1,00:00:10.658,0,10,2,4.755209,30,Pass,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['6612571a-e31b-4abd-b5c6-210cdfad243d'],,"[32.6, 61.5]",26107.0,Alberto Lopo García,3.0,Right Center Back,6738.0,Juan Francisco Moreno Fuertes,75.223465,0.14810115,3.0,High Pass,"[107.0, 72.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.658
6612571a-e31b-4abd-b5c6-210cdfad243d,18,1,00:00:15.413,0,15,2,,42,Ball Receipt*,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['eb8eac2f-84f2-4e00-ac22-0ef2417d71c6'],,"[107.0, 72.6]",6738.0,Juan Francisco Moreno Fuertes,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.413
ab7cef30-194b-4ba5-a102-fa15a5878d63,19,1,00:00:15.413,0,15,2,3.379972,43,Carry,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,"['034bfa44-a84e-4188-867e-c428a6c485aa', '248a1797-fb23-4f76-98de-8670aabcd050', '6612571a-e31b-4abd-b5c6-210cdfad243d']",,"[107.0, 72.6]",6738.0,Juan Francisco Moreno Fuertes,17.0,Right Wing,,,,,,,,,,,,"[103.3, 73.4]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.413
248a1797-fb23-4f76-98de-8670aabcd050,20,1,00:00:15.541,0,15,2,3.347942,17,Pressure,219,RC Deportivo La Coruña,9,From Kick Off,210,Real Sociedad,,,"['034bfa44-a84e-4188-867e-c428a6c485aa', 'ab7cef30-194b-4ba5-a102-fa15a5878d63']",,"[11.9, 8.4]",3023.0,Yuri Berchiche Izeta,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.541
034bfa44-a84e-4188-867e-c428a6c485aa,21,1,00:00:18.793,0,18,2,0.785366,30,Pass,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,"['248a1797-fb23-4f76-98de-8670aabcd050', '61fa4ebe-000a-4b73-8e44-6e2de81b6823']",,"[103.3, 73.4]",6738.0,Juan Francisco Moreno Fuertes,17.0,Right Wing,6732.0,Lucas Pérez Martínez,10.643778,-2.0386455,1.0,Ground Pass,"[98.5, 63.9]",,,38.0,Left Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.793
