id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,foul_committed_type_id,foul_committed_type_name,interception_outcome_id,interception_outcome_name,pass_cross,pass_switch,out,pass_technique_id,pass_technique_name,pass_inswinging,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,clearance_head,clearance_left_foot,foul_won_defensive,shot_statsbomb_xg,shot_end_location,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble_nutmeg,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,ball_recovery_recovery_failure,50_50_outcome_id,50_50_outcome_name,pass_outswinging,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_advantage,foul_won_advantage,pass_cut_back,shot_deflected,block_deflection,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,clearance_other,pass_straight,pass_through_ball,block_offensive,shot_redirect,timestamp_seconds
80e41395-a2e0-4e25-a386-deb38a3ba571,910,1,00:21:27.098,21,27,56,0.0,9,Clearance,1041,Sporting Gijón,1,Regular Play,213,Sevilla,,,['9c5f1dc9-ae61-40dd-a432-62ea4340d67f'],,"[6.8, 47.4]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,38.0,Left Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.098
55595222-7ddd-4618-9f74-7d264e823feb,911,1,00:21:27.692,21,27,56,0.0,25,Own Goal For,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['652ffd3b-0101-4c61-bf3e-ca27e579f559'],,"[117.9, 38.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.692
652ffd3b-0101-4c61-bf3e-ca27e579f559,912,1,00:21:27.692,21,27,56,0.0,20,Own Goal Against,1041,Sporting Gijón,1,Regular Play,213,Sevilla,,,['55595222-7ddd-4618-9f74-7d264e823feb'],,"[2.2, 41.8]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.692
6f83a517-7820-46b4-abc7-a6e93d1340f4,913,1,00:22:22.181,22,22,57,0.80653,30,Pass,213,Sevilla,9,From Kick Off,213,Sevilla,,,['c9206a15-7c8b-49db-8cbd-029e52c425ed'],True,"[61.0, 40.1]",3486.0,Fernando Llorente Torres,23.0,Center Forward,3497.0,Vicente Iborra De La Fuente,22.314344,3.1057336,1.0,Ground Pass,"[38.7, 40.9]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.181
c9206a15-7c8b-49db-8cbd-029e52c425ed,914,1,00:22:22.987,22,22,57,,42,Ball Receipt*,213,Sevilla,9,From Kick Off,213,Sevilla,,,['6f83a517-7820-46b4-abc7-a6e93d1340f4'],,"[38.7, 40.9]",3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.987
2f178541-a202-476f-a29d-3b78286985ea,915,1,00:22:24.089,22,24,57,1.17929,30,Pass,213,Sevilla,9,From Kick Off,213,Sevilla,,,['f90ceb81-02e9-4399-80ce-a437b9a713a1'],True,"[38.3, 42.6]",3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,3486.0,Fernando Llorente Torres,40.24823,-0.28717315,3.0,High Pass,"[76.9, 31.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.089
f90ceb81-02e9-4399-80ce-a437b9a713a1,916,1,00:22:25.269,22,25,57,,42,Ball Receipt*,213,Sevilla,9,From Kick Off,213,Sevilla,,,['2f178541-a202-476f-a29d-3b78286985ea'],,"[76.9, 31.2]",3486.0,Fernando Llorente Torres,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.269
7a454088-ba0e-4fba-bc4f-6db2cbf7a0b1,917,1,00:22:26.173,22,26,57,1.592661,30,Pass,213,Sevilla,9,From Kick Off,213,Sevilla,,,['02e161be-ef6d-4f3f-a21f-2a8d6d7bfcd5'],,"[78.3, 26.2]",3486.0,Fernando Llorente Torres,23.0,Center Forward,8523.0,Yevhen Konoplyanka,16.85141,-1.3978429,1.0,Ground Pass,"[81.2, 9.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.173
02e161be-ef6d-4f3f-a21f-2a8d6d7bfcd5,918,1,00:22:27.766,22,27,57,,42,Ball Receipt*,213,Sevilla,9,From Kick Off,213,Sevilla,,,['7a454088-ba0e-4fba-bc4f-6db2cbf7a0b1'],,"[81.2, 9.6]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347.766
cf2ef0d6-57eb-4418-ae70-ef544342ed8d,919,1,00:22:27.766,22,27,57,1.091673,43,Carry,213,Sevilla,9,From Kick Off,213,Sevilla,,,"['02e161be-ef6d-4f3f-a21f-2a8d6d7bfcd5', 'd2387954-e638-407d-8e1c-247d3e773e17']",,"[81.2, 9.6]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,"[87.3, 9.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347.766
