id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,duel_type_id,duel_type_name,pass_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,foul_committed_offensive,foul_won_defensive,pass_no_touch,interception_outcome_id,interception_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,out,off_camera,pass_switch,pass_cross,clearance_aerial_won,clearance_head,block_offensive,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_inswinging,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,clearance_left_foot,dribble_overrun,foul_committed_type_id,foul_committed_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_first_time,pass_outswinging,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,goalkeeper_success_in_play,ball_recovery_recovery_failure,pass_deflected,block_deflection,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,50_50_outcome_id,50_50_outcome_name,injury_stoppage_in_chain,shot_deflected,pass_miscommunication,timestamp_seconds
1f26ce8c-ba44-46dd-a2aa-48c6c68d585c,949,1,00:21:25.529,21,25,46,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['1f069849-32f5-4764-8ceb-4da5283c0975', 'ae5c3565-0aa1-4753-8de2-bab41e0d925d']","[45.6, 23.6]",6633.0,Markel Bergara Larrañaga,13.0,Right Center Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285.529
84a98b8d-a7de-4c0b-a9c9-169d59013fa5,950,1,00:21:25.529,21,25,46,2.617272,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['1f069849-32f5-4764-8ceb-4da5283c0975', '2a52a5f5-8ecf-4294-bc0b-f56ce90b5451']","[45.2, 23.2]",6633.0,Markel Bergara Larrañaga,13.0,Right Center Midfield,3023.0,Yuri Berchiche Izeta,25.110357,-2.3308477,3.0,High Pass,"[27.9, 5.0]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285.529
2a52a5f5-8ecf-4294-bc0b-f56ce90b5451,951,1,00:21:28.146,21,28,46,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['84a98b8d-a7de-4c0b-a9c9-169d59013fa5'],"[27.9, 5.0]",3023.0,Yuri Berchiche Izeta,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288.146
7a165ec5-9072-4c66-ae1e-88f37d5adac6,952,1,00:21:28.146,21,28,46,1.400613,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['2a52a5f5-8ecf-4294-bc0b-f56ce90b5451', '2f896853-5153-4bbd-b8c7-20ded827147c']","[27.9, 5.0]",3023.0,Yuri Berchiche Izeta,6.0,Left Back,,,,,,,,,,,,"[27.9, 5.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288.146
2f896853-5153-4bbd-b8c7-20ded827147c,953,1,00:21:29.547,21,29,46,0.996662,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['168420e3-5779-4b8a-a968-6a0c3cf651d2'],"[27.9, 5.0]",3023.0,Yuri Berchiche Izeta,6.0,Left Back,6669.0,David Zurutuza Veillet,16.607529,-0.030111378,1.0,Ground Pass,"[44.5, 4.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.547
168420e3-5779-4b8a-a968-6a0c3cf651d2,954,1,00:21:30.543,21,30,46,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['2f896853-5153-4bbd-b8c7-20ded827147c'],"[44.5, 4.5]",6669.0,David Zurutuza Veillet,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290.543
c7fe6dc8-43bd-4c7c-91d2-be9b2f4c8575,955,1,00:21:30.543,21,30,46,1.230829,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['168420e3-5779-4b8a-a968-6a0c3cf651d2', '9c5d769e-476b-419c-8ba1-af98b3fc0cfd', 'bdc6390b-ceb3-4032-994b-33d5b1f5002e']","[44.5, 4.5]",6669.0,David Zurutuza Veillet,21.0,Left Wing,,,,,,,,,,,,"[42.4, 3.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290.543
9c5d769e-476b-419c-8ba1-af98b3fc0cfd,956,1,00:21:30.793,21,30,46,0.731036,17,Pressure,210,Real Sociedad,1,Regular Play,222,Villarreal,,,['c7fe6dc8-43bd-4c7c-91d2-be9b2f4c8575'],"[74.9, 74.3]",6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290.793
bdc6390b-ceb3-4032-994b-33d5b1f5002e,957,1,00:21:31.774,21,31,46,0.0,3,Dispossessed,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['3d96396d-0c3b-44fc-8b82-994434ffc3fc'],"[42.4, 3.7]",6669.0,David Zurutuza Veillet,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291.774
3d96396d-0c3b-44fc-8b82-994434ffc3fc,958,1,00:21:31.774,21,31,46,0.0,4,Duel,210,Real Sociedad,1,Regular Play,222,Villarreal,,,['bdc6390b-ceb3-4032-994b-33d5b1f5002e'],"[77.7, 76.4]",6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,,,,,,,,,,,,,True,,,,,,11.0,Tackle,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291.774
ca1065d6-5faf-4af9-bf08-c9b5c5ce896c,959,1,00:21:44.300,21,44,47,1.70953,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['db37af23-893e-4b16-a62e-437e2476e070'],"[37.7, 0.1]",3023.0,Yuri Berchiche Izeta,6.0,Left Back,6665.0,Íñigo Martínez Berridi,17.670597,2.7032561,2.0,Low Pass,"[21.7, 7.6]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304.3
db37af23-893e-4b16-a62e-437e2476e070,960,1,00:21:46.009,21,46,47,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['ca1065d6-5faf-4af9-bf08-c9b5c5ce896c'],"[21.7, 7.6]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.009
cff4dd4f-b556-435a-a896-61a008b0e358,961,1,00:21:46.009,21,46,47,1.366785,43,Carry,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['578fc627-7d34-4e2c-add3-6e1b7c698219', 'db37af23-893e-4b16-a62e-437e2476e070']","[21.7, 7.6]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,"[22.3, 5.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.009
578fc627-7d34-4e2c-add3-6e1b7c698219,962,1,00:21:47.376,21,47,47,2.862822,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['35de4988-b638-44ad-8178-b6892cec6c64'],"[22.3, 5.0]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,5560.0,Carlos Alberto Vela Garrido,52.642567,0.15640436,3.0,High Pass,"[74.3, 13.2]",38.0,Left Foot,,,,,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307.376
35de4988-b638-44ad-8178-b6892cec6c64,963,1,00:21:50.239,21,50,47,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['578fc627-7d34-4e2c-add3-6e1b7c698219'],"[74.3, 13.2]",5560.0,Carlos Alberto Vela Garrido,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310.239
68575672-c114-44fc-918d-136aaae0b6b4,964,1,00:21:57.815,21,57,48,2.734824,30,Pass,222,Villarreal,3,From Free Kick,222,Villarreal,,,['6b850b72-2d74-43b4-998a-12465e56f0fa'],"[40.9, 69.8]",3324.0,Eric Bertrand Bailly,3.0,Right Center Back,6752.0,Víctor Ruíz Torre,18.479177,-1.7448416,1.0,Ground Pass,"[37.7, 51.6]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.815
6b850b72-2d74-43b4-998a-12465e56f0fa,965,1,00:22:00.550,22,0,48,,42,Ball Receipt*,222,Villarreal,3,From Free Kick,222,Villarreal,,,['68575672-c114-44fc-918d-136aaae0b6b4'],"[37.7, 51.6]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.55
0af1912b-6050-4726-82d7-05faf73ade06,966,1,00:22:00.550,22,0,48,1.302502,43,Carry,222,Villarreal,3,From Free Kick,222,Villarreal,,,"['6b850b72-2d74-43b4-998a-12465e56f0fa', 'ad0b480f-03e8-416b-beb1-3d43ed7d8181', 'd98527ad-adcb-4101-8cc4-88aaaa64eba1']","[37.7, 51.6]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,,,,,,,,,,,,"[41.7, 47.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.55
d98527ad-adcb-4101-8cc4-88aaaa64eba1,967,1,00:22:00.729,22,0,48,1.824786,17,Pressure,222,Villarreal,3,From Free Kick,210,Real Sociedad,,,"['0af1912b-6050-4726-82d7-05faf73ade06', 'ad0b480f-03e8-416b-beb1-3d43ed7d8181']","[77.5, 28.5]",5560.0,Carlos Alberto Vela Garrido,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.729
ad0b480f-03e8-416b-beb1-3d43ed7d8181,968,1,00:22:01.852,22,1,48,1.311663,30,Pass,222,Villarreal,3,From Free Kick,222,Villarreal,,,"['2fd5766e-fe1c-441b-9987-39edfcfd81a1', 'd98527ad-adcb-4101-8cc4-88aaaa64eba1', 'e160691e-c16b-4207-bbee-fd351852b74d']","[41.7, 47.1]",6752.0,Víctor Ruíz Torre,5.0,Left Center Back,6862.0,Cédric Bakambu,26.00173,-0.8479866,1.0,Ground Pass,"[58.9, 27.6]",38.0,Left Foot,,,,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321.852
e160691e-c16b-4207-bbee-fd351852b74d,969,1,00:22:03.164,22,3,48,,42,Ball Receipt*,222,Villarreal,3,From Free Kick,222,Villarreal,,,['ad0b480f-03e8-416b-beb1-3d43ed7d8181'],"[61.5, 29.2]",6862.0,Cédric Bakambu,24.0,Left Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.164
2fd5766e-fe1c-441b-9987-39edfcfd81a1,970,1,00:22:03.164,22,3,49,0.0,10,Interception,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['ad0b480f-03e8-416b-beb1-3d43ed7d8181'],"[61.2, 52.5]",6685.0,Mikel Oyarzabal Ugarte,17.0,Right Wing,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.164
86b3a436-4962-435a-b638-6e4ada6ef28f,971,1,00:22:03.164,22,3,49,1.594925,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['2c545977-a798-451a-bcdc-c4cab6b500ea', '2fd5766e-fe1c-441b-9987-39edfcfd81a1']","[61.2, 52.5]",6685.0,Mikel Oyarzabal Ugarte,17.0,Right Wing,,,,,,,,,,,,"[61.8, 51.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323.164
2c545977-a798-451a-bcdc-c4cab6b500ea,972,1,00:22:04.759,22,4,49,0.900729,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['eddb07a8-8ebb-4ef7-bce3-6008178d9d62'],"[61.8, 51.6]",6685.0,Mikel Oyarzabal Ugarte,17.0,Right Wing,5560.0,Carlos Alberto Vela Garrido,21.58379,-0.08814311,1.0,Ground Pass,"[83.3, 49.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1324.759
