id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,carry_end_location,counterpress,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,duel_outcome_id,duel_outcome_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,out,clearance_left_foot,pass_inswinging,pass_technique_id,pass_technique_name,foul_won_defensive,pass_through_ball,shot_first_time,pass_switch,pass_deflected,block_deflection,shot_one_on_one,pass_outswinging,miscontrol_aerial_won,pass_cross,dribble_nutmeg,dribble_overrun,foul_committed_type_id,foul_committed_type_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,foul_committed_card_id,foul_committed_card_name,pass_cut_back,foul_committed_penalty,shot_aerial_won,block_save_block,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,block_offensive,timestamp_seconds
ffba3146-93cd-421a-9789-736f8dfee8ba,2506,2,00:20:33.469,65,33,139,2.444,30,Pass,1049,Granada,7,From Goal Kick,1049,Granada,,,"['17053f2d-01c2-41ee-aebd-872cd425d0be', 'c6e18187-d11d-4333-a702-8f5360234e47', 'ecbd39ba-51e8-4f09-9687-ec1e01b275f4']",,"[78.3, 32.7]",24783.0,Javier Márquez Moreno,15.0,Left Center Midfield,6680.0,Rubén Rochina Naixes,33.832085,0.28154773,3.0,High Pass,"[110.8, 42.1]",38.0,Left Foot,,,True,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233.469
17053f2d-01c2-41ee-aebd-872cd425d0be,2507,2,00:20:35.913,65,35,139,,42,Ball Receipt*,1049,Granada,7,From Goal Kick,1049,Granada,,,['ffba3146-93cd-421a-9789-736f8dfee8ba'],,"[96.7, 39.5]",6680.0,Rubén Rochina Naixes,17.0,Right Wing,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.913
ecbd39ba-51e8-4f09-9687-ec1e01b275f4,2508,2,00:20:35.913,65,35,140,0.0,2,Ball Recovery,218,Real Betis,1,Regular Play,218,Real Betis,,,['ffba3146-93cd-421a-9789-736f8dfee8ba'],,"[9.3, 38.0]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.913
22583219-95d3-42fa-b817-10b3318f165c,2509,2,00:20:35.913,65,35,140,4.500931,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['5cbd4729-c391-4ffb-88ae-7ebed41b870e', 'ecbd39ba-51e8-4f09-9687-ec1e01b275f4']",,"[9.3, 38.0]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,"[14.0, 27.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.913
5cbd4729-c391-4ffb-88ae-7ebed41b870e,2510,2,00:20:40.414,65,40,140,2.545934,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['8391e9a6-4622-46b2-a43c-98394a12727a'],,"[14.0, 27.3]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,24132.0,Francisco Miguel Varela Martín,45.413876,-0.533622,2.0,Low Pass,"[53.1, 4.2]",69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240.414
8391e9a6-4622-46b2-a43c-98394a12727a,2511,2,00:20:42.960,65,42,140,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['5cbd4729-c391-4ffb-88ae-7ebed41b870e'],,"[53.1, 4.2]",24132.0,Francisco Miguel Varela Martín,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242.96
29c8f990-9c81-4714-a3e4-c78a67eb4000,2512,2,00:20:42.960,65,42,140,2.079473,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['2aa6b14f-4f81-4c0a-95ff-ea662f3c7c43', '8391e9a6-4622-46b2-a43c-98394a12727a']",,"[53.1, 4.2]",24132.0,Francisco Miguel Varela Martín,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,"[63.4, 1.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1242.96
2aa6b14f-4f81-4c0a-95ff-ea662f3c7c43,2513,2,00:20:45.039,65,45,140,1.327146,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['3664b005-8869-4e75-b5a0-cb429670c881'],,"[63.4, 1.9]",24132.0,Francisco Miguel Varela Martín,6.0,Left Back,6873.0,Francisco Portillo Soler,11.997083,2.267669,1.0,Ground Pass,"[55.7, 11.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245.039
3664b005-8869-4e75-b5a0-cb429670c881,2514,2,00:20:46.367,65,46,140,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['2aa6b14f-4f81-4c0a-95ff-ea662f3c7c43'],,"[55.7, 11.1]",6873.0,Francisco Portillo Soler,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246.367
79ec2926-6dfc-4243-9e1b-6ffd1a4b0cdd,2515,2,00:20:46.367,65,46,140,1.076713,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['3664b005-8869-4e75-b5a0-cb429670c881', '5212e49d-54b1-4cf9-a75d-b62517b45736', '8de25f19-c7c6-469d-9174-e77bbd111339']",,"[55.7, 11.1]",6873.0,Francisco Portillo Soler,21.0,Left Wing,,,,,,,,,,,,True,,,,,,,,,,,,"[55.2, 10.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246.367
8de25f19-c7c6-469d-9174-e77bbd111339,2516,2,00:20:46.408,65,46,140,1.082066,17,Pressure,218,Real Betis,1,Regular Play,1049,Granada,,,"['5212e49d-54b1-4cf9-a75d-b62517b45736', '79ec2926-6dfc-4243-9e1b-6ffd1a4b0cdd']",,"[65.3, 66.3]",24783.0,Javier Márquez Moreno,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246.408
5212e49d-54b1-4cf9-a75d-b62517b45736,2517,2,00:20:47.443,65,47,140,1.952262,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,"['1806e147-6bce-48ac-b9ee-64d36548273f', '8de25f19-c7c6-469d-9174-e77bbd111339']",,"[55.2, 10.2]",6873.0,Francisco Portillo Soler,21.0,Left Wing,7161.0,Germán Alejandro Pezzella,19.079046,2.4341035,1.0,Ground Pass,"[40.7, 22.6]",40.0,Right Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247.443
1806e147-6bce-48ac-b9ee-64d36548273f,2518,2,00:20:49.396,65,49,140,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['5212e49d-54b1-4cf9-a75d-b62517b45736'],,"[40.7, 22.6]",7161.0,Germán Alejandro Pezzella,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249.396
