id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,off_camera,under_pressure,counterpress,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_recovery_recovery_failure,clearance_left_foot,duel_type_id,duel_type_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,pass_switch,duel_outcome_id,duel_outcome_name,pass_cross,pass_technique_id,pass_technique_name,pass_through_ball,pass_goal_assist,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_won_defensive,out,clearance_aerial_won,shot_first_time,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,pass_deflected,block_deflection,block_offensive,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,miscontrol_aerial_won,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_inswinging,pass_cut_back,pass_straight,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,dribble_overrun,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,timestamp_seconds
722b2a16-f388-4a67-8868-72e0cbeb145b,2863,2,00:34:16.374,79,16,176,1.459567,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['0f51e5f7-089a-48c3-b106-8ba24e850f81', '30943531-a595-4920-b7af-6ab7fe6eb1e2']","[42.8, 26.2]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,"[49.9, 31.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2056.374
0f51e5f7-089a-48c3-b106-8ba24e850f81,2864,2,00:34:17.833,79,17,176,1.124465,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['4b533ea9-3810-4fd5-92c0-486650deddcf'],"[49.9, 31.6]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,6671.0,Asier Illarramendi Andonegi,24.79879,1.2720009,1.0,Ground Pass,"[57.2, 55.3]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057.833
4b533ea9-3810-4fd5-92c0-486650deddcf,2865,2,00:34:18.958,79,18,176,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['0f51e5f7-089a-48c3-b106-8ba24e850f81'],"[57.2, 55.3]",6671.0,Asier Illarramendi Andonegi,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058.958
c4e5d8c1-42ff-4858-a8f2-31edd3214c66,2866,2,00:34:18.958,79,18,176,2.220904,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['4b533ea9-3810-4fd5-92c0-486650deddcf', '7f1427e3-43b8-4bc0-8e0f-3c56e02ae413']","[57.2, 55.3]",6671.0,Asier Illarramendi Andonegi,11.0,Left Defensive Midfield,,,,,,,,,,,,"[64.2, 60.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058.958
7f1427e3-43b8-4bc0-8e0f-3c56e02ae413,2867,2,00:34:21.179,79,21,176,1.088535,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['4404f20f-8778-4cb5-b305-c0ef8402f853'],"[64.2, 60.9]",6671.0,Asier Illarramendi Andonegi,11.0,Left Defensive Midfield,6690.0,Xabier Prieto Argarate,13.918693,1.0685827,1.0,Ground Pass,"[70.9, 73.1]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061.179
4404f20f-8778-4cb5-b305-c0ef8402f853,2868,2,00:34:22.267,79,22,176,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['7f1427e3-43b8-4bc0-8e0f-3c56e02ae413'],"[70.9, 73.1]",6690.0,Xabier Prieto Argarate,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.267
c2207970-c7c0-4154-b7cf-d2588f746f49,2869,2,00:34:22.267,79,22,176,1.064285,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['08114c52-8d59-42be-ab8b-9058cecbbad7', '4404f20f-8778-4cb5-b305-c0ef8402f853']","[70.9, 73.1]",6690.0,Xabier Prieto Argarate,2.0,Right Back,,,,,,,,,,,,"[69.4, 72.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.267
08114c52-8d59-42be-ab8b-9058cecbbad7,2870,2,00:34:23.332,79,23,176,1.273756,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['5834b698-d9a9-4185-874f-612066fcfbfa'],"[69.4, 72.0]",6690.0,Xabier Prieto Argarate,2.0,Right Back,6899.0,Rubén Pardo Gutiérrez,17.165663,-1.6582917,1.0,Ground Pass,"[67.9, 54.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.332
5834b698-d9a9-4185-874f-612066fcfbfa,2871,2,00:34:24.605,79,24,176,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['08114c52-8d59-42be-ab8b-9058cecbbad7'],"[67.9, 54.9]",6899.0,Rubén Pardo Gutiérrez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.605
6094ab93-2118-44ac-8099-d81a4c4d517f,2872,2,00:34:24.605,79,24,176,1.633714,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['5834b698-d9a9-4185-874f-612066fcfbfa', 'ddab6f4f-25ab-4e89-88f2-d3928f3141a8']","[67.9, 54.9]",6899.0,Rubén Pardo Gutiérrez,9.0,Right Defensive Midfield,,,,,,,,,,,,"[68.7, 54.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.605
