id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,under_pressure,off_camera,counterpress,interception_outcome_id,interception_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_deflected,foul_won_defensive,ball_recovery_recovery_failure,50_50_outcome_id,50_50_outcome_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,foul_committed_card_id,foul_committed_card_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_miscommunication,clearance_aerial_won,foul_committed_advantage,foul_won_advantage,shot_one_on_one,clearance_left_foot,pass_goal_assist,pass_inswinging,pass_cut_back,shot_aerial_won,pass_outswinging,dribble_overrun,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,block_save_block,timestamp_seconds
b7ea4fb0-63f4-41b2-9b8c-9cf96d2ba40a,1515,1,00:35:28.781,35,28,77,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['9b283277-35a2-4a0e-aafa-50221c65eaa2'],"[62.5, 17.0]",5463.0,Luka Modrić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128.781
691f308d-ef9a-4a44-8b08-364b40452c47,1516,1,00:35:28.781,35,28,77,0.988798,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['3e09f420-cd19-45f6-b4c4-51d57d23ef85', 'b7ea4fb0-63f4-41b2-9b8c-9cf96d2ba40a']","[62.5, 17.0]",5463.0,Luka Modrić,13.0,Right Center Midfield,,,,,,,,,,,,"[62.7, 16.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128.781
3e09f420-cd19-45f6-b4c4-51d57d23ef85,1517,1,00:35:29.770,35,29,77,1.115503,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['1955ddbf-2da1-434f-85f3-b2c3c8bb4c23'],"[62.7, 16.6]",5463.0,Luka Modrić,13.0,Right Center Midfield,4926.0,Francisco Román Alarcón Suárez,8.237719,1.3876855,1.0,Ground Pass,"[64.2, 24.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129.77
1955ddbf-2da1-434f-85f3-b2c3c8bb4c23,1518,1,00:35:30.885,35,30,77,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['3e09f420-cd19-45f6-b4c4-51d57d23ef85'],"[64.2, 24.7]",4926.0,Francisco Román Alarcón Suárez,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130.885
2e220c82-1d26-4b7f-b201-170ea8b06679,1519,1,00:35:30.885,35,30,77,0.882629,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['8cb23ba8-adcf-4beb-82ec-18558af78a51'],"[64.2, 24.7]",4926.0,Francisco Román Alarcón Suárez,15.0,Left Center Midfield,5463.0,Luka Modrić,3.176476,2.6497834,1.0,Ground Pass,"[61.4, 26.2]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130.885
8cb23ba8-adcf-4beb-82ec-18558af78a51,1520,1,00:35:31.768,35,31,77,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['2e220c82-1d26-4b7f-b201-170ea8b06679'],"[61.4, 26.2]",5463.0,Luka Modrić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131.768
b0bf5a3b-4669-4cab-b3db-c5dbcad04ca7,1521,1,00:35:31.768,35,31,77,1.486233,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['72130be3-7a2a-4f39-85b7-d97ad2599eda', '8cb23ba8-adcf-4beb-82ec-18558af78a51']","[61.4, 26.2]",5463.0,Luka Modrić,13.0,Right Center Midfield,,,,,,,,,,,,"[62.9, 35.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131.768
72130be3-7a2a-4f39-85b7-d97ad2599eda,1522,1,00:35:33.254,35,33,77,2.855756,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['895978b3-c680-4dd2-976e-ba7442204bfe'],"[62.9, 35.4]",5463.0,Luka Modrić,13.0,Right Center Midfield,5721.0,Daniel Carvajal Ramos,54.224163,0.87157166,3.0,High Pass,"[97.8, 76.9]",,,40.0,Right Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133.254
895978b3-c680-4dd2-976e-ba7442204bfe,1523,1,00:35:36.110,35,36,77,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['72130be3-7a2a-4f39-85b7-d97ad2599eda'],"[97.8, 76.9]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2136.11
5e6f4072-5d92-42e9-b0d9-e418ea288361,1524,1,00:35:36.110,35,36,77,2.148668,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['699594ec-2190-42c7-b2d2-37cb02589ee7', '895978b3-c680-4dd2-976e-ba7442204bfe']","[97.8, 76.9]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,,,,,,,,,,,,"[105.9, 66.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2136.11
