id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,pass_deflected,block_deflection,out,pass_cross,ball_recovery_recovery_failure,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_aerial_won,dribble_nutmeg,interception_outcome_id,interception_outcome_name,pass_technique_id,pass_technique_name,pass_inswinging,clearance_aerial_won,clearance_head,foul_committed_card_id,foul_committed_card_name,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,shot_first_time,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,foul_won_defensive,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,miscontrol_aerial_won,pass_through_ball,foul_committed_advantage,foul_won_advantage,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,foul_committed_penalty,foul_won_penalty,dribble_overrun,50_50_outcome_id,50_50_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_aerial_won,timestamp_seconds
3b7115fc-105a-4fc4-959e-62d3a8460df0,2966,2,00:31:33.978,76,33,176,1.281318,43,Carry,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['96ff6988-1869-4851-9213-063b82b07104', 'e1c6aa66-56d4-423e-8584-76d9757903fe']",,"[61.9, 35.4]",16539.0,Diego Antonio Reyes Rosales,3.0,Right Center Back,,,,,,,,,,,,"[62.1, 37.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.978
e1c6aa66-56d4-423e-8584-76d9757903fe,2967,2,00:31:35.259,76,35,176,0.0,3,Dispossessed,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['f972fdd9-7960-4eaa-a9a0-e0965532e119'],,"[62.1, 37.9]",16539.0,Diego Antonio Reyes Rosales,3.0,Right Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.259
f972fdd9-7960-4eaa-a9a0-e0965532e119,2968,2,00:31:35.259,76,35,177,0.0,4,Duel,216,Getafe,1,Regular Play,216,Getafe,,,['e1c6aa66-56d4-423e-8584-76d9757903fe'],,"[58.0, 42.2]",6736.0,Álvaro Medrán Just,11.0,Left Defensive Midfield,,,,,,,,,,,,,True,11.0,Tackle,4.0,Won,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.259
a3ed4058-7cc2-49ff-9d4b-082cc1e27fdb,2969,2,00:31:35.259,76,35,177,2.503991,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['418d8fb1-6a30-448c-9d73-ab7e2395c1c8', 'f972fdd9-7960-4eaa-a9a0-e0965532e119']",,"[58.0, 42.2]",6736.0,Álvaro Medrán Just,11.0,Left Defensive Midfield,,,,,,,,,,,,"[66.4, 40.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.259
418d8fb1-6a30-448c-9d73-ab7e2395c1c8,2970,2,00:31:37.763,76,37,177,3.235916,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['c58851a4-b1eb-4151-82e7-28a8a4df55dc'],,"[66.4, 40.4]",6736.0,Álvaro Medrán Just,11.0,Left Defensive Midfield,6720.0,Pablo Sarabia García,42.69192,0.8616619,2.0,Low Pass,"[94.2, 72.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.763
c58851a4-b1eb-4151-82e7-28a8a4df55dc,2971,2,00:31:40.999,76,40,177,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['418d8fb1-6a30-448c-9d73-ab7e2395c1c8'],,"[94.2, 72.8]",6720.0,Pablo Sarabia García,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.999
bca9e57d-056a-4ef9-ae16-c77e54cd9d3d,2972,2,00:31:40.999,76,40,177,3.721015,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['711c01d2-07d2-4b0e-a0dd-c4abaec9670e', 'a9ccf5cd-8068-418f-b606-a0f50d059dc3', 'c58851a4-b1eb-4151-82e7-28a8a4df55dc']",,"[94.2, 72.8]",6720.0,Pablo Sarabia García,21.0,Left Wing,,,,,,,,,,,,"[107.1, 59.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.999
711c01d2-07d2-4b0e-a0dd-c4abaec9670e,2973,2,00:31:44.494,76,44,177,0.437511,17,Pressure,216,Getafe,1,Regular Play,210,Real Sociedad,,,"['a9ccf5cd-8068-418f-b606-a0f50d059dc3', 'bca9e57d-056a-4ef9-ae16-c77e54cd9d3d']",,"[14.4, 22.4]",6770.0,Esteban Félix Granero Molina,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904.494
a9ccf5cd-8068-418f-b606-a0f50d059dc3,2974,2,00:31:44.720,76,44,177,0.513653,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,"['70f97070-8317-477f-a6fd-ec5d3e90a6e6', '711c01d2-07d2-4b0e-a0dd-c4abaec9670e']",,"[107.1, 59.5]",6720.0,Pablo Sarabia García,21.0,Left Wing,11813.0,Emiliano Buendía,10.458012,-1.4654189,1.0,Ground Pass,"[108.2, 49.1]",38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904.72
c4e932c4-0df8-4e17-8871-907a5c56cef1,2975,2,00:31:45.201,76,45,177,0.217224,17,Pressure,216,Getafe,1,Regular Play,210,Real Sociedad,,,"['6008d46e-3a3e-4e4e-96cf-44c7011ae332', '70f97070-8317-477f-a6fd-ec5d3e90a6e6', 'd4912e16-782a-4e0a-a928-081d67ad9471']",,"[10.6, 31.0]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905.201
70f97070-8317-477f-a6fd-ec5d3e90a6e6,2976,2,00:31:45.234,76,45,177,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,"['a9ccf5cd-8068-418f-b606-a0f50d059dc3', 'c4e932c4-0df8-4e17-8871-907a5c56cef1']",,"[108.2, 49.1]",11813.0,Emiliano Buendía,19.0,Center Attacking Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905.234
d4912e16-782a-4e0a-a928-081d67ad9471,2977,2,00:31:45.234,76,45,177,0.040000003,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['6008d46e-3a3e-4e4e-96cf-44c7011ae332', '70f97070-8317-477f-a6fd-ec5d3e90a6e6', 'c4e932c4-0df8-4e17-8871-907a5c56cef1']",,"[108.2, 49.1]",11813.0,Emiliano Buendía,19.0,Center Attacking Midfield,,,,,,,,,,,,"[107.8, 49.1]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905.234
6008d46e-3a3e-4e4e-96cf-44c7011ae332,2978,2,00:31:45.274,76,45,177,0.0,38,Miscontrol,216,Getafe,1,Regular Play,216,Getafe,,,['c4e932c4-0df8-4e17-8871-907a5c56cef1'],,"[107.8, 49.1]",11813.0,Emiliano Buendía,19.0,Center Attacking Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905.274
af3a297f-57f6-4281-bc20-ca7771e8fde6,2979,2,00:31:45.439,76,45,177,0.0,6,Block,216,Getafe,1,Regular Play,210,Real Sociedad,,,,,"[11.0, 31.0]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905.439
8dd32c48-c95f-4953-afba-9e83e6e80c9b,2980,2,00:32:16.729,77,16,177,0.0,19,Substitution,216,Getafe,1,Regular Play,210,Real Sociedad,,,,True,,6633.0,Markel Bergara Larrañaga,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,6690.0,Xabier Prieto Argarate,,,,,,,,,,,,,,,,,,,,1936.729
63bd4efe-33c2-46f9-9bc9-224a9178157a,2981,2,00:32:25.473,77,25,178,1.550573,30,Pass,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['5587bb5c-99c0-4e88-adde-641904c449ac'],True,"[6.0, 36.0]",6692.0,Oier Olazábal Paredes,1.0,Goalkeeper,6665.0,Íñigo Martínez Berridi,48.881184,-0.6504568,1.0,Ground Pass,"[44.9, 6.4]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945.473
5587bb5c-99c0-4e88-adde-641904c449ac,2982,2,00:32:27.023,77,27,178,,42,Ball Receipt*,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['63bd4efe-33c2-46f9-9bc9-224a9178157a'],,"[44.9, 6.4]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947.023
de36c7f6-1d00-4904-af7d-2ff064d39aba,2983,2,00:32:27.023,77,27,178,1.025379,30,Pass,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['385dfecd-8b1b-4028-b8c6-e4dbc76b8b64'],,"[44.7, 8.6]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,6690.0,Xabier Prieto Argarate,12.149074,0.3529904,1.0,Ground Pass,"[56.1, 12.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947.023
385dfecd-8b1b-4028-b8c6-e4dbc76b8b64,2984,2,00:32:28.049,77,28,178,,42,Ball Receipt*,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['de36c7f6-1d00-4904-af7d-2ff064d39aba'],,"[56.1, 12.8]",6690.0,Xabier Prieto Argarate,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948.049
89b6bdff-ff7c-4814-bde6-0f569d90de7e,2985,2,00:32:28.049,77,28,178,1.506432,43,Carry,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['385dfecd-8b1b-4028-b8c6-e4dbc76b8b64', 'ff46ae46-bcf2-4cec-ae09-e23666a4088d']",,"[56.1, 12.8]",6690.0,Xabier Prieto Argarate,10.0,Center Defensive Midfield,,,,,,,,,,,,"[55.5, 15.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948.049
ff46ae46-bcf2-4cec-ae09-e23666a4088d,2986,2,00:32:29.555,77,29,178,1.32294,30,Pass,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['d95d0855-dbe5-4a2e-8767-d654f28fa857'],,"[55.5, 15.1]",6690.0,Xabier Prieto Argarate,10.0,Center Defensive Midfield,6669.0,David Zurutuza Veillet,13.705838,2.5272803,1.0,Ground Pass,"[44.3, 23.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949.555
d95d0855-dbe5-4a2e-8767-d654f28fa857,2987,2,00:32:30.878,77,30,178,,42,Ball Receipt*,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['ff46ae46-bcf2-4cec-ae09-e23666a4088d'],,"[44.3, 23.0]",6669.0,David Zurutuza Veillet,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.878
cdad90dd-a287-4e09-8b6d-abca05a7a4ef,2988,2,00:32:30.878,77,30,178,2.740208,43,Carry,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,"['d95d0855-dbe5-4a2e-8767-d654f28fa857', 'f47ff076-b99f-4b70-9608-6ff3d5b3196f']",,"[44.3, 23.0]",6669.0,David Zurutuza Veillet,15.0,Left Center Midfield,,,,,,,,,,,,"[52.5, 38.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.878
f47ff076-b99f-4b70-9608-6ff3d5b3196f,2989,2,00:32:33.618,77,33,178,1.205688,30,Pass,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['47c85096-f785-4f07-9193-3e5e1aa47633'],,"[52.5, 38.9]",6669.0,David Zurutuza Veillet,15.0,Left Center Midfield,6685.0,Mikel Oyarzabal Ugarte,21.63169,0.51742595,1.0,Ground Pass,"[71.3, 49.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953.618
47c85096-f785-4f07-9193-3e5e1aa47633,2990,2,00:32:34.824,77,34,178,,42,Ball Receipt*,210,Real Sociedad,7,From Goal Kick,210,Real Sociedad,,,['f47ff076-b99f-4b70-9608-6ff3d5b3196f'],,"[71.3, 49.6]",6685.0,Mikel Oyarzabal Ugarte,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954.824
