id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,counterpress,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,under_pressure,foul_committed_advantage,foul_won_advantage,pass_switch,out,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,off_camera,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,clearance_head,pass_cut_back,clearance_left_foot,pass_technique_id,pass_technique_name,pass_inswinging,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_punched_out,block_offensive,pass_through_ball,pass_assisted_shot_id,pass_shot_assist,pass_outswinging,shot_key_pass_id,shot_aerial_won,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,dribble_overrun,shot_deflected,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_straight,shot_one_on_one,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,pass_goal_assist,shot_open_goal,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
64145252-5539-420a-adb9-e1c5780cb3d8,1074,1,00:30:46.241,30,46,69,4.123114,43,Carry,360,Rayo Vallecano,3,From Free Kick,221,Levante UD,,,"['31e8a5af-81fc-4e4d-8851-a7acc4c7aa54', '7fdd9ce6-c636-42ac-b8ef-51ab30490ac5']","[20.1, 35.3]",26012.0,David Navarro Pedrós,5.0,Left Center Back,,,,,,,,,,,,"[21.8, 42.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846.241
31e8a5af-81fc-4e4d-8851-a7acc4c7aa54,1075,1,00:30:50.364,30,50,69,4.941108,30,Pass,360,Rayo Vallecano,3,From Free Kick,221,Levante UD,,,['c4c59696-59a0-4421-9950-a3a777e13edb'],"[21.8, 42.8]",26012.0,David Navarro Pedrós,5.0,Left Center Back,23791.0,Víctor Casadesús Castaño,80.02012,0.48209158,2.0,Low Pass,"[92.7, 79.9]",40.0,Right Foot,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.364
c4c59696-59a0-4421-9950-a3a777e13edb,1076,1,00:30:55.305,30,55,69,,42,Ball Receipt*,360,Rayo Vallecano,3,From Free Kick,221,Levante UD,,,['31e8a5af-81fc-4e4d-8851-a7acc4c7aa54'],"[86.1, 76.8]",23791.0,Víctor Casadesús Castaño,23.0,Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855.305
d65b2a9d-8a88-432a-8341-005b515c9bcf,1077,1,00:31:15.661,31,15,70,1.195576,30,Pass,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['dd82ad90-d053-4041-8180-1dea9be89452'],"[33.5, 0.1]",11298.0,José Ignacio Martínez García,6.0,Left Back,11542.0,Javier Guerra Rodríguez,23.125095,0.8006875,3.0,High Pass,"[49.6, 16.7]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875.661
dd82ad90-d053-4041-8180-1dea9be89452,1078,1,00:31:16.857,31,16,70,,42,Ball Receipt*,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['d65b2a9d-8a88-432a-8341-005b515c9bcf'],"[49.6, 16.7]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876.857
0cf10678-3bf6-4526-b04a-6db2138e9391,1079,1,00:31:16.897,31,16,70,0.0,4,Duel,360,Rayo Vallecano,4,From Throw In,221,Levante UD,,,['4c5b2a4c-e907-4a4b-a3ae-03d074380a31'],"[70.5, 63.4]",8801.0,Iván López Mendoza,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876.897
4c5b2a4c-e907-4a4b-a3ae-03d074380a31,1080,1,00:31:16.897,31,16,70,1.471813,30,Pass,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,"['0cf10678-3bf6-4526-b04a-6db2138e9391', '2a3e695b-e85b-4304-b368-4c681eca25b0', 'afea85c8-c1e4-445c-af45-3dbc17a74539']","[49.6, 16.7]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,11298.0,José Ignacio Martínez García,11.078809,-2.1112158,2.0,Low Pass,"[43.9, 7.2]",,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876.897
afea85c8-c1e4-445c-af45-3dbc17a74539,1081,1,00:31:18.368,31,18,70,,42,Ball Receipt*,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['4c5b2a4c-e907-4a4b-a3ae-03d074380a31'],"[40.4, 7.2]",11298.0,José Ignacio Martínez García,6.0,Left Back,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878.368
2a3e695b-e85b-4304-b368-4c681eca25b0,1082,1,00:31:18.368,31,18,70,2.129689,30,Pass,360,Rayo Vallecano,4,From Throw In,221,Levante UD,,,"['23007346-af8e-4abb-9f7e-0c1c8309ef7c', '4c5b2a4c-e907-4a4b-a3ae-03d074380a31', '693a3bc4-0085-4f68-a59c-0d8fc181e987']","[76.2, 72.9]",27123.0,Jordi Xumetra Feliu,12.0,Right Midfield,23791.0,Víctor Casadesús Castaño,25.904825,-0.7417101,2.0,Low Pass,"[95.3, 55.4]",40.0,Right Foot,66.0,Recovery,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878.368
693a3bc4-0085-4f68-a59c-0d8fc181e987,1083,1,00:31:20.498,31,20,70,,42,Ball Receipt*,360,Rayo Vallecano,4,From Throw In,221,Levante UD,,,['2a3e695b-e85b-4304-b368-4c681eca25b0'],"[90.3, 63.9]",23791.0,Víctor Casadesús Castaño,23.0,Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880.498
