id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,out,pass_through_ball,pass_technique_id,pass_technique_name,interception_outcome_id,interception_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,dribble_overrun,pass_aerial_won,block_deflection,block_offensive,pass_switch,foul_committed_advantage,foul_won_defensive,foul_won_advantage,pass_straight,pass_cross,clearance_aerial_won,goalkeeper_end_location,ball_recovery_recovery_failure,pass_inswinging,clearance_right_foot,miscontrol_aerial_won,pass_cut_back,pass_goal_assist,shot_first_time,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_outswinging,shot_aerial_won,pass_miscommunication,block_save_block,shot_one_on_one,shot_saved_to_post,goalkeeper_shot_saved_to_post,timestamp_seconds
41962b45-90eb-4588-a612-a339e201c72d,2796,2,00:31:55.648,76,55,162,0.277806,17,Pressure,1041,Sporting Gijón,7,From Goal Kick,223,Málaga,,,['5674e86c-bdf0-458c-8e21-362e830e303e'],,"[3.4, 20.6]",26669.0,Weligton Róbson Pena de Oliveira,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915.648
5674e86c-bdf0-458c-8e21-362e830e303e,2797,2,00:31:55.737,76,55,162,0.0,10,Interception,1041,Sporting Gijón,7,From Goal Kick,1041,Sporting Gijón,,,"['22d28f82-4ac4-4e10-8515-9b56aef0c7dd', '41962b45-90eb-4588-a612-a339e201c72d']",,"[115.5, 61.3]",6602.0,Miguel Ángel Guerrero Martín,23.0,Center Forward,,,,,,,,,,,,True,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915.737
40f21cb1-742d-4e6c-8d8f-bef705190cca,2798,2,00:32:07.845,77,7,163,2.777373,30,Pass,223,Málaga,7,From Goal Kick,223,Málaga,,,['71e57eb6-f7d6-4205-9de0-9e7e51dd3326'],,"[6.0, 36.0]",26103.0,Idriss Carlos Kameni,1.0,Goalkeeper,6764.0,Pablo Fornals Malla,19.516403,-0.1803118,1.0,Ground Pass,"[25.2, 32.5]",63.0,Goal Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927.845
71e57eb6-f7d6-4205-9de0-9e7e51dd3326,2799,2,00:32:10.622,77,10,163,,42,Ball Receipt*,223,Málaga,7,From Goal Kick,223,Málaga,,,['40f21cb1-742d-4e6c-8d8f-bef705190cca'],,"[25.2, 32.5]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.622
d331486b-d66a-46c4-aa96-6bf3f2b3b83c,2800,2,00:32:10.622,77,10,163,1.026722,43,Carry,223,Málaga,7,From Goal Kick,223,Málaga,,,"['6b43e866-f127-4955-b4f1-59bec6d47a64', '71e57eb6-f7d6-4205-9de0-9e7e51dd3326']",,"[25.2, 32.5]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,,,,,,,,,,,,,"[32.2, 32.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.622
6b43e866-f127-4955-b4f1-59bec6d47a64,2801,2,00:32:11.649,77,11,163,1.401039,30,Pass,223,Málaga,7,From Goal Kick,223,Málaga,,,['6010b049-f6ef-4e7d-b599-8846d03d6af2'],,"[32.2, 32.5]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,6580.0,José Luis García del Pozo,12.24949,-0.83737445,1.0,Ground Pass,"[40.4, 23.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931.649
6010b049-f6ef-4e7d-b599-8846d03d6af2,2802,2,00:32:13.050,77,13,163,,42,Ball Receipt*,223,Málaga,7,From Goal Kick,223,Málaga,,,['6b43e866-f127-4955-b4f1-59bec6d47a64'],,"[40.4, 23.4]",6580.0,José Luis García del Pozo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.05
0892e91c-9702-4fd7-a5a6-f899ef01ba98,2803,2,00:32:13.050,77,13,163,4.86659,43,Carry,223,Málaga,7,From Goal Kick,223,Málaga,,,"['6010b049-f6ef-4e7d-b599-8846d03d6af2', 'a5409c53-f04a-48cc-b0ee-7227cfb5d334']",,"[40.4, 23.4]",6580.0,José Luis García del Pozo,9.0,Right Defensive Midfield,,,,,,,,,,,,,"[60.7, 37.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.05
a5409c53-f04a-48cc-b0ee-7227cfb5d334,2804,2,00:32:17.916,77,17,163,1.127803,30,Pass,223,Málaga,7,From Goal Kick,223,Málaga,,,['514189df-c18c-4cb3-ac3d-0cfc7f488b88'],,"[60.7, 37.3]",6580.0,José Luis García del Pozo,9.0,Right Defensive Midfield,25859.0,Sérgio Paulo Barbosa Valente,12.900388,-1.0064452,1.0,Ground Pass,"[67.6, 26.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.916
514189df-c18c-4cb3-ac3d-0cfc7f488b88,2805,2,00:32:19.044,77,19,163,,42,Ball Receipt*,223,Málaga,7,From Goal Kick,223,Málaga,,,['a5409c53-f04a-48cc-b0ee-7227cfb5d334'],,"[67.6, 26.4]",25859.0,Sérgio Paulo Barbosa Valente,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939.044
