id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,carry_end_location,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,counterpress,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,duel_outcome_id,duel_outcome_name,out,interception_outcome_id,interception_outcome_name,clearance_aerial_won,pass_cut_back,clearance_right_foot,block_offensive,dribble_nutmeg,dribble_overrun,foul_committed_offensive,ball_recovery_recovery_failure,pass_miscommunication,pass_through_ball,pass_technique_id,pass_technique_name,pass_outswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,foul_won_advantage,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,clearance_left_foot,pass_inswinging,shot_first_time,50_50_outcome_id,50_50_outcome_name,goalkeeper_punched_out,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_straight,timestamp_seconds
63929bc4-d80d-4d94-bde6-0f8feae34a8b,1624,2,00:03:43.216,48,43,95,1.345758,30,Pass,214,Espanyol,3,From Free Kick,214,Espanyol,,,['200c932b-7175-45d8-9e60-025272fb3f08'],,"[50.6, 52.6]",5719.0,Marco Asensio Willemsen,13.0,Right Center Midfield,5598.0,Óscar Esau Duarte Gaitán,15.616017,-1.4488242,1.0,Ground Pass,"[52.5, 37.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.216
200c932b-7175-45d8-9e60-025272fb3f08,1625,2,00:03:44.562,48,44,95,,42,Ball Receipt*,214,Espanyol,3,From Free Kick,214,Espanyol,,,['63929bc4-d80d-4d94-bde6-0f8feae34a8b'],,"[52.5, 37.1]",5598.0,Óscar Esau Duarte Gaitán,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.562
72b1044d-8c68-442b-9ffa-a0c254f5d1c3,1626,2,00:03:44.562,48,44,95,2.675403,43,Carry,214,Espanyol,3,From Free Kick,214,Espanyol,,,"['02d46492-ad13-45d7-afb6-369bfdadf50f', '200c932b-7175-45d8-9e60-025272fb3f08']",,"[52.5, 37.1]",5598.0,Óscar Esau Duarte Gaitán,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,"[55.0, 36.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.562
02d46492-ad13-45d7-afb6-369bfdadf50f,1627,2,00:03:47.237,48,47,95,1.580791,30,Pass,214,Espanyol,3,From Free Kick,214,Espanyol,,,['afdb84f6-23d0-443e-8750-75d519b67f9c'],,"[55.0, 36.3]",5598.0,Óscar Esau Duarte Gaitán,10.0,Center Defensive Midfield,6612.0,Rubén Duarte Sánchez,35.13531,-1.2373451,1.0,Ground Pass,"[66.5, 3.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.237
afdb84f6-23d0-443e-8750-75d519b67f9c,1628,2,00:03:48.818,48,48,95,,42,Ball Receipt*,214,Espanyol,3,From Free Kick,214,Espanyol,,,['02d46492-ad13-45d7-afb6-369bfdadf50f'],,"[66.5, 3.1]",6612.0,Rubén Duarte Sánchez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.81799999999998
f0329efc-c12c-43b8-91ee-6d5b2fe3ed9f,1629,2,00:03:48.818,48,48,95,1.232274,43,Carry,214,Espanyol,3,From Free Kick,214,Espanyol,,,"['afdb84f6-23d0-443e-8750-75d519b67f9c', 'f1433973-fc76-4030-83d0-15418c9a3119']",,"[66.5, 3.1]",6612.0,Rubén Duarte Sánchez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,"[71.4, 3.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.81799999999998
f1433973-fc76-4030-83d0-15418c9a3119,1630,2,00:03:50.050,48,50,95,1.112129,30,Pass,214,Espanyol,3,From Free Kick,214,Espanyol,,,['a639fcbd-7037-4a4a-8b96-50490c69ae54'],,"[71.4, 3.1]",6612.0,Rubén Duarte Sánchez,6.0,Left Back,6624.0,Jorge Franco Alviz,12.839003,-0.07796663,1.0,Ground Pass,"[84.2, 2.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.05
a639fcbd-7037-4a4a-8b96-50490c69ae54,1631,2,00:03:51.162,48,51,95,,42,Ball Receipt*,214,Espanyol,3,From Free Kick,214,Espanyol,,,['f1433973-fc76-4030-83d0-15418c9a3119'],,"[84.2, 2.1]",6624.0,Jorge Franco Alviz,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.162
8e8bfce6-253c-4aa7-a4d2-b2da75e94b01,1632,2,00:03:51.162,48,51,95,2.157343,43,Carry,214,Espanyol,3,From Free Kick,214,Espanyol,,,"['446298da-1582-4986-bf2a-fae20bc35c14', 'a639fcbd-7037-4a4a-8b96-50490c69ae54']",,"[84.2, 2.1]",6624.0,Jorge Franco Alviz,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,"[84.0, 3.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.162
446298da-1582-4986-bf2a-fae20bc35c14,1633,2,00:03:53.320,48,53,95,1.116198,30,Pass,214,Espanyol,3,From Free Kick,214,Espanyol,,,['b4efce3c-12f4-44c1-934e-5d9f306a0bae'],,"[84.0, 3.7]",6624.0,Jorge Franco Alviz,16.0,Left Midfield,6838.0,Hernán Arsenio Pérez González,16.56804,1.0179551,1.0,Ground Pass,"[92.7, 17.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.32
