id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,out,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,foul_won_defensive,pass_aerial_won,foul_committed_advantage,foul_won_advantage,ball_recovery_offensive,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,ball_recovery_recovery_failure,clearance_right_foot,pass_technique_id,pass_technique_name,pass_through_ball,foul_committed_card_id,foul_committed_card_name,clearance_other,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_aerial_won,clearance_head,pass_inswinging,miscontrol_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,dribble_overrun,foul_committed_type_id,foul_committed_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,foul_committed_penalty,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,shot_one_on_one,pass_no_touch,pass_goal_assist,block_offensive,timestamp_seconds
7e428e29-6c6e-4edf-b8a4-2e695dd1743c,2306,2,00:25:31.587,70,31,156,0.0,23,Goal Keeper,222,Villarreal,7,From Goal Kick,215,Athletic Club,,,['13cfe2c2-38a2-43ef-bfc9-7bae27f08e3c'],,"[2.9, 42.5]",6576.0,Gorka Iraizoz Moreno,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2.9, 42.5]",44.0,Set,32.0,Shot Faced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531.587
0f3907f2-e01b-428b-82d4-34d03d7c5966,2307,2,00:25:45.420,70,45,157,3.545661,30,Pass,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,"['4c4a1270-96fe-458d-8b87-c46a026c1959', '8436ad7a-076a-45ab-837a-385852480423']",,"[7.0, 36.1]",6576.0,Gorka Iraizoz Moreno,1.0,Goalkeeper,6394.0,Aritz Aduriz Zubeldia,59.70536,0.013399533,3.0,High Pass,"[66.7, 36.9]",63.0,Goal Kick,40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545.42
4c4a1270-96fe-458d-8b87-c46a026c1959,2308,2,00:25:48.966,70,48,157,,42,Ball Receipt*,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,['0f3907f2-e01b-428b-82d4-34d03d7c5966'],,"[63.5, 37.1]",6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548.966
8436ad7a-076a-45ab-837a-385852480423,2309,2,00:25:48.966,70,48,157,2.85193,30,Pass,215,Athletic Club,7,From Goal Kick,222,Villarreal,,,"['03b34c86-a6c8-4f30-9a7a-27c6fca5206d', '0f3907f2-e01b-428b-82d4-34d03d7c5966']",,"[53.4, 43.2]",22819.0,Bruno Soriano Llido,11.0,Left Defensive Midfield,,,11.162885,-1.2518786,3.0,High Pass,"[56.9, 32.6]",66.0,Recovery,37.0,Head,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548.966
cf81c81d-9a67-4a41-9f87-6a9d7e9c7b07,2310,2,00:25:51.818,70,51,157,0.0,4,Duel,215,Athletic Club,7,From Goal Kick,222,Villarreal,,,['03b34c86-a6c8-4f30-9a7a-27c6fca5206d'],,"[56.9, 32.6]",18867.0,Matías Nahuel Leiva Esquivel,16.0,Left Midfield,,,,,,,,,,,,,,,True,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1551.818
03b34c86-a6c8-4f30-9a7a-27c6fca5206d,2311,2,00:25:51.818,70,51,157,1.10387,30,Pass,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,"['5ec3e10d-4a8b-4f36-ba21-45bdfbc217e1', '8436ad7a-076a-45ab-837a-385852480423', 'cf81c81d-9a67-4a41-9f87-6a9d7e9c7b07']",,"[63.2, 47.5]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,6666.0,Sabin Merino Zuloaga,9.638465,1.0374942,3.0,High Pass,"[68.1, 55.8]",66.0,Recovery,,,,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1551.818
5ec3e10d-4a8b-4f36-ba21-45bdfbc217e1,2312,2,00:25:52.922,70,52,157,,42,Ball Receipt*,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,['03b34c86-a6c8-4f30-9a7a-27c6fca5206d'],,"[68.1, 55.8]",6666.0,Sabin Merino Zuloaga,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552.922
10bc93cb-aff3-422d-80fc-d6b0ce471720,2313,2,00:25:52.922,70,52,157,1.653247,43,Carry,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,"['5ec3e10d-4a8b-4f36-ba21-45bdfbc217e1', '6a91ccfc-754c-4331-ac62-7cc55cf4e0fa']",,"[68.1, 55.8]",6666.0,Sabin Merino Zuloaga,17.0,Right Wing,,,,,,,,,,,,"[66.2, 54.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552.922
6a91ccfc-754c-4331-ac62-7cc55cf4e0fa,2314,2,00:25:54.575,70,54,157,1.031978,30,Pass,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,['fd7d68fb-8b54-441b-94a3-fe38c6ec7112'],,"[66.2, 54.8]",6666.0,Sabin Merino Zuloaga,17.0,Right Wing,6649.0,Óscar de Marcos Arana,11.610771,1.5277195,1.0,Ground Pass,"[66.7, 66.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554.575
fd7d68fb-8b54-441b-94a3-fe38c6ec7112,2315,2,00:25:55.607,70,55,157,,42,Ball Receipt*,215,Athletic Club,7,From Goal Kick,215,Athletic Club,,,['6a91ccfc-754c-4331-ac62-7cc55cf4e0fa'],,"[66.7, 66.4]",6649.0,Óscar de Marcos Arana,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555.607
