id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,pass_through_ball,pass_technique_id,pass_technique_name,interception_outcome_id,interception_outcome_name,under_pressure,pass_cross,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_deflected,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,miscontrol_aerial_won,foul_won_defensive,off_camera,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,clearance_head,pass_aerial_won,clearance_left_foot,goalkeeper_end_location,pass_outswinging,clearance_aerial_won,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_goal_assist,pass_cut_back,pass_straight,shot_aerial_won,injury_stoppage_in_chain,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_card_id,foul_committed_card_name,block_offensive,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,shot_one_on_one,timestamp_seconds
86fbe183-5b9e-44de-8dcc-54f71e2d1be6,2663,2,00:36:02.448,81,2,184,0.0,19,Substitution,216,Getafe,1,Regular Play,322,Eibar,,,,,6700.0,Sergio Enrich Ametller,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,197493.0,Mikel Arruabarrena Aranbide,,,2162.448
c144ee5a-f805-4b62-ba10-9bf0e79c956b,2664,2,00:36:14.088,81,14,185,2.245065,30,Pass,322,Eibar,7,From Goal Kick,322,Eibar,,,['bdb4ead7-1f87-47a8-887c-ad06127ac482'],"[6.0, 44.0]",27462.0,Xabier Iruretagoiena Aranzamendi,1.0,Goalkeeper,23799.0,Eddy Silvestre Pascual İsrafilov,64.892914,-0.28909516,3.0,High Pass,"[68.2, 25.5]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174.088
bdb4ead7-1f87-47a8-887c-ad06127ac482,2665,2,00:36:16.333,81,16,185,,42,Ball Receipt*,322,Eibar,7,From Goal Kick,322,Eibar,,,['c144ee5a-f805-4b62-ba10-9bf0e79c956b'],"[68.2, 25.5]",23799.0,Eddy Silvestre Pascual İsrafilov,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176.333
83861a6c-b1d2-4167-be8b-4cb606d12452,2666,2,00:36:16.333,81,16,185,0.0,4,Duel,322,Eibar,7,From Goal Kick,216,Getafe,,,['e7118b3a-1176-4e5f-8e30-284f4176ecb3'],"[51.9, 54.6]",27403.0,Santiago Vergini,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176.333
e7118b3a-1176-4e5f-8e30-284f4176ecb3,2667,2,00:36:16.333,81,16,185,2.083885,30,Pass,322,Eibar,7,From Goal Kick,322,Eibar,,,"['83861a6c-b1d2-4167-be8b-4cb606d12452', 'a045bdf6-647d-472c-ad0a-1b5cb8a42692']","[68.2, 25.5]",23799.0,Eddy Silvestre Pascual İsrafilov,9.0,Right Defensive Midfield,6566.0,Borja González Tomás,17.170322,0.70294094,3.0,High Pass,"[81.3, 36.6]",,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,2176.333
a045bdf6-647d-472c-ad0a-1b5cb8a42692,2668,2,00:36:18.417,81,18,185,,42,Ball Receipt*,322,Eibar,7,From Goal Kick,322,Eibar,,,['e7118b3a-1176-4e5f-8e30-284f4176ecb3'],"[81.3, 36.6]",6566.0,Borja González Tomás,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178.417
74baec3d-29e9-4851-b2ee-f8ab1ed882fa,2669,2,00:36:18.417,81,18,185,0.603647,30,Pass,322,Eibar,7,From Goal Kick,322,Eibar,,,['61f03564-fcd6-4a70-a725-93ed8f60772a'],"[81.1, 34.5]",6566.0,Borja González Tomás,22.0,Right Center Forward,24070.0,Saúl Berjón Pérez,5.5145264,-1.6433958,2.0,Low Pass,"[80.7, 29.0]",37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178.417
61f03564-fcd6-4a70-a725-93ed8f60772a,2670,2,00:36:19.021,81,19,185,,42,Ball Receipt*,322,Eibar,7,From Goal Kick,322,Eibar,,,['74baec3d-29e9-4851-b2ee-f8ab1ed882fa'],"[80.7, 29.0]",24070.0,Saúl Berjón Pérez,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2179.021
08922ea1-3ef1-4c69-970a-7b3c3a70f67f,2671,2,00:36:19.021,81,19,185,0.666176,43,Carry,322,Eibar,7,From Goal Kick,322,Eibar,,,"['61f03564-fcd6-4a70-a725-93ed8f60772a', 'd4914ded-b9e9-420d-b09c-fd794d6a3d89']","[80.7, 29.0]",24070.0,Saúl Berjón Pérez,16.0,Left Midfield,,,,,,,,,,,,"[80.7, 29.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2179.021
d4914ded-b9e9-420d-b09c-fd794d6a3d89,2672,2,00:36:19.687,81,19,185,0.457992,30,Pass,322,Eibar,7,From Goal Kick,322,Eibar,,,['967a9d7b-0f01-4391-9fb3-f7081355d1e3'],"[80.7, 29.0]",24070.0,Saúl Berjón Pérez,16.0,Left Midfield,6566.0,Borja González Tomás,9.090654,0.87887496,1.0,Ground Pass,"[86.5, 36.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2179.687
