id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,dribble_outcome_id,dribble_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,interception_outcome_id,interception_outcome_name,pass_switch,miscontrol_aerial_won,out,pass_inswinging,pass_technique_id,pass_technique_name,clearance_right_foot,pass_cross,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_goal_assist,shot_first_time,foul_won_defensive,clearance_head,clearance_aerial_won,pass_aerial_won,pass_no_touch,foul_committed_type_id,foul_committed_type_name,goalkeeper_end_location,pass_through_ball,shot_one_on_one,dribble_nutmeg,dribble_overrun,shot_aerial_won,ball_recovery_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,pass_straight,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,shot_open_goal,pass_outswinging,pass_deflected,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
c34c6c5d-816c-4ac2-b4be-d059c883a090,304,1,00:06:14.597,6,14,11,0.0,39,Dribbled Past,218,Real Betis,1,Regular Play,220,Real Madrid,,,"['3bbaeae6-968e-40f4-a2d2-ea3caaeb0b1d', 'bce40b92-1bd9-4094-9661-214e36263b8d']","[15.4, 59.1]",3063.0,Danilo Luiz da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.597
3bbaeae6-968e-40f4-a2d2-ea3caaeb0b1d,305,1,00:06:14.597,6,14,11,0.0,14,Dribble,218,Real Betis,1,Regular Play,218,Real Betis,,,['c34c6c5d-816c-4ac2-b4be-d059c883a090'],"[104.7, 21.0]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.597
bce40b92-1bd9-4094-9661-214e36263b8d,306,1,00:06:14.597,6,14,11,0.890797,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['3bbaeae6-968e-40f4-a2d2-ea3caaeb0b1d', 'c34c6c5d-816c-4ac2-b4be-d059c883a090', 'f0c3e64c-adcc-4213-bba3-a9ef706b3a05']","[104.7, 21.0]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,"[104.9, 29.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.597
f0c3e64c-adcc-4213-bba3-a9ef706b3a05,307,1,00:06:15.488,6,15,11,0.436849,16,Shot,218,Real Betis,1,Regular Play,218,Real Betis,,,['57aa6c35-24b8-46de-8ba3-2d026ac36f10'],"[104.9, 29.7]",6832.0,Rubén Castro Martín,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18227157,"[115.0, 35.8, 0.4]",79911670-af14-4f39-9866-0e3ee24fb72a,87.0,Open Play,40.0,Right Foot,93.0,Normal,100.0,Saved,"[{'location': [102.2, 53.1], 'player': {'id': 186264, 'name': 'Foued Kadir'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.9, 33.8], 'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [115.0, 35.8], 'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 30.0], 'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 27.4], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.1, 40.5], 'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.7, 29.0], 'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.4, 23.0], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.7, 30.4], 'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.488
57aa6c35-24b8-46de-8ba3-2d026ac36f10,308,1,00:06:15.924,6,15,11,0.0,23,Goal Keeper,218,Real Betis,1,Regular Play,220,Real Madrid,,,['f0c3e64c-adcc-4213-bba3-a9ef706b3a05'],"[5.1, 44.3]",5597.0,Keylor Navas Gamboa,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,Standing,52.0,In Play Danger,44.0,Set,40.0,Right Foot,33.0,Shot Saved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.924
ffecdb69-ed05-4dd4-ad5a-74b52b35a231,309,1,00:06:20.915,6,20,11,0.722912,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['47d3891a-ca76-4f89-8c37-6052c4e13a10'],"[103.5, 48.0]",6655.0,Fabián Ruiz Peña,19.0,Center Attacking Midfield,26723.0,Álvaro Cejudo Carmona,5.8463664,2.917358,2.0,Low Pass,"[97.8, 49.3]",70.0,Other,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc465ddd-1e2a-41c0-b9e9-5ca4b05a4ffc,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.915
47d3891a-ca76-4f89-8c37-6052c4e13a10,310,1,00:06:21.638,6,21,11,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['ffecdb69-ed05-4dd4-ad5a-74b52b35a231'],"[97.8, 49.3]",26723.0,Álvaro Cejudo Carmona,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.638
dc465ddd-1e2a-41c0-b9e9-5ca4b05a4ffc,311,1,00:06:21.646,6,21,11,1.11037,16,Shot,218,Real Betis,1,Regular Play,218,Real Betis,,,['b3fe30a3-d317-4a40-936c-7af64e9e20e8'],"[101.4, 48.0]",26723.0,Álvaro Cejudo Carmona,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06555308,"[120.0, 36.9, 1.7]",ffecdb69-ed05-4dd4-ad5a-74b52b35a231,87.0,Open Play,40.0,Right Foot,95.0,Volley,97.0,Goal,"[{'location': [103.8, 56.5], 'player': {'id': 186264, 'name': 'Foued Kadir'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.9, 54.8], 'player': {'id': 6865, 'name': 'Francisco José Molinero Calderón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [93.4, 51.4], 'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [107.9, 37.8], 'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.0, 48.8], 'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.2, 53.6], 'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.0, 36.2], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.6, 49.8], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.7, 43.7], 'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [95.5, 39.1], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [116.0, 42.5], 'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.3, 44.7], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.9, 50.2], 'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.8, 35.9], 'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.9, 42.8], 'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.646
b3fe30a3-d317-4a40-936c-7af64e9e20e8,312,1,00:06:22.756,6,22,11,0.0,23,Goal Keeper,218,Real Betis,1,Regular Play,220,Real Madrid,,,['dc465ddd-1e2a-41c0-b9e9-5ca4b05a4ffc'],"[4.1, 37.6]",5597.0,Keylor Navas Gamboa,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,Diving,55.0,No Touch,44.0,Set,,,26.0,Goal Conceded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.756
d8a81414-d94e-4690-b6a3-c80930cbd903,313,1,00:07:27.449,7,27,12,0.224201,30,Pass,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,['c26a631b-d6ae-4e48-81d7-5fdc4a2ff7f4'],"[61.0, 40.1]",5207.0,Cristiano Ronaldo dos Santos Aveiro,21.0,Left Wing,19677.0,Karim Benzema,3.5341194,2.0091329,1.0,Ground Pass,"[59.5, 43.3]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.449
