id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,miscontrol_aerial_won,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,pass_aerial_won,pass_switch,off_camera,foul_won_defensive,out,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_advantage,foul_won_advantage,pass_inswinging,pass_technique_id,pass_technique_name,pass_cut_back,clearance_left_foot,clearance_right_foot,dribble_nutmeg,clearance_aerial_won,dribble_overrun,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,ball_recovery_offensive,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,pass_through_ball,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_deflected,shot_saved_to_post,goalkeeper_shot_saved_to_post,pass_outswinging,timestamp_seconds
de41d1f2-ac8b-48ae-9385-d9e28d463745,2352,2,00:17:38.688,62,38,139,,42,Ball Receipt*,322,Eibar,4,From Throw In,322,Eibar,,,['ab5993f3-f659-45de-b8fb-5723801c33a6'],"[53.3, 72.0]",6700.0,Sergio Enrich Ametller,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058.688
80aac0a2-5326-4ebc-921e-25e5ac5fd36a,2353,2,00:17:38.808,62,38,139,2.098519,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,['bacba3a6-885e-4bd9-9a02-4a9d9240df35'],"[53.5, 72.0]",6700.0,Sergio Enrich Ametller,22.0,Right Center Forward,,,13.892444,-2.6135182,3.0,High Pass,"[41.5, 65.0]",37.0,Head,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058.808
bacba3a6-885e-4bd9-9a02-4a9d9240df35,2354,2,00:17:40.907,62,40,139,1.087301,30,Pass,322,Eibar,4,From Throw In,1041,Sporting Gijón,,,"['80aac0a2-5326-4ebc-921e-25e5ac5fd36a', 'f9bd2893-b5ee-4227-8a78-d8b61c27adab']","[78.6, 15.1]",6926.0,Alen Halilović,19.0,Center Attacking Midfield,18925.0,Ignacio Cases Mora,6.5,-2.7468016,3.0,High Pass,"[72.6, 12.6]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.907
f9bd2893-b5ee-4227-8a78-d8b61c27adab,2355,2,00:17:41.994,62,41,139,,42,Ball Receipt*,322,Eibar,4,From Throw In,1041,Sporting Gijón,,,['bacba3a6-885e-4bd9-9a02-4a9d9240df35'],"[72.6, 12.6]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.994
f772a787-ee4c-4629-b8fb-88072959dcf2,2356,2,00:17:41.994,62,41,139,0.950833,30,Pass,322,Eibar,4,From Throw In,1041,Sporting Gijón,,,"['1a31f0f9-8744-476c-a218-bc8b2ec71ef0', 'bb3ef4cd-6efc-41f7-97c7-144b741c2da3']","[72.6, 12.6]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,6926.0,Alen Halilović,5.420332,-0.65457076,2.0,Low Pass,"[76.9, 9.3]",37.0,Head,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.994
1a31f0f9-8744-476c-a218-bc8b2ec71ef0,2357,2,00:17:42.945,62,42,139,,42,Ball Receipt*,322,Eibar,4,From Throw In,1041,Sporting Gijón,,,['f772a787-ee4c-4629-b8fb-88072959dcf2'],"[80.3, 8.5]",6926.0,Alen Halilović,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.945
bb3ef4cd-6efc-41f7-97c7-144b741c2da3,2358,2,00:17:42.945,62,42,139,1.627388,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,"['a19de4a5-91cf-4f8b-b476-e753537d6766', 'f772a787-ee4c-4629-b8fb-88072959dcf2']","[43.2, 70.8]",6712.0,Gonzalo Escalante,9.0,Right Defensive Midfield,6699.0,Ander Capa Rodríguez,9.899495,2.3561945,2.0,Low Pass,"[36.2, 77.8]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.945
a19de4a5-91cf-4f8b-b476-e753537d6766,2359,2,00:17:44.572,62,44,139,,42,Ball Receipt*,322,Eibar,4,From Throw In,322,Eibar,,,['bb3ef4cd-6efc-41f7-97c7-144b741c2da3'],"[36.2, 77.8]",6699.0,Ander Capa Rodríguez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064.5720000000001
23288955-7bab-4b12-834d-8cc88f992b65,2360,2,00:17:44.572,62,44,139,0.712799,43,Carry,322,Eibar,4,From Throw In,322,Eibar,,,"['56ee3e7e-c733-423e-ab4a-f35aba281c21', 'a19de4a5-91cf-4f8b-b476-e753537d6766']","[36.2, 77.8]",6699.0,Ander Capa Rodríguez,2.0,Right Back,,,,,,,,,,,,"[36.2, 77.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064.5720000000001
56ee3e7e-c733-423e-ab4a-f35aba281c21,2361,2,00:17:45.285,62,45,139,2.456209,30,Pass,322,Eibar,4,From Throw In,322,Eibar,,,['3dda830c-18c8-458e-b582-226f93271094'],"[36.2, 77.8]",6699.0,Ander Capa Rodríguez,2.0,Right Back,,,31.447893,-0.40530932,3.0,High Pass,"[65.1, 65.4]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.285
