id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,pass_aerial_won,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,foul_won_defensive,pass_switch,interception_outcome_id,interception_outcome_name,counterpress,out,pass_no_touch,pass_assisted_shot_id,pass_shot_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble_outcome_id,dribble_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_nutmeg,dribble_overrun,clearance_left_foot,clearance_aerial_won,clearance_right_foot,shot_aerial_won,pass_inswinging,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_miscommunication,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_deflection,pass_goal_assist,block_offensive,pass_outswinging,pass_cut_back,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
244bceae-4540-4313-a707-2dd88dcabf0a,2020,2,00:09:45.620,54,45,119,1.866537,30,Pass,218,Real Betis,9,From Kick Off,218,Real Betis,,,['76b9a7ec-dc5c-40d5-b109-d2eede02c5ff'],,"[45.7, 28.7]",27349.0,Heiko Westermann,5.0,Left Center Back,27347.0,Juan Manuel Vargas Risco,26.086395,-0.8559331,1.0,Ground Pass,"[62.8, 9.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.62
76b9a7ec-dc5c-40d5-b109-d2eede02c5ff,2021,2,00:09:47.486,54,47,119,,42,Ball Receipt*,218,Real Betis,9,From Kick Off,218,Real Betis,,,['244bceae-4540-4313-a707-2dd88dcabf0a'],,"[62.8, 9.0]",27347.0,Juan Manuel Vargas Risco,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.486
0435b670-95ee-4c3b-8d3a-6fe57529d9ba,2022,2,00:09:47.486,54,47,119,0.701863,43,Carry,218,Real Betis,9,From Kick Off,218,Real Betis,,,"['76b9a7ec-dc5c-40d5-b109-d2eede02c5ff', '87751a1f-9df6-4fff-a09e-3c38a6135f5d', 'c13ed1fe-686f-4d03-b18b-32a49e25c4ca']",,"[62.8, 9.0]",27347.0,Juan Manuel Vargas Risco,6.0,Left Back,,,,,,,,,,,,"[67.2, 13.2]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.486
c13ed1fe-686f-4d03-b18b-32a49e25c4ca,2023,2,00:09:47.570,54,47,119,0.617999,17,Pressure,218,Real Betis,9,From Kick Off,219,RC Deportivo La Coruña,,,"['0435b670-95ee-4c3b-8d3a-6fe57529d9ba', '87751a1f-9df6-4fff-a09e-3c38a6135f5d']",,"[54.9, 68.9]",6728.0,Federico Nicolás Cartabia,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.57
87751a1f-9df6-4fff-a09e-3c38a6135f5d,2024,2,00:09:48.188,54,48,119,0.0,3,Dispossessed,218,Real Betis,9,From Kick Off,218,Real Betis,,,"['658e448b-c06b-41bf-a2d8-53c3c8e25449', 'c13ed1fe-686f-4d03-b18b-32a49e25c4ca']",,"[67.2, 13.2]",27347.0,Juan Manuel Vargas Risco,6.0,Left Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.188
658e448b-c06b-41bf-a2d8-53c3c8e25449,2025,2,00:09:48.188,54,48,119,0.0,4,Duel,218,Real Betis,9,From Kick Off,219,RC Deportivo La Coruña,,,['87751a1f-9df6-4fff-a09e-3c38a6135f5d'],,"[52.9, 66.9]",6728.0,Federico Nicolás Cartabia,17.0,Right Wing,,,,,,,,,,,,,,,,,True,,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.188
52a817f1-2074-4abb-9ad0-6ab5d62c0bf1,2026,2,00:09:49.137,54,49,119,0.199999,17,Pressure,218,Real Betis,9,From Kick Off,218,Real Betis,,,['1d07cb59-0dfc-4463-8afd-cbb904dc6e5e'],,"[78.1, 16.0]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.137
1d07cb59-0dfc-4463-8afd-cbb904dc6e5e,2027,2,00:09:49.321,54,49,119,0.066811,30,Pass,218,Real Betis,9,From Kick Off,219,RC Deportivo La Coruña,,,"['52a817f1-2074-4abb-9ad0-6ab5d62c0bf1', 'd8e7777b-ddfe-40e4-b949-6ab523b66a77']",,"[41.6, 68.5]",23800.0,Laureano Sanabria Ruiz,2.0,Right Back,,,3.231099,-1.19029,1.0,Ground Pass,"[42.8, 65.5]",40.0,Right Foot,66.0,Recovery,,9.0,Incomplete,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.321
d8e7777b-ddfe-40e4-b949-6ab523b66a77,2028,2,00:09:49.388,54,49,119,0.0,6,Block,218,Real Betis,9,From Kick Off,218,Real Betis,,,['1d07cb59-0dfc-4463-8afd-cbb904dc6e5e'],,"[77.3, 14.6]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.388
f5f941e4-8934-4de1-a799-367fa4730022,2029,2,00:10:06.245,55,6,120,2.702374,30,Pass,219,RC Deportivo La Coruña,4,From Throw In,219,RC Deportivo La Coruña,,,['344e1cb6-6d0b-460a-8ead-2002cb395c8f'],True,"[53.7, 80.0]",23800.0,Laureano Sanabria Ruiz,2.0,Right Back,6869.0,Alejandro Arribas Garrido,7.4249578,-2.3466709,2.0,Low Pass,"[48.5, 74.7]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.245
344e1cb6-6d0b-460a-8ead-2002cb395c8f,2030,2,00:10:08.948,55,8,120,,42,Ball Receipt*,219,RC Deportivo La Coruña,4,From Throw In,219,RC Deportivo La Coruña,,,['f5f941e4-8934-4de1-a799-367fa4730022'],,"[48.5, 74.7]",6869.0,Alejandro Arribas Garrido,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.948
e034d53e-d3e0-445c-8466-ed68e16d577d,2031,2,00:10:08.948,55,8,120,5.919618,30,Pass,219,RC Deportivo La Coruña,4,From Throw In,219,RC Deportivo La Coruña,,,"['05e39472-9e50-4f6a-b673-3806700543cb', 'aa587ec8-6fcb-40b8-8d76-2d2050c50cf0']",True,"[46.9, 74.5]",6869.0,Alejandro Arribas Garrido,3.0,Right Center Back,26288.0,Jonathan Javier Rodríguez Portillo,66.687706,-0.5684543,3.0,High Pass,"[103.1, 38.6]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.948
