id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,out,counterpress,interception_outcome_id,interception_outcome_name,clearance_left_foot,pass_switch,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_aerial_won,pass_cross,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_outswinging,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,foul_won_defensive,clearance_right_foot,shot_one_on_one,pass_through_ball,foul_committed_card_id,foul_committed_card_name,shot_first_time,goalkeeper_end_location,pass_goal_assist,shot_deflected,block_deflection,dribble_nutmeg,dribble_overrun,pass_cut_back,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,pass_inswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_offensive,pass_no_touch,timestamp_seconds
f1817c64-8d9a-459c-8e03-5f639f56ee66,2416,2,00:24:25.646,69,25,184,1.402341,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['18384243-ae12-4a5c-b008-88a5b4024cde'],,"[55.7, 74.8]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,6690.0,Xabier Prieto Argarate,19.791412,-0.09614931,3.0,High Pass,"[75.4, 72.9]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465.646
18384243-ae12-4a5c-b008-88a5b4024cde,2417,2,00:24:27.048,69,27,184,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['f1817c64-8d9a-459c-8e03-5f639f56ee66'],,"[75.4, 72.9]",6690.0,Xabier Prieto Argarate,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.048
96540382-6319-4ac4-bb52-ad08544722b4,2418,2,00:24:27.048,69,27,184,3.450071,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['18384243-ae12-4a5c-b008-88a5b4024cde', '48793096-17f8-4f92-a040-901afd42f5a7']",,"[75.4, 72.9]",6690.0,Xabier Prieto Argarate,19.0,Center Attacking Midfield,,,,,,,,,,,,,"[89.7, 72.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.048
48793096-17f8-4f92-a040-901afd42f5a7,2419,2,00:24:30.498,69,30,184,1.694007,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['a0f77243-4e37-4d5b-b9b2-b31ec43adc03'],,"[89.7, 72.0]",6690.0,Xabier Prieto Argarate,19.0,Center Attacking Midfield,5560.0,Carlos Alberto Vela Garrido,11.890332,-1.8872278,1.0,Ground Pass,"[86.0, 60.7]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470.498
a0f77243-4e37-4d5b-b9b2-b31ec43adc03,2420,2,00:24:32.192,69,32,184,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['48793096-17f8-4f92-a040-901afd42f5a7'],,"[86.0, 60.7]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.192
148eceb3-8265-4b1d-8580-5745725ad34e,2421,2,00:24:32.192,69,32,184,0.386763,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['a0f77243-4e37-4d5b-b9b2-b31ec43adc03', 'ba83a1b8-28d6-4710-84c3-9905f52e12ae']",,"[86.0, 60.7]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,,"[86.0, 60.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.192
ba83a1b8-28d6-4710-84c3-9905f52e12ae,2422,2,00:24:32.579,69,32,184,1.375648,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['f50a9054-f655-4a6c-85dd-56389e68845c'],,"[86.0, 60.7]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,6899.0,Rubén Pardo Gutiérrez,19.26266,-1.8712037,1.0,Ground Pass,"[80.3, 42.3]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.579
f50a9054-f655-4a6c-85dd-56389e68845c,2423,2,00:24:33.954,69,33,184,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['ba83a1b8-28d6-4710-84c3-9905f52e12ae'],,"[80.3, 42.3]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473.954
a602256b-876e-4554-81d4-6652373ad138,2424,2,00:24:33.954,69,33,184,1.507161,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['f50a9054-f655-4a6c-85dd-56389e68845c', 'fee38dac-421c-4fc2-9cfc-da814848745c']",,"[80.3, 42.3]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,,,,,,,,,,,,,"[79.6, 39.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473.954
fee38dac-421c-4fc2-9cfc-da814848745c,2425,2,00:24:35.462,69,35,184,1.261438,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['2c20b9ff-1ff9-42de-a971-508e0ba2ef76'],,"[79.6, 39.9]",6899.0,Rubén Pardo Gutiérrez,11.0,Left Defensive Midfield,8522.0,Armindo Tué Na Bangna,34.662518,-1.0180074,1.0,Ground Pass,"[97.8, 10.4]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0d9ee728-9099-42e5-bca9-792910639327,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.462
2c20b9ff-1ff9-42de-a971-508e0ba2ef76,2426,2,00:24:36.723,69,36,184,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['fee38dac-421c-4fc2-9cfc-da814848745c'],,"[97.8, 10.4]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476.723
0949e500-240d-482e-a452-370ae9b51782,2427,2,00:24:36.723,69,36,184,3.239765,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['0d9ee728-9099-42e5-bca9-792910639327', '2c20b9ff-1ff9-42de-a971-508e0ba2ef76', 'daba289e-fa82-452a-9259-73986da2d144']",,"[97.8, 10.4]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,True,"[104.7, 25.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476.723
daba289e-fa82-452a-9259-73986da2d144,2428,2,00:24:39.503,69,39,184,0.463855,17,Pressure,210,Real Sociedad,1,Regular Play,1049,Granada,,,"['0949e500-240d-482e-a452-370ae9b51782', '0d9ee728-9099-42e5-bca9-792910639327']",,"[15.2, 56.6]",4546.0,Dimitri Foulquier,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.503
0d9ee728-9099-42e5-bca9-792910639327,2429,2,00:24:39.963,69,39,184,1.392796,16,Shot,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['a532c6cc-b639-4299-8d48-8923981379f6', 'daba289e-fa82-452a-9259-73986da2d144']",,"[104.7, 25.2]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051186178,"[120.0, 50.4, 2.7]",fee38dac-421c-4fc2-9cfc-da814848745c,93.0,Normal,98.0,Off T,,40.0,Right Foot,87.0,Open Play,"[{'location': [98.5, 16.1], 'player': {'id': 6918, 'name': 'Isaac Ajayi Success'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [94.5, 35.4], 'player': {'id': 6680, 'name': 'Rubén Rochina Naixes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [117.7, 37.5], 'player': {'id': 8697, 'name': 'Andrés Eduardo Fernández Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.9, 30.9], 'player': {'id': 6702, 'name': 'David Rodríguez Lombán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.1, 38.4], 'player': {'id': 6599, 'name': 'Rubén Salvador Pérez Del Mármol'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 34.6], 'player': {'id': 25707, 'name': 'Francisco Manuel Rico Castro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.2, 24.8], 'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.6, 52.1], 'player': {'id': 7158, 'name': 'Cristiano Biraghi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.3, 38.4], 'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.3, 48.0], 'player': {'id': 26776, 'name': 'Juan Isaac Cuenca López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.2, 31.9], 'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.4, 58.1], 'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.4, 39.6], 'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.963
a532c6cc-b639-4299-8d48-8923981379f6,2430,2,00:24:41.356,69,41,184,0.0,23,Goal Keeper,210,Real Sociedad,1,Regular Play,1049,Granada,,,['0d9ee728-9099-42e5-bca9-792910639327'],,"[2.4, 42.6]",8697.0,Andrés Eduardo Fernández Moreno,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,Set,,,32.0,Shot Faced,,,,,,,,"[2.4, 42.6]",,,,,,,,,,,,,,,,,1481.356
4b49cc9c-dcbf-43b9-b131-bcf75d10ccc9,2431,2,00:24:55.814,69,55,185,2.01492,30,Pass,1049,Granada,7,From Goal Kick,1049,Granada,,,['d9fecfe7-b4a9-4d65-bf62-dcf531aaeed7'],True,"[7.0, 44.1]",8697.0,Andrés Eduardo Fernández Moreno,1.0,Goalkeeper,6702.0,David Rodríguez Lombán,18.553976,0.68231654,1.0,Ground Pass,"[21.4, 55.8]",63.0,Goal Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495.814
d9fecfe7-b4a9-4d65-bf62-dcf531aaeed7,2432,2,00:24:57.829,69,57,185,,42,Ball Receipt*,1049,Granada,7,From Goal Kick,1049,Granada,,,['4b49cc9c-dcbf-43b9-b131-bcf75d10ccc9'],,"[21.4, 55.8]",6702.0,David Rodríguez Lombán,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.829
649beec4-bb16-4d39-98cd-997f7f23dfe8,2433,2,00:24:59.548,69,59,185,1.778924,30,Pass,1049,Granada,7,From Goal Kick,1049,Granada,,,['ce18466f-8858-45d4-b219-2892ddca77de'],,"[21.4, 55.8]",6702.0,David Rodríguez Lombán,3.0,Right Center Back,19454.0,Ricardo Miguel Moreira da Costa,27.211761,-1.6001996,1.0,Ground Pass,"[20.6, 28.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.548
ce18466f-8858-45d4-b219-2892ddca77de,2434,2,00:25:01.327,70,1,185,,42,Ball Receipt*,1049,Granada,7,From Goal Kick,1049,Granada,,,['649beec4-bb16-4d39-98cd-997f7f23dfe8'],,"[20.6, 28.6]",19454.0,Ricardo Miguel Moreira da Costa,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501.327
c855ef8b-483c-4b6f-998c-8de17911b9fd,2435,2,00:25:01.327,70,1,185,1.3682851,43,Carry,1049,Granada,7,From Goal Kick,1049,Granada,,,"['7d92493f-5ac1-43b0-8a3e-22059615bc53', 'ce18466f-8858-45d4-b219-2892ddca77de']",,"[20.6, 28.6]",19454.0,Ricardo Miguel Moreira da Costa,5.0,Left Center Back,,,,,,,,,,,,,"[15.2, 34.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501.327
7d92493f-5ac1-43b0-8a3e-22059615bc53,2436,2,00:25:02.695,70,2,185,2.3763,30,Pass,1049,Granada,7,From Goal Kick,1049,Granada,,,['cf22d8e4-7f84-47a8-bd71-8dee8f79901f'],,"[15.2, 34.8]",19454.0,Ricardo Miguel Moreira da Costa,5.0,Left Center Back,6918.0,Isaac Ajayi Success,51.425385,0.60148615,3.0,High Pass,"[57.6, 63.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502.695
cf22d8e4-7f84-47a8-bd71-8dee8f79901f,2437,2,00:25:05.072,70,5,185,,42,Ball Receipt*,1049,Granada,7,From Goal Kick,1049,Granada,,,['7d92493f-5ac1-43b0-8a3e-22059615bc53'],,"[57.6, 63.9]",6918.0,Isaac Ajayi Success,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505.072
13fc45a8-259c-4e65-9447-c8ff98e246aa,2438,2,00:25:05.072,70,5,185,1.244731,30,Pass,1049,Granada,7,From Goal Kick,1049,Granada,,,['fc80cdee-8824-441b-a75c-6d60ab701524'],,"[57.6, 63.9]",6918.0,Isaac Ajayi Success,17.0,Right Wing,4546.0,Dimitri Foulquier,10.701869,1.5894858,2.0,Low Pass,"[57.4, 74.6]",,,70.0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505.072
fc80cdee-8824-441b-a75c-6d60ab701524,2439,2,00:25:06.316,70,6,185,,42,Ball Receipt*,1049,Granada,7,From Goal Kick,1049,Granada,,,['13fc45a8-259c-4e65-9447-c8ff98e246aa'],,"[57.4, 74.6]",4546.0,Dimitri Foulquier,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506.316
