id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_inswinging,pass_technique_id,pass_technique_name,out,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_cross,interception_outcome_id,interception_outcome_name,clearance_left_foot,foul_won_defensive,off_camera,goalkeeper_end_location,pass_through_ball,pass_cut_back,clearance_right_foot,pass_goal_assist,shot_one_on_one,dribble_overrun,pass_switch,pass_miscommunication,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,shot_first_time,clearance_aerial_won,shot_open_goal,shot_aerial_won,pass_outswinging,injury_stoppage_in_chain,ball_recovery_offensive,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_recovery_failure,block_deflection,pass_straight,block_offensive,timestamp_seconds
341eaff2-c334-42d8-87a2-c556a77b6a4b,2981,2,00:30:43.954,75,43,146,2.824541,43,Carry,214,Espanyol,6,From Counter,214,Espanyol,,,"['0aee7833-1b10-4a35-97bc-dfb313e74aa4', '5d020f26-a1e4-4b96-a566-6cce1ba7ea1d']","[28.5, 26.1]",6612.0,Rubén Duarte Sánchez,5.0,Left Center Back,,,,,,,,,,,,"[38.7, 34.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843.954
5d020f26-a1e4-4b96-a566-6cce1ba7ea1d,2982,2,00:30:46.778,75,46,146,1.153152,30,Pass,214,Espanyol,6,From Counter,214,Espanyol,,,['f96f9b68-2cba-4734-ad51-d48eac783847'],"[38.7, 34.3]",6612.0,Rubén Duarte Sánchez,5.0,Left Center Back,7781.0,Felipe Salvador Caicedo Corozo,20.05692,0.293367,1.0,Ground Pass,"[57.9, 40.1]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846.778
f96f9b68-2cba-4734-ad51-d48eac783847,2983,2,00:30:47.931,75,47,146,,42,Ball Receipt*,214,Espanyol,6,From Counter,214,Espanyol,,,['5d020f26-a1e4-4b96-a566-6cce1ba7ea1d'],"[57.9, 40.1]",7781.0,Felipe Salvador Caicedo Corozo,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847.931
4c8461e3-e775-4fb5-88d0-9245b1ef5cb9,2984,2,00:30:47.931,75,47,146,0.08,43,Carry,214,Espanyol,6,From Counter,214,Espanyol,,,"['f1d9ad67-f127-499a-a759-13b18e946882', 'f96f9b68-2cba-4734-ad51-d48eac783847']","[57.9, 40.1]",7781.0,Felipe Salvador Caicedo Corozo,22.0,Right Center Forward,,,,,,,,,,,,"[57.3, 40.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847.931
f1d9ad67-f127-499a-a759-13b18e946882,2985,2,00:30:48.011,75,48,146,1.422535,30,Pass,214,Espanyol,6,From Counter,214,Espanyol,,,"['dc35c502-c796-434d-8833-03dc0d2b7429', 'ddfd7585-2406-453d-b9aa-aa259caacb08']","[57.3, 40.9]",7781.0,Felipe Salvador Caicedo Corozo,22.0,Right Center Forward,24072.0,Salvador Sevilla López,25.521952,-1.3495774,3.0,High Pass,"[62.9, 16.0]",38.0,Left Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.011
dc35c502-c796-434d-8833-03dc0d2b7429,2986,2,00:30:49.434,75,49,146,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['f1d9ad67-f127-499a-a759-13b18e946882'],"[58.7, 13.1]",24072.0,Salvador Sevilla López,16.0,Left Midfield,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849.434
ddfd7585-2406-453d-b9aa-aa259caacb08,2987,2,00:30:49.434,75,49,147,0.0,10,Interception,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['f1d9ad67-f127-499a-a759-13b18e946882'],"[57.2, 64.1]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849.434
946b0648-ecde-4998-ac7a-465564e25a1a,2988,2,00:30:49.434,75,49,147,3.332447,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['13bc8bc5-a304-494c-b4e9-b08064bcd9ad', '7dabd480-842e-406d-ba2e-a6ade4381b8b', 'ddfd7585-2406-453d-b9aa-aa259caacb08']","[57.2, 64.1]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,,,,,,,,,,,,"[79.8, 44.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849.434
7dabd480-842e-406d-ba2e-a6ade4381b8b,2989,2,00:30:51.688,75,51,147,0.918338,17,Pressure,220,Real Madrid,1,Regular Play,214,Espanyol,,,['946b0648-ecde-4998-ac7a-465564e25a1a'],"[45.2, 38.3]",18407.0,José Alberto Cañas Ruiz Herrera,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851.688
13bc8bc5-a304-494c-b4e9-b08064bcd9ad,2990,2,00:30:52.766,75,52,147,0.0,14,Dribble,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['3de4f5d9-760d-4ee9-8810-ff957568ccc7'],"[79.8, 44.0]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,,,,,,,,,,,,,True,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852.766
