id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,carry_end_location,under_pressure,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,ball_recovery_recovery_failure,interception_outcome_id,interception_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_aerial_won,pass_cut_back,foul_won_defensive,dribble_outcome_id,dribble_outcome_name,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,out,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_right_foot,shot_saved_to_post,goalkeeper_shot_saved_to_post,foul_committed_advantage,foul_won_advantage,pass_outswinging,dribble_overrun,clearance_left_foot,shot_one_on_one,shot_aerial_won,injury_stoppage_in_chain,pass_goal_assist,pass_through_ball,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,timestamp_seconds
f40b67bb-581f-47b6-ae50-bca908e0faed,95,1,00:01:59.524,1,59,6,0.918428,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['0901c9ef-0e02-4397-8741-6921bfa28f4d'],,"[27.4, 14.1]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,8523.0,Yevhen Konoplyanka,9.544108,-2.5274332,2.0,Low Pass,"[19.6, 8.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.524
0901c9ef-0e02-4397-8741-6921bfa28f4d,96,1,00:02:00.442,2,0,6,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['f40b67bb-581f-47b6-ae50-bca908e0faed'],,"[19.6, 8.6]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.442
0e2548a0-1669-453c-9860-68386000bf0c,97,1,00:02:00.442,2,0,6,3.514117,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['0901c9ef-0e02-4397-8741-6921bfa28f4d', '2f20e3fe-e846-46e1-a2eb-f04f6224450b', 'dea25673-a92e-4218-94a1-296d76952bf0']",,"[19.6, 8.6]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,,,,,"[45.8, 2.9]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.442
dea25673-a92e-4218-94a1-296d76952bf0,98,1,00:02:01.154,2,1,6,2.819792,17,Pressure,213,Sevilla,1,Regular Play,216,Getafe,,,"['0e2548a0-1669-453c-9860-68386000bf0c', '2f20e3fe-e846-46e1-a2eb-f04f6224450b']",,"[98.2, 72.3]",6907.0,Pedro León Sánchez Gil,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.154
af12ffd2-b6c9-414e-a860-a02d2b44971a,99,1,00:02:03.956,2,3,6,0.0,22,Foul Committed,213,Sevilla,1,Regular Play,216,Getafe,,,['2f20e3fe-e846-46e1-a2eb-f04f6224450b'],,"[74.3, 77.2]",6907.0,Pedro León Sánchez Gil,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.956
2f20e3fe-e846-46e1-a2eb-f04f6224450b,100,1,00:02:03.956,2,3,6,0.0,21,Foul Won,213,Sevilla,1,Regular Play,213,Sevilla,,,"['af12ffd2-b6c9-414e-a860-a02d2b44971a', 'dea25673-a92e-4218-94a1-296d76952bf0']",,"[45.8, 2.9]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.956
77b23c01-7707-4723-9dd6-7af153e3d30b,101,1,00:02:23.556,2,23,7,2.680575,30,Pass,213,Sevilla,3,From Free Kick,213,Sevilla,,,['bc505837-8116-42c4-8983-e61bda292aa9'],True,"[46.2, 2.3]",10476.0,Timothée Kolodziejczak,5.0,Left Center Back,5504.0,Éver Maximiliano David Banega,68.64547,1.4862033,1.0,Ground Pass,"[52.0, 70.7]",38.0,Left Foot,62.0,Free Kick,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.556
bc505837-8116-42c4-8983-e61bda292aa9,102,1,00:02:26.237,2,26,7,,42,Ball Receipt*,213,Sevilla,3,From Free Kick,213,Sevilla,,,['77b23c01-7707-4723-9dd6-7af153e3d30b'],,"[52.0, 70.7]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.237
542a0c13-9c4f-4d01-bba8-c29002d922db,103,1,00:02:34.365,2,34,7,2.102527,30,Pass,213,Sevilla,3,From Free Kick,213,Sevilla,,,['aaf8a829-162b-48bd-a715-38cedc7a7144'],,"[52.4, 61.4]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,10476.0,Timothée Kolodziejczak,41.100487,-1.7419449,2.0,Low Pass,"[45.4, 20.9]",40.0,Right Foot,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.365
aaf8a829-162b-48bd-a715-38cedc7a7144,104,1,00:02:36.468,2,36,7,,42,Ball Receipt*,213,Sevilla,3,From Free Kick,213,Sevilla,,,['542a0c13-9c4f-4d01-bba8-c29002d922db'],,"[45.4, 20.9]",10476.0,Timothée Kolodziejczak,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.46800000000002
eb23f3f2-09c4-4360-9f30-df9ede0ee6f0,105,1,00:02:36.468,2,36,7,2.020521,43,Carry,213,Sevilla,3,From Free Kick,213,Sevilla,,,"['5f3b003c-3219-4855-999d-f3d1d453b698', 'aaf8a829-162b-48bd-a715-38cedc7a7144']",,"[45.4, 20.9]",10476.0,Timothée Kolodziejczak,5.0,Left Center Back,,,,,,,,,,,,,,,,"[57.3, 15.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.46800000000002
5f3b003c-3219-4855-999d-f3d1d453b698,106,1,00:02:38.488,2,38,7,1.023202,30,Pass,213,Sevilla,3,From Free Kick,213,Sevilla,,,['61abee59-ae34-4a49-b5d4-87ff18bf8d2b'],,"[57.3, 15.6]",10476.0,Timothée Kolodziejczak,5.0,Left Center Back,8523.0,Yevhen Konoplyanka,18.85126,0.21924432,1.0,Ground Pass,"[75.7, 19.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.488
61abee59-ae34-4a49-b5d4-87ff18bf8d2b,107,1,00:02:39.512,2,39,7,,42,Ball Receipt*,213,Sevilla,3,From Free Kick,213,Sevilla,,,['5f3b003c-3219-4855-999d-f3d1d453b698'],,"[75.7, 19.7]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.512
f6a9bd46-1ae5-47b9-9a2d-da8217b6a896,108,1,00:02:39.512,2,39,7,0.994069,43,Carry,213,Sevilla,3,From Free Kick,213,Sevilla,,,"['4f00155b-16dc-4941-9837-7277dbcc88c7', '61abee59-ae34-4a49-b5d4-87ff18bf8d2b', 'c91e1e23-208b-4726-8592-3e68c22af6ed']",,"[75.7, 19.7]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,,,,,"[75.7, 17.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.512
c91e1e23-208b-4726-8592-3e68c22af6ed,109,1,00:02:39.910,2,39,7,0.571602,17,Pressure,213,Sevilla,3,From Free Kick,216,Getafe,,,['f6a9bd46-1ae5-47b9-9a2d-da8217b6a896'],,"[44.6, 59.6]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.91
48db6cc0-04ce-4949-90fd-7cfa5e58b3d8,110,1,00:02:40.237,2,40,7,0.408115,17,Pressure,213,Sevilla,3,From Free Kick,216,Getafe,,,['4f00155b-16dc-4941-9837-7277dbcc88c7'],,"[42.3, 63.4]",6907.0,Pedro León Sánchez Gil,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.237
