id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,foul_won_defensive,off_camera,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,dribble_overrun,ball_recovery_offensive,pass_cross,clearance_right_foot,ball_recovery_recovery_failure,out,pass_switch,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,pass_technique_id,pass_technique_name,pass_through_ball,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_outswinging,interception_outcome_id,interception_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_straight,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_left_foot,foul_committed_advantage,foul_won_advantage,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_open_goal,pass_inswinging,shot_saved_off_target,goalkeeper_shot_saved_off_target,miscontrol_aerial_won,pass_goal_assist,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_penalty,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,shot_one_on_one,timestamp_seconds
4c9f0b58-8620-47ce-b8d5-21995bb6e5b6,542,1,00:13:21.653,13,21,22,2.495186,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['2ace6d36-368e-4ee6-88a3-8ad8dd7ed32f'],"[97.7, 18.9]",6581.0,Jonathan Rodríguez Menéndez,21.0,Left Wing,6926.0,Alen Halilović,20.94803,-0.28551266,1.0,Ground Pass,"[117.8, 13.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801.653
2ace6d36-368e-4ee6-88a3-8ad8dd7ed32f,543,1,00:13:24.148,13,24,22,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['4c9f0b58-8620-47ce-b8d5-21995bb6e5b6'],"[117.8, 13.0]",6926.0,Alen Halilović,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.148
87b46c92-5fc9-4f67-9188-34c8bb5dd026,544,1,00:13:24.148,13,24,22,0.12,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['2ace6d36-368e-4ee6-88a3-8ad8dd7ed32f', '4be664dd-3236-4e98-b551-1452d51c341b']","[117.8, 13.0]",6926.0,Alen Halilović,19.0,Center Attacking Midfield,,,,,,,,,,,,"[117.8, 13.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.148
4be664dd-3236-4e98-b551-1452d51c341b,545,1,00:13:24.268,13,24,22,1.027038,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['6bdf079a-b183-43e0-89e9-9d657fdd8904', 'f31ee96d-de87-483e-adc8-951a27cf7872']","[117.8, 13.0]",6926.0,Alen Halilović,19.0,Center Attacking Midfield,6581.0,Jonathan Rodríguez Menéndez,22.051304,1.794876,1.0,Ground Pass,"[112.9, 34.5]",38.0,Left Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.268
6bdf079a-b183-43e0-89e9-9d657fdd8904,546,1,00:13:25.295,13,25,22,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['4be664dd-3236-4e98-b551-1452d51c341b'],"[112.9, 37.0]",6581.0,Jonathan Rodríguez Menéndez,21.0,Left Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.295
f31ee96d-de87-483e-adc8-951a27cf7872,547,1,00:13:25.295,13,25,22,0.623308,30,Pass,1041,Sporting Gijón,4,From Throw In,221,Levante UD,,,"['4be664dd-3236-4e98-b551-1452d51c341b', '80ddc2bf-8f66-49f5-b019-86316c01bbd7']","[7.2, 45.6]",27122.0,Simão Mate,10.0,Center Defensive Midfield,26012.0,David Navarro Pedrós,3.748333,1.4100336,1.0,Ground Pass,"[7.8, 49.3]",38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.295
80ddc2bf-8f66-49f5-b019-86316c01bbd7,548,1,00:13:25.918,13,25,22,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,221,Levante UD,,,['f31ee96d-de87-483e-adc8-951a27cf7872'],"[7.8, 49.3]",26012.0,David Navarro Pedrós,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.918
096052e3-8097-4bcf-a790-87975230f729,549,1,00:13:25.918,13,25,22,1.45974,43,Carry,1041,Sporting Gijón,4,From Throw In,221,Levante UD,,,"['7ea61135-aa2a-453c-a270-12ce487cadd1', '80ddc2bf-8f66-49f5-b019-86316c01bbd7']","[7.8, 49.3]",26012.0,David Navarro Pedrós,3.0,Right Center Back,,,,,,,,,,,,"[9.7, 53.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.918
7ea61135-aa2a-453c-a270-12ce487cadd1,550,1,00:13:27.378,13,27,22,5.079097,30,Pass,1041,Sporting Gijón,4,From Throw In,221,Levante UD,,,"['aba1ce3a-1d7b-4d16-992d-651b399105fa', 'f8b5af0b-e2f9-4674-8527-3375db25cb05']","[9.7, 53.0]",26012.0,David Navarro Pedrós,3.0,Right Center Back,6668.0,José Luis Morales Nogales,67.202156,0.12232473,3.0,High Pass,"[76.4, 61.2]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.378
aba1ce3a-1d7b-4d16-992d-651b399105fa,551,1,00:13:32.457,13,32,22,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,221,Levante UD,,,['7ea61135-aa2a-453c-a270-12ce487cadd1'],"[68.9, 62.8]",6668.0,José Luis Morales Nogales,12.0,Right Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.457
f8b5af0b-e2f9-4674-8527-3375db25cb05,552,1,00:13:32.457,13,32,22,2.455059,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['2baab3c7-19e9-4d2d-94bc-208134b01f92', '7ea61135-aa2a-453c-a270-12ce487cadd1']","[43.7, 18.9]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,6610.0,Iván Cuéllar Sacristán,32.649654,2.6642473,1.0,Ground Pass,"[14.7, 33.9]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.457
2baab3c7-19e9-4d2d-94bc-208134b01f92,553,1,00:13:34.912,13,34,22,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['f8b5af0b-e2f9-4674-8527-3375db25cb05'],"[14.7, 33.9]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.912
74317623-bb15-4d07-b302-4f03364c2c09,554,1,00:13:38.055,13,38,22,0.88438,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['460ab853-42cc-4635-bee6-b5106a8473f1'],"[20.0, 37.2]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,6573.0,Bernardo José Espinosa Zúñiga,10.373042,-0.9774462,1.0,Ground Pass,"[25.8, 28.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.055
460ab853-42cc-4635-bee6-b5106a8473f1,555,1,00:13:38.939,13,38,22,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['74317623-bb15-4d07-b302-4f03364c2c09'],"[25.8, 28.6]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.939
8860b3e6-f746-416c-921a-e8c22264a491,556,1,00:13:38.939,13,38,22,2.655729,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['05be22f6-f5f8-41e8-8d15-39394462b2d8'],"[30.9, 27.4]",6573.0,Bernardo José Espinosa Zúñiga,5.0,Left Center Back,18925.0,Ignacio Cases Mora,11.747766,0.20574261,1.0,Ground Pass,"[42.4, 29.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.939
05be22f6-f5f8-41e8-8d15-39394462b2d8,557,1,00:13:41.595,13,41,22,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['8860b3e6-f746-416c-921a-e8c22264a491'],"[42.4, 29.8]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.595
d586575e-c6bc-4191-a3d5-1d02b5dd4694,558,1,00:13:44.145,13,44,22,1.595006,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['27ea88f6-516d-4f8f-a57e-174b2d608803'],"[54.1, 36.2]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,18398.0,Omar Mascarell González,20.888514,1.705246,1.0,Ground Pass,"[51.3, 56.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.145
27ea88f6-516d-4f8f-a57e-174b2d608803,559,1,00:13:45.740,13,45,22,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['d586575e-c6bc-4191-a3d5-1d02b5dd4694'],"[51.3, 56.9]",18398.0,Omar Mascarell González,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.74
29833bf0-a55d-4d8a-ba39-379aa2275cc7,560,1,00:13:45.740,13,45,22,1.418054,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['27ea88f6-516d-4f8f-a57e-174b2d608803', '7313e8db-596a-4768-ba72-39935645bd34']","[51.3, 56.9]",18398.0,Omar Mascarell González,9.0,Right Defensive Midfield,,,,,,,,,,,,"[53.3, 56.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.74
7313e8db-596a-4768-ba72-39935645bd34,561,1,00:13:47.158,13,47,22,1.327282,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['9ae8e0d5-0e62-4e72-bc36-9addb28e5921'],"[53.3, 56.9]",18398.0,Omar Mascarell González,9.0,Right Defensive Midfield,26633.0,Alberto Lora Ramos,22.360008,0.9281897,1.0,Ground Pass,"[66.7, 74.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.158
