id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,off_camera,pass_switch,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_right_foot,out,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_technique_id,pass_technique_name,pass_outswinging,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_aerial_won,ball_recovery_recovery_failure,foul_won_defensive,pass_through_ball,foul_committed_card_id,foul_committed_card_name,dribble_overrun,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,pass_no_touch,goalkeeper_punched_out,bad_behaviour_card_id,bad_behaviour_card_name,pass_straight,shot_first_time,shot_aerial_won,block_save_block,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,dribble_no_touch,pass_cut_back,block_deflection,pass_goal_assist,shot_one_on_one,dribble_nutmeg,timestamp_seconds
d91b054c-9455-4930-884d-1a0493471aad,2943,2,00:40:42.237,85,42,164,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['a856a38d-86ac-4800-ac80-bd9ab17bd0ea'],"[74.7, 26.3]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442.237
781af1b6-55bf-42f4-b574-1f850b3fe9ee,2944,2,00:40:42.237,85,42,164,0.782603,43,Carry,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['6865e941-38a6-4e1f-a821-da24086299ec', 'd91b054c-9455-4930-884d-1a0493471aad']","[74.7, 26.3]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,"[74.7, 26.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442.237
6865e941-38a6-4e1f-a821-da24086299ec,2945,2,00:40:43.019,85,43,164,1.072627,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['7e371a6f-246f-4b7c-86ed-ebcd55f13818'],"[74.7, 26.3]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,6724.0,Manuel Agudo Durán,14.017489,-1.6207547,1.0,Ground Pass,"[74.0, 12.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2443.019
7e371a6f-246f-4b7c-86ed-ebcd55f13818,2946,2,00:40:44.092,85,44,164,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['6865e941-38a6-4e1f-a821-da24086299ec'],"[74.0, 12.3]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444.092
52c35bdf-6b06-4357-8ad2-eec23ee72e9e,2947,2,00:40:44.092,85,44,164,2.374347,43,Carry,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['7e371a6f-246f-4b7c-86ed-ebcd55f13818', '91fa0a9c-aa66-4673-865b-9501fff3d10d', 'e6e64d45-009d-444c-8914-5d25894d92e8']","[74.0, 12.3]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,"[85.4, 7.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444.092
91fa0a9c-aa66-4673-865b-9501fff3d10d,2948,2,00:40:44.169,85,44,164,1.281536,17,Pressure,209,Celta Vigo,1,Regular Play,216,Getafe,,,['52c35bdf-6b06-4357-8ad2-eec23ee72e9e'],"[39.3, 69.7]",11813.0,Emiliano Buendía,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444.169
e6e64d45-009d-444c-8914-5d25894d92e8,2949,2,00:40:46.466,85,46,164,0.0,14,Dribble,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['463c3b4f-3a78-409c-9a0a-6a5796d8db3b'],"[85.4, 7.7]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446.466
463c3b4f-3a78-409c-9a0a-6a5796d8db3b,2950,2,00:40:46.466,85,46,165,0.0,4,Duel,216,Getafe,1,Regular Play,216,Getafe,,,['e6e64d45-009d-444c-8914-5d25894d92e8'],"[34.7, 72.4]",11813.0,Emiliano Buendía,2.0,Right Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,11.0,Tackle,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446.466
8e4527fd-a0b6-4ca7-893a-34110458766a,2951,2,00:40:46.466,85,46,165,2.398812,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['1654005d-bc91-4136-94d4-be92bbc93ffd', '463c3b4f-3a78-409c-9a0a-6a5796d8db3b']","[34.7, 72.4]",11813.0,Emiliano Buendía,2.0,Right Back,,,,,,,,,,,,"[38.1, 68.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446.466
1654005d-bc91-4136-94d4-be92bbc93ffd,2952,2,00:40:48.865,85,48,165,1.261723,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['211ac05c-274e-41b6-a727-037edcee8ebc'],"[38.1, 68.3]",11813.0,Emiliano Buendía,2.0,Right Back,6745.0,Mehdi Lacen,25.691244,-1.3749275,1.0,Ground Pass,"[43.1, 43.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448.865
211ac05c-274e-41b6-a727-037edcee8ebc,2953,2,00:40:50.127,85,50,165,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['1654005d-bc91-4136-94d4-be92bbc93ffd'],"[43.1, 43.1]",6745.0,Mehdi Lacen,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450.127
5972c679-6290-413d-9f47-f2e992ed68dc,2954,2,00:40:50.127,85,50,165,1.305149,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['211ac05c-274e-41b6-a727-037edcee8ebc', 'd2febef3-10fb-4b99-a7ab-648fdae0f6e1']","[43.1, 43.1]",6745.0,Mehdi Lacen,10.0,Center Defensive Midfield,,,,,,,,,,,,"[42.8, 43.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450.127
d2febef3-10fb-4b99-a7ab-648fdae0f6e1,2955,2,00:40:51.432,85,51,165,1.220568,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['94597e06-2157-4c46-8229-cbf435424ac8'],"[42.8, 43.1]",6745.0,Mehdi Lacen,10.0,Center Defensive Midfield,16426.0,Wanderson Maciel Sousa Campos,25.785654,-0.6644445,1.0,Ground Pass,"[63.1, 27.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451.432
94597e06-2157-4c46-8229-cbf435424ac8,2956,2,00:40:52.652,85,52,165,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['d2febef3-10fb-4b99-a7ab-648fdae0f6e1'],"[63.1, 27.2]",16426.0,Wanderson Maciel Sousa Campos,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2452.652
d9d4d5d0-7bfb-42e9-88c9-078ac7d79cd9,2957,2,00:40:52.652,85,52,165,1.429687,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['1604d0e6-c826-4088-a72c-5339fb88268e', '94597e06-2157-4c46-8229-cbf435424ac8']","[63.1, 27.2]",16426.0,Wanderson Maciel Sousa Campos,15.0,Left Center Midfield,,,,,,,,,,,,"[55.9, 25.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2452.652
