id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,counterpress,under_pressure,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,out,interception_outcome_id,interception_outcome_name,pass_cross,pass_switch,pass_aerial_won,pass_technique_id,pass_technique_name,pass_outswinging,clearance_body_part_id,clearance_body_part_name,clearance_head,off_camera,clearance_aerial_won,block_offensive,clearance_right_foot,miscontrol_aerial_won,clearance_left_foot,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,pass_deflected,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble_nutmeg,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_advantage,foul_won_defensive,bad_behaviour_card_id,bad_behaviour_card_name,block_deflection,foul_won_advantage,pass_through_ball,pass_goal_assist,shot_open_goal,pass_inswinging,pass_straight,pass_no_touch,pass_cut_back,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,injury_stoppage_in_chain,shot_aerial_won,timestamp_seconds
26ac3445-f622-44e7-aef5-a365a12fdac7,1558,2,00:00:00.801,45,0,108,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['21f87159-f9ac-430a-b20c-b2ada85396d8'],"[59.8, 41.4]",6847.0,Adalberto Peñaranda Maestre,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.801
990c3ce5-9d66-40ad-91e2-ed4394cd49b8,1559,2,00:00:00.801,45,0,108,0.120629,43,Carry,1049,Granada,9,From Kick Off,1049,Granada,,,"['26ac3445-f622-44e7-aef5-a365a12fdac7', '62e880bc-0f1a-49b2-a507-6d765fddb7d1']","[59.8, 41.4]",6847.0,Adalberto Peñaranda Maestre,23.0,Center Forward,,,,,,,,,,,,"[59.8, 41.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.801
62e880bc-0f1a-49b2-a507-6d765fddb7d1,1560,2,00:00:00.922,45,0,108,0.930578,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,['98b67e6e-1ec2-445c-bfba-1cda86dcd95b'],"[59.8, 41.1]",6847.0,Adalberto Peñaranda Maestre,23.0,Center Forward,6599.0,Rubén Salvador Pérez Del Mármol,14.644112,-2.555484,1.0,Ground Pass,"[47.6, 33.0]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922
98b67e6e-1ec2-445c-bfba-1cda86dcd95b,1561,2,00:00:01.853,45,1,108,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['62e880bc-0f1a-49b2-a507-6d765fddb7d1'],"[47.6, 33.0]",6599.0,Rubén Salvador Pérez Del Mármol,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.853
7b3f26ba-2c6b-448f-ab88-641f3a5a2041,1562,2,00:00:01.853,45,1,108,0.913402,43,Carry,1049,Granada,9,From Kick Off,1049,Granada,,,"['8da1ae80-7733-41fd-825d-ea0bea2f872c', '98b67e6e-1ec2-445c-bfba-1cda86dcd95b']","[47.6, 33.0]",6599.0,Rubén Salvador Pérez Del Mármol,10.0,Center Defensive Midfield,,,,,,,,,,,,"[46.7, 32.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.853
8da1ae80-7733-41fd-825d-ea0bea2f872c,1563,2,00:00:02.766,45,2,108,1.687079,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,['c066e62a-f644-4cd9-9150-c6419ccfbcab'],"[46.7, 32.5]",6599.0,Rubén Salvador Pérez Del Mármol,10.0,Center Defensive Midfield,4498.0,Jean-Sylvain Claude Babin,23.910667,2.3857718,1.0,Ground Pass,"[29.3, 48.9]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.766
c066e62a-f644-4cd9-9150-c6419ccfbcab,1564,2,00:00:04.453,45,4,108,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['8da1ae80-7733-41fd-825d-ea0bea2f872c'],"[29.3, 48.9]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.453
6ff11b29-609f-48b2-9d02-b1049be3784b,1565,2,00:00:04.453,45,4,108,0.87105,43,Carry,1049,Granada,9,From Kick Off,1049,Granada,,,"['8c65bd17-2c06-4064-8d8e-c98d9415f201', 'c066e62a-f644-4cd9-9150-c6419ccfbcab']","[29.3, 48.9]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,,,,,,,,,,,,"[29.3, 49.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.453
8c65bd17-2c06-4064-8d8e-c98d9415f201,1566,2,00:00:05.324,45,5,108,1.345208,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,['1894e09b-3d39-46d9-92d7-fbd7fe5c66a2'],"[29.3, 49.9]",4498.0,Jean-Sylvain Claude Babin,3.0,Right Center Back,4546.0,Dimitri Foulquier,25.19246,1.1408837,1.0,Ground Pass,"[39.8, 72.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.324
b5f67426-d945-4df8-aa25-35baf39585df,1567,2,00:00:06.099,45,6,108,0.643034,17,Pressure,1049,Granada,9,From Kick Off,209,Celta Vigo,,,"['1894e09b-3d39-46d9-92d7-fbd7fe5c66a2', '29ae9205-1f37-4da6-a7aa-a11d151637a2']","[76.1, 9.9]",23785.0,Théo Bongonda Mbul''Ofeko Batombo,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.099
1894e09b-3d39-46d9-92d7-fbd7fe5c66a2,1568,2,00:00:06.669,45,6,108,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,"['8c65bd17-2c06-4064-8d8e-c98d9415f201', 'b5f67426-d945-4df8-aa25-35baf39585df']","[39.8, 72.8]",4546.0,Dimitri Foulquier,2.0,Right Back,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.669
29ae9205-1f37-4da6-a7aa-a11d151637a2,1569,2,00:00:06.669,45,6,108,0.102588,43,Carry,1049,Granada,9,From Kick Off,1049,Granada,,,"['064295db-8e0b-4eb4-ba79-a28e23ff3957', '1894e09b-3d39-46d9-92d7-fbd7fe5c66a2', 'b5f67426-d945-4df8-aa25-35baf39585df']","[39.8, 72.8]",4546.0,Dimitri Foulquier,2.0,Right Back,,,,,,,,,,,,"[40.1, 73.1]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.669
064295db-8e0b-4eb4-ba79-a28e23ff3957,1570,2,00:00:06.772,45,6,108,0.130486,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,"['c0ea78ff-abf7-4f00-8f17-8837c982ab6f', 'dc85433d-ee16-4ad2-b3b3-b1c35ae7f471']","[40.1, 73.1]",4546.0,Dimitri Foulquier,2.0,Right Back,6918.0,Isaac Ajayi Success,3.1953092,-0.35144478,1.0,Ground Pass,"[43.1, 72.0]",,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.772
dc85433d-ee16-4ad2-b3b3-b1c35ae7f471,1571,2,00:00:06.902,45,6,108,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['064295db-8e0b-4eb4-ba79-a28e23ff3957'],"[64.0, 70.5]",6918.0,Isaac Ajayi Success,21.0,Left Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.902
c0ea78ff-abf7-4f00-8f17-8837c982ab6f,1572,2,00:00:06.902,45,6,108,0.0,6,Block,1049,Granada,9,From Kick Off,209,Celta Vigo,,,['064295db-8e0b-4eb4-ba79-a28e23ff3957'],"[77.0, 8.1]",23785.0,Théo Bongonda Mbul''Ofeko Batombo,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.902
