id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,counterpress,duel_type_id,duel_type_name,miscontrol_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,pass_no_touch,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_right_foot,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,ball_recovery_recovery_failure,foul_won_defensive,pass_switch,pass_through_ball,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,dribble_outcome_id,dribble_outcome_name,50_50_outcome_id,50_50_outcome_name,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_save_block,clearance_left_foot,pass_goal_assist,dribble_overrun,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,pass_deflected,pass_outswinging,block_offensive,shot_one_on_one,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
86172d14-f22d-4697-81be-21bd4e28f114,1075,1,00:28:18.236,28,18,52,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['d6c6c295-fb11-456c-bee1-fa38515b3e06'],,"[61.2, 41.5]",19668.0,Augusto Matías Fernández,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698.236
c23b3514-7fab-4480-b0d3-942ae8a50fe9,1076,1,00:28:18.236,28,18,52,1.3364561,43,Carry,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['86172d14-f22d-4697-81be-21bd4e28f114', '9773621d-bdb6-43ed-b651-1140b057168c']",,"[61.2, 41.5]",19668.0,Augusto Matías Fernández,10.0,Center Defensive Midfield,,,,,,,,,,,,"[62.9, 38.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698.236
9773621d-bdb6-43ed-b651-1140b057168c,1077,1,00:28:19.573,28,19,52,2.872811,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['dce5c581-536d-4677-a628-f41761daa8cc'],,"[62.9, 38.1]",19668.0,Augusto Matías Fernández,10.0,Center Defensive Midfield,7105.0,Fabián Ariel Orellana Valenzuela,45.59057,1.0138246,3.0,High Pass,"[87.0, 76.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699.573
dce5c581-536d-4677-a628-f41761daa8cc,1078,1,00:28:22.445,28,22,52,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['9773621d-bdb6-43ed-b651-1140b057168c'],,"[87.0, 76.8]",7105.0,Fabián Ariel Orellana Valenzuela,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.445
e5b715ae-6187-44eb-95f0-e38400c4272e,1079,1,00:28:22.445,28,22,52,3.971648,43,Carry,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['dce5c581-536d-4677-a628-f41761daa8cc', 'ed6f5051-ff60-447c-b951-f8eeddf2a15f']",,"[87.0, 76.8]",7105.0,Fabián Ariel Orellana Valenzuela,17.0,Right Wing,,,,,,,,,,,,"[88.0, 56.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.445
ed6f5051-ff60-447c-b951-f8eeddf2a15f,1080,1,00:28:26.417,28,26,52,1.554627,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['752e7e27-3633-4f75-a6da-b85e3937b32a'],,"[88.0, 56.8]",7105.0,Fabián Ariel Orellana Valenzuela,17.0,Right Wing,6724.0,Manuel Agudo Durán,34.808044,-1.2126981,3.0,High Pass,"[100.2, 24.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706.417
752e7e27-3633-4f75-a6da-b85e3937b32a,1081,1,00:28:27.972,28,27,52,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['ed6f5051-ff60-447c-b951-f8eeddf2a15f'],,"[100.2, 24.2]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707.972
ae238844-36f3-483a-9496-7f4583c3ca4e,1082,1,00:28:27.972,28,27,52,0.898842,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['2a0c7f73-5a1e-4f53-a838-8c0d7d1cae8f', '7771c730-4104-42ef-aa60-6fe336c80df9']",,"[99.8, 21.6]",6724.0,Manuel Agudo Durán,21.0,Left Wing,5217.0,Iago Aspas Juncal,7.359348,0.82384074,2.0,Low Pass,"[104.8, 27.0]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707.972
7771c730-4104-42ef-aa60-6fe336c80df9,1083,1,00:28:28.870,28,28,52,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['ae238844-36f3-483a-9496-7f4583c3ca4e'],,"[104.8, 29.0]",5217.0,Iago Aspas Juncal,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.87
2a0c7f73-5a1e-4f53-a838-8c0d7d1cae8f,1084,1,00:28:28.870,28,28,52,0.0,9,Clearance,209,Celta Vigo,7,From Goal Kick,208,Las Palmas,,,['ae238844-36f3-483a-9496-7f4583c3ca4e'],,"[15.3, 53.1]",27522.0,Antolín Alcáraz Viveros,5.0,Left Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.87
