id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,foul_committed_advantage,foul_won_advantage,pass_switch,interception_outcome_id,interception_outcome_name,off_camera,clearance_head,clearance_body_part_id,clearance_body_part_name,out,foul_won_defensive,clearance_right_foot,pass_cross,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,pass_technique_id,pass_technique_name,dribble_nutmeg,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,clearance_aerial_won,pass_assisted_shot_id,pass_goal_assist,shot_open_goal,shot_key_pass_id,shot_first_time,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_shot_assist,shot_aerial_won,goalkeeper_end_location,miscontrol_aerial_won,pass_outswinging,dribble_overrun,clearance_left_foot,pass_cut_back,pass_through_ball,50_50_outcome_id,50_50_outcome_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,timestamp_seconds
3459e8f4-6431-4da9-98a7-0552fde6921f,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,214,Espanyol,1,Regular Play,214,Espanyol,433.0,"[{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6838, 'name': 'Hernán Arsenio Pérez González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
74c3950b-870d-4f46-978a-ca10c200f071,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,214,Espanyol,1,Regular Play,209,Celta Vigo,4231.0,"[{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 27341, 'name': 'Marcelo Alfonso Díaz Rojas'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
c3639628-0e32-4ac7-b239-659956ae0083,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,214,Espanyol,1,Regular Play,214,Espanyol,,,['20d02ade-e547-4248-976c-135e2108a6e1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
20d02ade-e547-4248-976c-135e2108a6e1,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,214,Espanyol,1,Regular Play,209,Celta Vigo,,,['c3639628-0e32-4ac7-b239-659956ae0083'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
052334e1-71c0-4e5c-a1ce-ae9f4a65ad8a,5,1,00:00:00.809,0,0,2,0.085352,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['46febf54-277c-4379-9e0c-32b23062479b'],"[60.0, 40.0]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,5719.0,Marco Asensio Willemsen,1.4,-1.5707964,1.0,Ground Pass,"[60.0, 38.6]",65.0,Kick Off,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.809
46febf54-277c-4379-9e0c-32b23062479b,6,1,00:00:00.894,0,0,2,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['052334e1-71c0-4e5c-a1ce-ae9f4a65ad8a'],"[60.0, 38.6]",5719.0,Marco Asensio Willemsen,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894
1edada7f-d90c-4267-8895-f8a328fe1244,7,1,00:00:00.894,0,0,2,0.814523,43,Carry,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['46febf54-277c-4379-9e0c-32b23062479b', 'cd2c8169-fcc7-4202-bea0-3d85feafb52b']","[60.0, 38.6]",5719.0,Marco Asensio Willemsen,21.0,Left Wing,,,,,,,,,,,,"[59.3, 38.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894
cd2c8169-fcc7-4202-bea0-3d85feafb52b,8,1,00:00:01.709,0,1,2,0.904537,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['824f2168-9b13-4e06-894c-6b37452dca91'],"[59.3, 38.9]",5719.0,Marco Asensio Willemsen,21.0,Left Wing,6867.0,Papa Kouly Diop,15.576906,2.868584,1.0,Ground Pass,"[44.3, 43.1]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.709
824f2168-9b13-4e06-894c-6b37452dca91,9,1,00:00:02.613,0,2,2,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['cd2c8169-fcc7-4202-bea0-3d85feafb52b'],"[44.3, 43.1]",6867.0,Papa Kouly Diop,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.613
53e7e2eb-7a98-458a-80b4-e3117f499e2d,10,1,00:00:02.613,0,2,2,5.278232,43,Carry,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['2a243200-6813-416f-b69d-4fbdb47e7bbf', '6988a1a5-b012-48d8-8bba-ba9503154404', '824f2168-9b13-4e06-894c-6b37452dca91']","[44.3, 43.1]",6867.0,Papa Kouly Diop,10.0,Center Defensive Midfield,,,,,,,,,,,,"[41.6, 40.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.613
2a243200-6813-416f-b69d-4fbdb47e7bbf,11,1,00:00:05.403,0,5,2,2.433536,17,Pressure,214,Espanyol,9,From Kick Off,209,Celta Vigo,,,['53e7e2eb-7a98-458a-80b4-e3117f499e2d'],"[75.8, 37.0]",6801.0,Pedro Pablo Hernández,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.403
6988a1a5-b012-48d8-8bba-ba9503154404,12,1,00:00:07.891,0,7,2,1.443098,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['a5249637-0d95-41a6-afb0-a027716dd744'],"[41.6, 40.6]",6867.0,Papa Kouly Diop,10.0,Center Defensive Midfield,6762.0,Álvaro González Soberón,16.18178,2.2291296,1.0,Ground Pass,"[31.7, 53.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.891
a5249637-0d95-41a6-afb0-a027716dd744,13,1,00:00:09.335,0,9,2,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['6988a1a5-b012-48d8-8bba-ba9503154404'],"[31.7, 53.4]",6762.0,Álvaro González Soberón,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.335
d859f49a-ab1e-404c-8696-676b508681af,14,1,00:00:09.335,0,9,2,1.372428,43,Carry,214,Espanyol,9,From Kick Off,214,Espanyol,,,"['0b0e3a37-ed23-4262-a45e-34b4a93e4dd5', 'a5249637-0d95-41a6-afb0-a027716dd744', 'e1fcfe71-1627-47a0-b646-c8eabbedab6f']","[31.7, 53.4]",6762.0,Álvaro González Soberón,3.0,Right Center Back,,,,,,,,,,,,"[32.1, 56.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.335
0b0e3a37-ed23-4262-a45e-34b4a93e4dd5,15,1,00:00:09.577,0,9,2,0.962455,17,Pressure,214,Espanyol,9,From Kick Off,209,Celta Vigo,,,['d859f49a-ab1e-404c-8696-676b508681af'],"[88.8, 32.3]",5217.0,Iago Aspas Juncal,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.577
e1fcfe71-1627-47a0-b646-c8eabbedab6f,16,1,00:00:10.707,0,10,2,1.405336,30,Pass,214,Espanyol,9,From Kick Off,214,Espanyol,,,['29c5e973-6342-47ed-8069-0e794aeebda5'],"[32.1, 56.0]",6762.0,Álvaro González Soberón,3.0,Right Center Back,5719.0,Marco Asensio Willemsen,37.886806,-0.14301687,3.0,High Pass,"[69.6, 50.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.707
29c5e973-6342-47ed-8069-0e794aeebda5,17,1,00:00:12.112,0,12,2,,42,Ball Receipt*,214,Espanyol,9,From Kick Off,214,Espanyol,,,['e1fcfe71-1627-47a0-b646-c8eabbedab6f'],"[69.6, 50.6]",5719.0,Marco Asensio Willemsen,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.112
