id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,counterpress,dribble_outcome_id,dribble_outcome_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,foul_won_defensive,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_switch,out,clearance_right_foot,pass_cross,clearance_left_foot,clearance_aerial_won,dribble_nutmeg,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_technique_id,pass_technique_name,pass_through_ball,pass_straight,pass_shot_assist,goalkeeper_end_location,shot_first_time,foul_committed_card_id,foul_committed_card_name,shot_aerial_won,pass_cut_back,foul_committed_advantage,foul_won_advantage,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_outswinging,shot_one_on_one,dribble_overrun,timestamp_seconds
779fd233-d51d-41df-ab55-6b4502b26656,2196,2,00:14:32.591,59,32,128,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['cfde9d6a-d835-49e1-ad8c-68bc3aa042ad'],,"[68.9, 73.5]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.591
2f735d8a-f353-475a-86b4-e72596e4084b,2197,2,00:14:32.591,59,32,128,3.843858,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['50e34425-0a9e-4aae-8b42-7b5815880c08', '779fd233-d51d-41df-ab55-6b4502b26656']",,"[68.9, 73.5]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,,,,,,,,,,,,,"[56.5, 57.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.591
50e34425-0a9e-4aae-8b42-7b5815880c08,2198,2,00:14:36.434,59,36,128,1.357614,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,"['cb452af3-7b0f-4adf-a7b3-c8983dcd827d', 'e6f9177d-e38b-4b5d-99b3-ec1036e71d83']",,"[56.5, 57.1]",24149.0,José Antonio García Rabasco,9.0,Right Defensive Midfield,6659.0,Víctor Camarasa Ferrando,14.453373,-1.0731062,1.0,Ground Pass,"[63.4, 44.4]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.434
e6f9177d-e38b-4b5d-99b3-ec1036e71d83,2199,2,00:14:37.792,59,37,128,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['50e34425-0a9e-4aae-8b42-7b5815880c08'],,"[64.4, 41.9]",6659.0,Víctor Camarasa Ferrando,24.0,Left Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.792
cb452af3-7b0f-4adf-a7b3-c8983dcd827d,2200,2,00:14:37.792,59,37,128,0.0,10,Interception,221,Levante UD,1,Regular Play,222,Villarreal,,,['50e34425-0a9e-4aae-8b42-7b5815880c08'],,"[56.7, 35.7]",6761.0,Leonardo Carrilho Baptistão,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.792
ee3c431b-fb8e-4466-9924-3da6d53b0ece,2201,2,00:14:39.162,59,39,129,0.998434,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['94c432bc-7c69-4146-9047-52b78dbddb43'],,"[57.6, 31.8]",6735.0,Adrián López Álvarez,24.0,Left Center Forward,6771.0,Manuel Trigueros Muñoz,9.200543,2.2251666,1.0,Ground Pass,"[52.0, 39.1]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.162
94c432bc-7c69-4146-9047-52b78dbddb43,2202,2,00:14:40.161,59,40,129,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['ee3c431b-fb8e-4466-9924-3da6d53b0ece'],,"[52.0, 39.1]",6771.0,Manuel Trigueros Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.1610000000001
63b6ef17-ca88-4dfb-8805-e422c3f550f1,2203,2,00:14:40.161,59,40,129,1.144794,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['94c432bc-7c69-4146-9047-52b78dbddb43', 'd62a066f-170a-4e61-ba26-491a8f886f2f']",,"[52.0, 39.1]",6771.0,Manuel Trigueros Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,"[56.1, 37.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.1610000000001
d62a066f-170a-4e61-ba26-491a8f886f2f,2204,2,00:14:41.305,59,41,129,0.849541,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['7f62b3ff-3e03-433d-9900-b2432347b8fd'],,"[56.1, 37.2]",6771.0,Manuel Trigueros Muñoz,13.0,Right Center Midfield,22819.0,Bruno Soriano Llido,6.902898,-1.5997738,1.0,Ground Pass,"[55.9, 30.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881.305
7f62b3ff-3e03-433d-9900-b2432347b8fd,2205,2,00:14:42.155,59,42,129,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['d62a066f-170a-4e61-ba26-491a8f886f2f'],,"[55.9, 30.3]",22819.0,Bruno Soriano Llido,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.155
