id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,pass_cross,duel_type_id,duel_type_name,pass_aerial_won,off_camera,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_switch,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_won_defensive,clearance_left_foot,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_outswinging,pass_technique_id,pass_technique_name,shot_aerial_won,goalkeeper_end_location,shot_first_time,dribble_nutmeg,shot_deflected,block_deflection,foul_committed_advantage,foul_committed_type_id,foul_committed_type_name,clearance_aerial_won,dribble_overrun,foul_committed_card_id,foul_committed_card_name,pass_deflected,foul_won_advantage,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,pass_straight,miscontrol_aerial_won,pass_through_ball,pass_goal_assist,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_offensive,dribble_no_touch,timestamp_seconds
efcb426c-4c37-430e-8f7a-944a8751de79,3128,2,00:22:41.807,67,41,162,0.614616,17,Pressure,212,Atlético Madrid,8,From Keeper,322,Eibar,,,"['101c0f7b-6e51-425a-9faa-103b988cdf2d', '8b0f2402-1a6e-4f5c-b2de-98135c4b2efc']","[34.7, 73.6]",6557.0,Adrián González Morales,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361.807
101c0f7b-6e51-425a-9faa-103b988cdf2d,3129,2,00:22:42.413,67,42,162,0.088847,30,Pass,212,Atlético Madrid,8,From Keeper,212,Atlético Madrid,,,"['11fcb007-11f2-43b0-8a04-c8da516fad06', 'efcb426c-4c37-430e-8f7a-944a8751de79']","[95.8, 7.0]",12021.0,Óliver Torres Muñoz,19.0,Center Attacking Midfield,,,2.209072,-3.050933,1.0,Ground Pass,"[93.6, 6.8]",40.0,Right Foot,,,,9.0,Incomplete,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.413
11fcb007-11f2-43b0-8a04-c8da516fad06,3130,2,00:22:42.502,67,42,162,0.0,6,Block,212,Atlético Madrid,8,From Keeper,322,Eibar,,,['101c0f7b-6e51-425a-9faa-103b988cdf2d'],"[26.5, 73.3]",6557.0,Adrián González Morales,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.502
4101b950-2ca8-42db-9e46-c14d65c04dff,3131,2,00:22:52.468,67,52,163,1.866049,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['79cd03dc-3bc7-4ad0-9455-b952d084721d', '8b250b61-3c8b-4cbc-bb5e-5194881533e7']","[95.2, 0.1]",6320.0,Filipe Luís Kasmirski,6.0,Left Back,6382.0,Fernando José Torres Sanz,29.520332,1.2822597,2.0,Low Pass,"[103.6, 28.4]",,,67.0,Throw-in,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372.468
8b250b61-3c8b-4cbc-bb5e-5194881533e7,3132,2,00:22:54.335,67,54,163,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['4101b950-2ca8-42db-9e46-c14d65c04dff'],"[101.2, 30.0]",6382.0,Fernando José Torres Sanz,23.0,Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374.335
79cd03dc-3bc7-4ad0-9455-b952d084721d,3133,2,00:22:54.335,67,54,163,1.149712,30,Pass,212,Atlético Madrid,4,From Throw In,322,Eibar,,,"['4101b950-2ca8-42db-9e46-c14d65c04dff', '706411e5-b6b9-4f75-9cc5-5457bf19595c']","[16.5, 51.7]",6837.0,Mauro Javier Dos Santos,3.0,Right Center Back,6699.0,Ander Capa Rodríguez,3.8078866,2.7367008,2.0,Low Pass,"[13.0, 53.2]",70.0,Other,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374.335
80879fc3-2218-4153-b8ab-d947ccd451f5,3134,2,00:22:54.978,67,54,163,0.56158,17,Pressure,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['05291d8a-7838-4c50-97ea-c24baff121af', '706411e5-b6b9-4f75-9cc5-5457bf19595c']","[105.8, 25.8]",12021.0,Óliver Torres Muñoz,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374.978
706411e5-b6b9-4f75-9cc5-5457bf19595c,3135,2,00:22:55.484,67,55,163,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,322,Eibar,,,"['79cd03dc-3bc7-4ad0-9455-b952d084721d', '80879fc3-2218-4153-b8ab-d947ccd451f5']","[13.0, 53.2]",6699.0,Ander Capa Rodríguez,2.0,Right Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.484
05291d8a-7838-4c50-97ea-c24baff121af,3136,2,00:22:55.484,67,55,163,0.08,43,Carry,212,Atlético Madrid,4,From Throw In,322,Eibar,,,"['706411e5-b6b9-4f75-9cc5-5457bf19595c', '80879fc3-2218-4153-b8ab-d947ccd451f5', 'e7d5eb19-dcf3-4711-a5f9-f7dadd142aa0']","[13.0, 53.2]",6699.0,Ander Capa Rodríguez,2.0,Right Back,,,,,,,,,,,,"[13.0, 50.6]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.484
e7d5eb19-dcf3-4711-a5f9-f7dadd142aa0,3137,2,00:22:55.564,67,55,163,1.068345,30,Pass,212,Atlético Madrid,4,From Throw In,322,Eibar,,,['52aef603-5c5a-4bfb-a8cc-04513763aa10'],"[13.0, 50.6]",6699.0,Ander Capa Rodríguez,2.0,Right Back,,,18.940168,-0.12173548,1.0,Ground Pass,"[31.8, 48.3]",38.0,Left Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.564
