id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,counterpress,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,pass_switch,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_no_touch,clearance_left_foot,pass_goal_assist,pass_outswinging,pass_technique_id,pass_technique_name,shot_one_on_one,shot_open_goal,shot_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,block_deflection,shot_first_time,50_50_outcome_id,50_50_outcome_name,foul_committed_advantage,foul_won_advantage,block_offensive,pass_miscommunication,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_through_ball,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,foul_won_defensive,pass_inswinging,foul_committed_type_id,foul_committed_type_name,pass_deflected,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_other,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,timestamp_seconds
df386fcd-e2c0-40c4-a29c-2e7b2bc1c0a8,3509,2,00:35:20.671,80,20,164,1.563608,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['8be91136-47d0-4bf8-a4d6-e2e1f34f96e0', 'c1263145-579f-4780-9d92-5ac79bdf09da']","[52.9, 68.3]",27526.0,Rachid Aït-Atmane,9.0,Right Defensive Midfield,8818.0,Jorge Meré Pérez,23.612286,-1.8496777,1.0,Ground Pass,"[46.4, 45.6]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120.671
8be91136-47d0-4bf8-a4d6-e2e1f34f96e0,3510,2,00:35:22.234,80,22,164,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['df386fcd-e2c0-40c4-a29c-2e7b2bc1c0a8'],"[46.4, 45.6]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122.234
d9f7130d-3630-4ea5-8052-a4fbf93e4e2a,3511,2,00:35:22.234,80,22,164,1.179659,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['8be91136-47d0-4bf8-a4d6-e2e1f34f96e0', 'e4a514aa-b45b-4685-9150-d658171ddb15']","[46.4, 45.6]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,"[44.3, 44.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122.234
e4a514aa-b45b-4685-9150-d658171ddb15,3512,2,00:35:23.414,80,23,164,2.844289,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['5d2f4be9-e57c-45f8-8a57-85974acfda27'],"[44.3, 44.7]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,6581.0,Jonathan Rodríguez Menéndez,47.853943,-1.1164943,3.0,High Pass,"[65.3, 1.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123.414
5d2f4be9-e57c-45f8-8a57-85974acfda27,3513,2,00:35:26.258,80,26,164,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['e4a514aa-b45b-4685-9150-d658171ddb15'],"[65.3, 1.7]",6581.0,Jonathan Rodríguez Menéndez,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126.258
0aa7c005-b49f-45e7-be44-c4170d3fe85b,3514,2,00:35:26.258,80,26,164,0.101532,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['5d2f4be9-e57c-45f8-8a57-85974acfda27', '71ab7e5a-205c-4036-bbb6-cbfd4b3f0e54']","[65.3, 1.7]",6581.0,Jonathan Rodríguez Menéndez,17.0,Right Wing,,,,,,,,,,,,"[66.7, 3.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126.258
71ab7e5a-205c-4036-bbb6-cbfd4b3f0e54,3515,2,00:35:26.360,80,26,164,0.923557,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['ae94e393-d77f-462f-acbc-3561d385f49e'],"[66.7, 3.0]",6581.0,Jonathan Rodríguez Menéndez,17.0,Right Wing,23994.0,Alejandro Menéndez Díez,3.0232432,2.167973,2.0,Low Pass,"[65.0, 5.5]",70.0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126.36
ae94e393-d77f-462f-acbc-3561d385f49e,3516,2,00:35:27.283,80,27,164,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['71ab7e5a-205c-4036-bbb6-cbfd4b3f0e54'],"[65.0, 5.5]",23994.0,Alejandro Menéndez Díez,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2127.283
ef2561d0-5fb7-4cfc-bf05-518643804f88,3517,2,00:35:27.283,80,27,164,2.03488,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['ae94e393-d77f-462f-acbc-3561d385f49e', 'e68e970b-f108-4527-b4e0-73c97781bd94']","[65.0, 5.5]",23994.0,Alejandro Menéndez Díez,21.0,Left Wing,,,,,,,,,,,,"[66.2, 5.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2127.283
e68e970b-f108-4527-b4e0-73c97781bd94,3518,2,00:35:29.318,80,29,164,1.096529,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['151092b0-5186-472f-bdc7-7d459f1e76f3'],"[66.2, 5.2]",23994.0,Alejandro Menéndez Díez,21.0,Left Wing,6581.0,Jonathan Rodríguez Menéndez,5.3814497,-2.4087775,1.0,Ground Pass,"[62.2, 1.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129.318
