id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,out,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,duel_outcome_id,duel_outcome_name,miscontrol_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_deflected,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_inswinging,pass_cross,clearance_head,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_straight,pass_no_touch,pass_cut_back,pass_switch,foul_committed_type_id,foul_committed_type_name,pass_through_ball,dribble_overrun,pass_outswinging,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_aerial_won,shot_first_time,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,block_deflection,clearance_left_foot,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,timestamp_seconds
4636f7da-962a-4a04-921f-426ef78e3fa3,848,1,00:23:22.330,23,22,57,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['badd70ec-290c-4ea7-a763-2a99905e686a'],"[81.3, 58.6]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402.33
a9c2216d-07b3-496d-b60f-bea2acb2afe4,849,1,00:23:22.330,23,22,57,0.136865,43,Carry,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['4636f7da-962a-4a04-921f-426ef78e3fa3', '5595dd3a-0f1a-4973-80ad-baf990d1fc4e']","[81.3, 58.6]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,"[81.3, 58.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402.33
5595dd3a-0f1a-4973-80ad-baf990d1fc4e,850,1,00:23:22.467,23,22,57,2.274558,30,Pass,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,"['1df93f4c-bbb2-43b0-bee0-525250295f48', '7f918b5d-12e0-49f0-b643-69038bb777a0']","[81.3, 58.6]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,5217.0,Iago Aspas Juncal,18.82817,-0.45652184,1.0,Ground Pass,"[98.2, 50.3]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402.467
1df93f4c-bbb2-43b0-bee0-525250295f48,851,1,00:23:24.742,23,24,57,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,209,Celta Vigo,,,['5595dd3a-0f1a-4973-80ad-baf990d1fc4e'],"[98.9, 56.2]",5217.0,Iago Aspas Juncal,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404.742
7f918b5d-12e0-49f0-b643-69038bb777a0,852,1,00:23:24.742,23,24,57,2.74203,30,Pass,209,Celta Vigo,3,From Free Kick,214,Espanyol,,,"['5595dd3a-0f1a-4973-80ad-baf990d1fc4e', '56b13d59-e65c-4eca-94b6-c38ae8ecdc56']","[21.9, 29.8]",6762.0,Álvaro González Soberón,3.0,Right Center Back,6791.0,Javier López Rodríguez,51.255634,1.3083088,3.0,High Pass,"[35.2, 79.3]",40.0,Right Foot,66.0,Recovery,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,1404.742
56b13d59-e65c-4eca-94b6-c38ae8ecdc56,853,1,00:23:27.484,23,27,57,,42,Ball Receipt*,209,Celta Vigo,3,From Free Kick,214,Espanyol,,,['7f918b5d-12e0-49f0-b643-69038bb777a0'],"[21.6, 55.5]",6791.0,Javier López Rodríguez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407.484
8cd30df6-343f-4d61-91ca-ed45945886fb,854,1,00:23:29.192,23,29,58,0.955599,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['1b8351b5-94e2-463d-a3fb-42a4291a9574'],"[84.0, 0.1]",7577.0,Carles Planas Antolínez,6.0,Left Back,6724.0,Manuel Agudo Durán,14.066272,0.5623672,2.0,Low Pass,"[95.9, 7.6]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409.192
1b8351b5-94e2-463d-a3fb-42a4291a9574,855,1,00:23:30.147,23,30,58,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['8cd30df6-343f-4d61-91ca-ed45945886fb'],"[95.9, 7.6]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.147
cbf376d9-9346-4c5c-8b5b-127df81d1744,856,1,00:23:30.147,23,30,58,0.739707,43,Carry,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['0359c9d5-f9e7-4895-b6cc-adfb7b6a56c9', '1b8351b5-94e2-463d-a3fb-42a4291a9574', '9c0c7cbb-3071-4a30-ae2e-6ca1165225e8']","[95.9, 7.6]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,"[94.4, 7.4]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.147
9c0c7cbb-3071-4a30-ae2e-6ca1165225e8,857,1,00:23:30.358,23,30,58,0.529371,17,Pressure,209,Celta Vigo,4,From Throw In,214,Espanyol,,,['cbf376d9-9346-4c5c-8b5b-127df81d1744'],"[22.4, 69.8]",6791.0,Javier López Rodríguez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.358
