id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_technique_id,pass_technique_name,pass_inswinging,clearance_left_foot,out,miscontrol_aerial_won,counterpress,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_switch,off_camera,clearance_right_foot,foul_won_defensive,dribble_overrun,foul_committed_advantage,foul_won_advantage,shot_first_time,goalkeeper_end_location,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,shot_aerial_won,pass_goal_assist,bad_behaviour_card_id,bad_behaviour_card_name,block_offensive,50_50_outcome_id,50_50_outcome_name,goalkeeper_punched_out,pass_outswinging,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_deflection,pass_no_touch,ball_recovery_offensive,injury_stoppage_in_chain,foul_committed_offensive,pass_cut_back,timestamp_seconds
ea3c9cc7-e2fa-426c-a2be-a8586667a351,2741,2,00:23:17.362,68,17,150,0.0,6,Block,1041,Sporting Gijón,1,Regular Play,223,Málaga,,,['622dcd1d-1125-40fa-9c6b-a8410a7cbae3'],"[26.1, 47.7]",6727.0,Raúl Albentosa Redal,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397.362
d4f54d53-68b1-4748-a5eb-941ca9bd1075,2742,2,00:23:18.873,68,18,151,0.0,2,Ball Recovery,223,Málaga,1,Regular Play,223,Málaga,,,,"[20.4, 55.1]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398.873
4f47111f-34e1-4905-a187-e383b0837bb4,2743,2,00:23:18.873,68,18,151,3.769302,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['2a0cd5ca-5c65-4758-8053-d2002cd8a43c', 'd4f54d53-68b1-4748-a5eb-941ca9bd1075']","[20.4, 55.1]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,"[33.4, 57.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398.873
2a0cd5ca-5c65-4758-8053-d2002cd8a43c,2744,2,00:23:22.642,68,22,151,1.367081,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['983a8c78-a03e-4eae-b547-942b6c0510c1'],"[33.4, 57.3]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,6764.0,Pablo Fornals Malla,20.753796,-1.0899091,1.0,Ground Pass,"[43.0, 38.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402.642
983a8c78-a03e-4eae-b547-942b6c0510c1,2745,2,00:23:24.009,68,24,151,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['2a0cd5ca-5c65-4758-8053-d2002cd8a43c'],"[43.0, 38.9]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404.009
a1e54a41-52ef-42e0-af0d-3631cb6f4378,2746,2,00:23:24.009,68,24,151,2.57148,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['5b2b9782-7dfb-48c5-a5f0-1b8aa020297b', '983a8c78-a03e-4eae-b547-942b6c0510c1']","[43.0, 38.9]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,,,,,,,,,,,,"[50.7, 32.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404.009
5b2b9782-7dfb-48c5-a5f0-1b8aa020297b,2747,2,00:23:26.581,68,26,151,2.02336,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['dc6a9592-52fa-4183-af3a-949e58862c98'],"[50.7, 32.7]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,6559.0,Juan Carlos Pérez López,29.293344,-1.1147822,1.0,Ground Pass,"[63.6, 6.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406.581
dc6a9592-52fa-4183-af3a-949e58862c98,2748,2,00:23:28.604,68,28,151,,42,Ball Receipt*,223,Málaga,1,Regular Play,223,Málaga,,,['5b2b9782-7dfb-48c5-a5f0-1b8aa020297b'],"[63.6, 6.4]",6559.0,Juan Carlos Pérez López,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408.604
4b461c5b-cddd-446f-9821-7d34c4199751,2749,2,00:23:28.604,68,28,151,7.607664,43,Carry,223,Málaga,1,Regular Play,223,Málaga,,,"['c096fbc5-34aa-4a18-93b0-0fa2ff75f650', 'dc6a9592-52fa-4183-af3a-949e58862c98']","[63.6, 6.4]",6559.0,Juan Carlos Pérez López,16.0,Left Midfield,,,,,,,,,,,,"[119.4, 10.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408.604
c096fbc5-34aa-4a18-93b0-0fa2ff75f650,2750,2,00:23:36.212,68,36,151,3.057492,30,Pass,223,Málaga,1,Regular Play,223,Málaga,,,['f8f9d6b8-6eec-4c22-80b1-5eee5c17f500'],"[119.4, 10.4]",6559.0,Juan Carlos Pérez López,16.0,Left Midfield,,,41.591465,1.911556,3.0,High Pass,"[105.5, 49.6]",38.0,Left Foot,,,,,,9.0,Incomplete,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416.212
