id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,clearance_head,clearance_left_foot,pass_technique_id,pass_technique_name,pass_through_ball,pass_inswinging,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,foul_committed_offensive,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,pass_miscommunication,shot_one_on_one,shot_open_goal,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,block_deflection,shot_aerial_won,ball_recovery_recovery_failure,dribble_overrun,foul_committed_advantage,foul_won_advantage,pass_goal_assist,block_save_block,pass_cut_back,pass_straight,dribble_nutmeg,timestamp_seconds
e3312b70-d297-4ea9-aba5-9e3a27488e51,260,1,00:04:14.740,4,14,12,1.016969,17,Pressure,217,Barcelona,1,Regular Play,212,Atlético Madrid,,,"['0f1fcbb6-34c6-4b37-b722-766ad949288f', '5c974352-b06e-49ff-afcf-e0877abdefc7']","[33.4, 53.8]",12021.0,Óliver Torres Muñoz,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.74
0f1fcbb6-34c6-4b37-b722-766ad949288f,261,1,00:04:14.787,4,14,12,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,"['0735d06e-8c4e-49e1-b4bb-caee8d05bc74', 'e3312b70-d297-4ea9-aba5-9e3a27488e51']","[90.1, 23.6]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.787
5c974352-b06e-49ff-afcf-e0877abdefc7,262,1,00:04:14.787,4,14,12,3.767334,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['0f1fcbb6-34c6-4b37-b722-766ad949288f', 'b8156264-e822-483b-8d13-e0dc07cda868', 'e3312b70-d297-4ea9-aba5-9e3a27488e51']","[90.1, 23.6]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,"[87.8, 52.4]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.787
b8156264-e822-483b-8d13-e0dc07cda868,263,1,00:04:18.555,4,18,12,1.804026,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['e1dcaffb-a5e4-4756-89ab-54c6feb60667'],"[87.8, 52.4]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,6379.0,Sergi Roberto Carnicer,25.38858,0.6175022,1.0,Ground Pass,"[108.5, 67.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.555
e1dcaffb-a5e4-4756-89ab-54c6feb60667,264,1,00:04:20.359,4,20,12,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['b8156264-e822-483b-8d13-e0dc07cda868'],"[108.5, 67.1]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.359
987c087f-687b-4f1a-ba6f-040701e96a4e,265,1,00:04:20.359,4,20,12,0.163331,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['25e16f07-4d81-40e6-9fe7-8ae422880b6d', 'e1dcaffb-a5e4-4756-89ab-54c6feb60667']","[108.5, 67.1]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,"[108.5, 67.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.359
25e16f07-4d81-40e6-9fe7-8ae422880b6d,266,1,00:04:20.522,4,20,12,0.8396,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,"['4d13e951-8212-42ff-8560-a0721189d764', '84cac8bc-3ac0-4846-afda-1c1af4d340a7']","[108.5, 67.1]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,6998.0,Rafael Alcântara do Nascimento,20.28916,-1.6645799,1.0,Ground Pass,"[106.6, 46.9]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.522
84cac8bc-3ac0-4846-afda-1c1af4d340a7,267,1,00:04:21.361,4,21,12,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['25e16f07-4d81-40e6-9fe7-8ae422880b6d'],"[107.7, 45.9]",6998.0,Rafael Alcântara do Nascimento,17.0,Right Wing,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.361
4d13e951-8212-42ff-8560-a0721189d764,268,1,00:04:21.361,4,21,12,0.0,9,Clearance,217,Barcelona,1,Regular Play,212,Atlético Madrid,,,['25e16f07-4d81-40e6-9fe7-8ae422880b6d'],"[13.5, 33.2]",20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,Left Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.361
d2fb132e-e927-4ba3-bdfb-cce82b6cea0f,269,1,00:04:22.356,4,22,12,0.0,2,Ball Recovery,217,Barcelona,1,Regular Play,217,Barcelona,,,,"[108.1, 65.8]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.356
932a175f-e4c5-4b59-bfdb-3f07d1f09c37,270,1,00:04:22.356,4,22,12,1.167566,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['7d8e39b7-d59a-42ec-b5d6-efd51d59f23a', 'd2fb132e-e927-4ba3-bdfb-cce82b6cea0f']","[108.1, 65.8]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,"[108.1, 65.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.356
7d8e39b7-d59a-42ec-b5d6-efd51d59f23a,271,1,00:04:23.524,4,23,12,1.060536,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['c5ba49d6-fd1d-4b33-a3c3-d35ad5190829'],"[108.1, 65.4]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,5470.0,Ivan Rakitić,11.482595,-2.7950537,1.0,Ground Pass,"[97.3, 61.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.524
c5ba49d6-fd1d-4b33-a3c3-d35ad5190829,272,1,00:04:24.584,4,24,12,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['7d8e39b7-d59a-42ec-b5d6-efd51d59f23a'],"[97.3, 61.5]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.584
056b3716-6102-4de8-832a-4c5d31b04d5d,273,1,00:04:24.584,4,24,12,1.26102,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['beb36a94-ab1d-4622-a938-4cd778ff2b88', 'c5ba49d6-fd1d-4b33-a3c3-d35ad5190829']","[97.3, 61.5]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,"[98.1, 63.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.584
beb36a94-ab1d-4622-a938-4cd778ff2b88,274,1,00:04:25.845,4,25,12,0.68182,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['b34caf7b-e612-4244-9661-0b633f855cff'],"[98.1, 63.7]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,4320.0,Neymar da Silva Santos Junior,9.265528,-1.451796,1.0,Ground Pass,"[99.2, 54.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.845
b34caf7b-e612-4244-9661-0b633f855cff,275,1,00:04:26.527,4,26,12,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['beb36a94-ab1d-4622-a938-4cd778ff2b88'],"[99.2, 54.5]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.527
bc7dfaaa-782b-4468-8fbe-b20b7b43c4bd,276,1,00:04:26.527,4,26,12,1.66018,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['646eaa19-9008-47bf-9d15-72fd24ca9089', 'b34caf7b-e612-4244-9661-0b633f855cff', 'cb71b022-589b-46e9-be58-7523b197681b']","[99.2, 54.5]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,"[101.9, 53.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.527
646eaa19-9008-47bf-9d15-72fd24ca9089,277,1,00:04:26.971,4,26,12,1.013888,17,Pressure,217,Barcelona,1,Regular Play,212,Atlético Madrid,,,['bc7dfaaa-782b-4468-8fbe-b20b7b43c4bd'],"[18.1, 24.5]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.971
cb71b022-589b-46e9-be58-7523b197681b,278,1,00:04:28.187,4,28,12,0.0,14,Dribble,217,Barcelona,1,Regular Play,217,Barcelona,,,['5f828394-b4c1-4168-bb32-555c0554b9db'],"[101.9, 53.3]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.187
