id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,foul_won_defensive,out,duel_type_id,duel_type_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,off_camera,interception_outcome_id,interception_outcome_name,pass_switch,pass_outswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,counterpress,dribble_outcome_id,dribble_outcome_name,pass_cross,ball_recovery_recovery_failure,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_goal_assist,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,pass_inswinging,shot_aerial_won,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_straight,foul_committed_card_id,foul_committed_card_name,pass_through_ball,clearance_aerial_won,pass_cut_back,shot_one_on_one,clearance_right_foot,foul_committed_advantage,foul_won_advantage,pass_deflected,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_deflection,dribble_overrun,miscontrol_aerial_won,foul_committed_penalty,clearance_other,timestamp_seconds
6da82b62-4e11-42aa-9535-d1312d147217,1034,1,00:28:10.810,28,10,72,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['7156332e-bf5c-4a52-a632-b9e1429561d1'],"[78.7, 21.1]",6873.0,Francisco Portillo Soler,16.0,Left Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.81
c6a04c4a-c698-4de2-aa57-1063768e4736,1035,1,00:28:10.810,28,10,72,0.0,10,Interception,218,Real Betis,7,From Goal Kick,215,Athletic Club,,,['7156332e-bf5c-4a52-a632-b9e1429561d1'],"[42.2, 57.0]",6649.0,Óscar de Marcos Arana,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.81
5dd3551b-dec1-496a-bc41-d7334ffcf213,1036,1,00:28:11.896,28,11,72,0.359405,17,Pressure,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['626859d5-a813-4c8a-8b64-bf5bca666371'],"[70.0, 28.3]",6873.0,Francisco Portillo Soler,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691.896
626859d5-a813-4c8a-8b64-bf5bca666371,1037,1,00:28:12.147,28,12,72,1.019952,30,Pass,218,Real Betis,7,From Goal Kick,215,Athletic Club,,,"['2664785c-5344-49eb-956a-a3cf85cd5fd5', '5dd3551b-dec1-496a-bc41-d7334ffcf213']","[49.2, 49.8]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,6649.0,Óscar de Marcos Arana,12.509596,2.566893,1.0,Ground Pass,"[38.7, 56.6]",66.0,Recovery,40.0,Right Foot,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.147
2664785c-5344-49eb-956a-a3cf85cd5fd5,1038,1,00:28:13.167,28,13,72,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,215,Athletic Club,,,['626859d5-a813-4c8a-8b64-bf5bca666371'],"[38.7, 56.6]",6649.0,Óscar de Marcos Arana,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.167
3eb2e401-3d65-466b-89cf-e6ac56090f36,1039,1,00:28:13.167,28,13,72,0.08,43,Carry,218,Real Betis,7,From Goal Kick,215,Athletic Club,,,"['2664785c-5344-49eb-956a-a3cf85cd5fd5', '401ab9e9-0ac8-4c48-bf78-4fea267f2c59']","[38.7, 56.6]",6649.0,Óscar de Marcos Arana,2.0,Right Back,,,,,,,,,,,,"[38.7, 57.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.167
401ab9e9-0ac8-4c48-bf78-4fea267f2c59,1040,1,00:28:13.247,28,13,72,0.12268,30,Pass,218,Real Betis,7,From Goal Kick,215,Athletic Club,,,"['da221ca5-b93e-4ab4-8585-a07b0821f239', 'dbae3c2b-3593-4eed-8238-a73f9b62a483']","[38.7, 57.0]",6649.0,Óscar de Marcos Arana,2.0,Right Back,6389.0,Mikel San José Domínguez,2.8,0.0,1.0,Ground Pass,"[41.5, 57.0]",,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.247
da221ca5-b93e-4ab4-8585-a07b0821f239,1041,1,00:28:13.369,28,13,72,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,215,Athletic Club,,,['401ab9e9-0ac8-4c48-bf78-4fea267f2c59'],"[48.7, 56.6]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.369
dbae3c2b-3593-4eed-8238-a73f9b62a483,1042,1,00:28:13.369,28,13,72,0.0,10,Interception,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['401ab9e9-0ac8-4c48-bf78-4fea267f2c59'],"[78.6, 23.1]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693.369
01b43f3c-146a-4d0b-83f9-e1cba34d9a11,1043,1,00:28:14.463,28,14,72,0.0,2,Ball Recovery,218,Real Betis,7,From Goal Kick,218,Real Betis,,,,"[74.5, 23.1]",6873.0,Francisco Portillo Soler,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694.463
