id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,block_deflection,pass_deflected,duel_type_id,duel_type_name,miscontrol_aerial_won,clearance_left_foot,pass_switch,out,off_camera,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,foul_won_defensive,pass_technique_id,pass_technique_name,pass_through_ball,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,clearance_aerial_won,goalkeeper_end_location,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,shot_first_time,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,shot_deflected,injury_stoppage_in_chain,50_50_outcome_id,50_50_outcome_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_goal_assist,pass_outswinging,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
14d1d880-61c0-4bf9-8079-7af8985fdc36,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,214,Espanyol,1,Regular Play,214,Espanyol,4231.0,"[{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6762, 'name': 'Álvaro González Soberón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5598, 'name': 'Óscar Esau Duarte Gaitán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 27241, 'name': 'Víctor Guillermo Álvarez Delgado'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 27148, 'name': 'Abraham González Casanova'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 5719, 'name': 'Marco Asensio Willemsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 6624, 'name': 'Jorge Franco Alviz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 7781, 'name': 'Felipe Salvador Caicedo Corozo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
f9566849-9c76-4a6f-bec9-c3b3e411fa17,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,214,Espanyol,1,Regular Play,219,RC Deportivo La Coruña,433.0,"[{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23806, 'name': 'Alejandro Bergantiños García'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 7782, 'name': 'Luis Alberto Romero Alconchel'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 27243, 'name': 'Oriol Riera Magem'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
45b1211e-1434-4c90-9740-3733901b879e,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,214,Espanyol,1,Regular Play,219,RC Deportivo La Coruña,,,['1d8e2012-482f-4088-b399-6d57d4e40556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1d8e2012-482f-4088-b399-6d57d4e40556,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,214,Espanyol,1,Regular Play,214,Espanyol,,,['45b1211e-1434-4c90-9740-3733901b879e'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
68a76f53-6c66-46a0-bd77-beef3590340f,5,1,00:00:01.448,0,1,2,0.4,30,Pass,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['70b28e00-b2f4-4ed2-be87-afd001589178'],"[61.0, 40.1]",27243.0,Oriol Riera Magem,23.0,Center Forward,7782.0,Luis Alberto Romero Alconchel,1.0440307,-2.8501358,1.0,Ground Pass,"[60.0, 39.8]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.448
70b28e00-b2f4-4ed2-be87-afd001589178,6,1,00:00:01.848,0,1,2,,42,Ball Receipt*,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['68a76f53-6c66-46a0-bd77-beef3590340f'],"[60.0, 39.8]",7782.0,Luis Alberto Romero Alconchel,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848
8fffd41d-3cc1-4231-9d09-5f8545ebce7e,7,1,00:00:01.848,0,1,2,2.323928,43,Carry,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,"['70b28e00-b2f4-4ed2-be87-afd001589178', 'a06da136-9982-4980-a5f8-abfdc8400695', 'a3936770-d8b9-4a98-a557-769c10c0ab81']","[60.0, 39.8]",7782.0,Luis Alberto Romero Alconchel,21.0,Left Wing,,,,,,,,,,,,True,"[62.6, 46.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848
a06da136-9982-4980-a5f8-abfdc8400695,8,1,00:00:03.530,0,3,2,0.793475,17,Pressure,219,RC Deportivo La Coruña,9,From Kick Off,214,Espanyol,,,"['8fffd41d-3cc1-4231-9d09-5f8545ebce7e', 'a3936770-d8b9-4a98-a557-769c10c0ab81']","[56.6, 36.9]",6758.0,Víctor Sánchez Mata,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53
a3936770-d8b9-4a98-a557-769c10c0ab81,9,1,00:00:04.172,0,4,2,2.958239,30,Pass,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,"['440203e0-38d6-4951-8f92-3eedc4e8e89e', 'a06da136-9982-4980-a5f8-abfdc8400695']","[62.6, 46.6]",7782.0,Luis Alberto Romero Alconchel,21.0,Left Wing,5724.0,Fayçal Fajr,41.64865,0.78709596,3.0,High Pass,"[92.0, 76.1]",40.0,Right Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.172
440203e0-38d6-4951-8f92-3eedc4e8e89e,10,1,00:00:07.130,0,7,2,,42,Ball Receipt*,219,RC Deportivo La Coruña,9,From Kick Off,219,RC Deportivo La Coruña,,,['a3936770-d8b9-4a98-a557-769c10c0ab81'],"[92.0, 76.1]",5724.0,Fayçal Fajr,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13
