id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_open_goal,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,duel_outcome_id,duel_outcome_name,dribble_overrun,miscontrol_aerial_won,pass_aerial_won,injury_stoppage_in_chain,pass_miscommunication,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble_nutmeg,pass_cut_back,clearance_left_foot,pass_inswinging,pass_goal_assist,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,ball_recovery_recovery_failure,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_offensive,foul_committed_advantage,foul_won_advantage,ball_recovery_offensive,timestamp_seconds
945d27f2-b280-4299-961a-75f42ee03845,1701,1,00:40:06.372,40,6,96,1.890815,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['75d3ec77-21be-490c-92f7-d91aca399529'],True,"[77.8, 0.1]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,5211.0,Jordi Alba Ramos,15.110923,2.9078496,2.0,Low Pass,"[63.1, 3.6]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2406.372
75d3ec77-21be-490c-92f7-d91aca399529,1702,1,00:40:08.262,40,8,96,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['945d27f2-b280-4299-961a-75f42ee03845'],,"[63.1, 3.6]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408.262
2e8fa825-fdb4-43a7-9931-fda7b9d9d016,1703,1,00:40:09.615,40,9,96,0.66977,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['a87d129d-cb35-4d39-ab6d-b92c36501bbe'],,"[63.1, 3.6]",5211.0,Jordi Alba Ramos,6.0,Left Back,5203.0,Sergio Busquets i Burgos,7.7103825,0.7578822,1.0,Ground Pass,"[68.7, 8.9]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409.615
a87d129d-cb35-4d39-ab6d-b92c36501bbe,1704,1,00:40:10.285,40,10,96,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['2e8fa825-fdb4-43a7-9931-fda7b9d9d016'],,"[68.7, 8.9]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410.285
1023fa5c-7463-4c39-8006-e95533306e01,1705,1,00:40:10.285,40,10,96,0.131354,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['a3800a54-7842-43bc-a9b9-b0c58675741c', 'a87d129d-cb35-4d39-ab6d-b92c36501bbe']",,"[68.7, 8.9]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[68.7, 8.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410.285
a3800a54-7842-43bc-a9b9-b0c58675741c,1706,1,00:40:10.417,40,10,96,1.43716,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['3d26e42f-1dc4-4919-8913-b3651c406614'],,"[68.7, 8.9]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,5211.0,Jordi Alba Ramos,6.735726,-2.4297457,1.0,Ground Pass,"[63.6, 4.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410.417
3d26e42f-1dc4-4919-8913-b3651c406614,1707,1,00:40:11.854,40,11,96,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['a3800a54-7842-43bc-a9b9-b0c58675741c'],,"[63.6, 4.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2411.854
fcb5c76a-3492-4274-aaf2-d870afee3f81,1708,1,00:40:11.854,40,11,96,0.964161,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['046e78aa-3e81-4b8f-b71b-43be4c12bef1', '3d26e42f-1dc4-4919-8913-b3651c406614']",,"[63.6, 4.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,"[62.3, 4.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2411.854
046e78aa-3e81-4b8f-b71b-43be4c12bef1,1709,1,00:40:12.818,40,12,96,1.641856,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['cdf8148f-e3bd-401e-80ae-2e8f2d81cc6e'],,"[62.3, 4.9]",5211.0,Jordi Alba Ramos,6.0,Left Back,10609.0,Jérémy Mathieu,18.732058,2.926398,1.0,Ground Pass,"[44.0, 8.9]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412.818
cdf8148f-e3bd-401e-80ae-2e8f2d81cc6e,1710,1,00:40:14.460,40,14,96,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['046e78aa-3e81-4b8f-b71b-43be4c12bef1'],,"[44.0, 8.9]",10609.0,Jérémy Mathieu,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2414.46
