id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,dribble_outcome_id,dribble_outcome_name,out,pass_aerial_won,duel_type_id,duel_type_name,counterpress,off_camera,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,clearance_head,clearance_right_foot,interception_outcome_id,interception_outcome_name,pass_no_touch,pass_goal_assist,shot_one_on_one,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_first_time,pass_through_ball,pass_technique_id,pass_technique_name,miscontrol_aerial_won,pass_deflected,dribble_overrun,block_deflection,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,clearance_aerial_won,pass_cut_back,pass_inswinging,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_body_part_id,goalkeeper_body_part_name,dribble_nutmeg,shot_open_goal,timestamp_seconds
5ad13d5c-ce76-43e6-aa19-9a54b633dfec,1161,1,00:30:22.435,30,22,66,0.750432,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['7e5ed65c-024a-43e3-b3f7-827565c13b19', 'c0585759-8040-4705-a1de-903064643c59']","[74.5, 66.2]",17622.0,Jackson Arley Martínez Valencia,24.0,Left Center Forward,5487.0,Antoine Griezmann,19.821453,-2.0028517,1.0,Ground Pass,"[66.2, 48.2]",40.0,Right Foot,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822.435
7e5ed65c-024a-43e3-b3f7-827565c13b19,1162,1,00:30:23.185,30,23,66,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['5ad13d5c-ce76-43e6-aa19-9a54b633dfec'],"[66.2, 48.2]",5487.0,Antoine Griezmann,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1823.185
078824f6-ba1d-47ee-99f3-4ffc3190f6bf,1163,1,00:30:23.185,30,23,66,0.135173,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['548c84f5-9276-4493-89d7-1b377b99a4dc', '7e5ed65c-024a-43e3-b3f7-827565c13b19']","[66.2, 48.2]",5487.0,Antoine Griezmann,22.0,Right Center Forward,,,,,,,,,,,,"[67.7, 47.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1823.185
548c84f5-9276-4493-89d7-1b377b99a4dc,1164,1,00:30:23.321,30,23,66,0.944804,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['78c0044d-b709-4afa-8f28-5bce5c56ef70'],"[67.7, 47.6]",5487.0,Antoine Griezmann,22.0,Right Center Forward,20669.0,Tiago Cardoso Mendes,4.609772,2.9229238,1.0,Ground Pass,"[63.2, 48.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1823.321
78c0044d-b709-4afa-8f28-5bce5c56ef70,1165,1,00:30:24.265,30,24,66,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['548c84f5-9276-4493-89d7-1b377b99a4dc'],"[63.2, 48.6]",20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824.265
cdab2d6d-7601-4bd7-a3d5-313aa1294748,1166,1,00:30:24.265,30,24,66,0.002801,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['78c0044d-b709-4afa-8f28-5bce5c56ef70', 'dd53900b-1248-455a-95e9-bb0408f2bb47']","[63.2, 48.6]",20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,,,,,,,,,,,,"[63.3, 48.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824.265
dd53900b-1248-455a-95e9-bb0408f2bb47,1167,1,00:30:24.268,30,24,66,2.851598,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['b19ff813-a6ec-422d-9830-75eceef3e981'],"[63.3, 48.2]",20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,6320.0,Filipe Luís Kasmirski,31.583857,-1.6436828,2.0,Low Pass,"[61.0, 16.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824.268
b19ff813-a6ec-422d-9830-75eceef3e981,1168,1,00:30:27.120,30,27,66,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['dd53900b-1248-455a-95e9-bb0408f2bb47'],"[61.0, 16.7]",6320.0,Filipe Luís Kasmirski,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827.12
76a49330-1ade-4596-86bb-f365b8ef8c92,1169,1,00:30:27.120,30,27,66,0.142274,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['3f04242d-4255-41a4-bfd5-5ec2a7408233', 'b19ff813-a6ec-422d-9830-75eceef3e981']","[61.0, 16.7]",6320.0,Filipe Luís Kasmirski,6.0,Left Back,,,,,,,,,,,,"[60.7, 16.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827.12
3f04242d-4255-41a4-bfd5-5ec2a7408233,1170,1,00:30:27.262,30,27,66,0.880443,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['adcb3c3f-6225-46c8-8a74-b67eaf6764be'],"[60.7, 16.7]",6320.0,Filipe Luís Kasmirski,6.0,Left Back,5199.0,Jorge Resurrección Merodio,7.034202,1.3120254,1.0,Ground Pass,"[62.5, 23.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1827.262
